Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 99, 14696, No update data, 9g3qx230upep
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 100, 14062, No update data, 9g3qx3m7jmxv
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 92, 12798, No update data, 9g3qrryk9kjr
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx3p25hqt
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 100, 14863, No update data, 9g3qx2ztcybd
Bird, MEX, 878dacf6-0a6f-493a-b236-d9ef3dbf3636, 34, 3841, No update data, 9g3qx2zss9g2
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 100, 14863, No update data, 9g3qx2zsjq6b
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 99, 10384, No update data, 9g3qx2ztg5ne
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 97, 14362, No update data, 9g3qx215yct8
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 96, 14195, No update data, 9g3qx21hhwuk
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 99, 14696, No update data, 9g3qx2ztmwq5
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 98, 10266, No update data, 9g3qx2ztnw68
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 96, 14195, No update data, 9g3qx21hf1hy
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 65, 9018, No update data, 9g3qx31t2b7y
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 96, 14195, No update data, 9g3qx215fugj
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 56, 7110, No update data, 9g3qrrf57jqk
Bird, MEX, ef939bca-1443-409b-9f00-02c9ae789515, 52, 6478, No update data, 9g3qrrf545g8
Bird, MEX, 43522403-e4db-4674-ac78-34baba739275, 89, 13026, No update data, 9g3qrrf3kn50
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 94, 13114, No update data, 9g3qrrsucubt
Bird, MEX, 424ffa28-39e4-4f27-8b2f-5b8a10f03125, 61, 7900, No update data, 9g3qx8bj0zhn
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 94, 13861, No update data, 9g3qx20w7quw
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 96, 14195, No update data, 9g3qx20w7jqk
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 99, 14696, No update data, 9g3qx20w6tj4
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 92, 13527, No update data, 9g3qrrsu0z5v
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 99, 14696, No update data, 9g3qx20wc1x0
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 96, 14195, No update data, 9g3qx20w3dgm
Bird, MEX, a41d02d8-d8f4-4c4b-a68c-1e48c281b5f2, 76, 10270, No update data, 9g3qrrsgbmgg
