Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 99, 14696, No update data, 9g3qx20khg1k
Bird, MEX, 882ce65b-99e3-4817-a020-ea71bae8ee05, 60, 8183, No update data, 9g3qx206z9s0
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 94, 13114, No update data, 9g3qx20m1qm0
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 99, 13904, No update data, 9g3qx2094k3u
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 97, 13588, No update data, 9g3qx20kbrex
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 91, 13360, No update data, 9g3qx209218t
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 97, 14362, No update data, 9g3qx203rcdm
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 99, 13904, No update data, 9g3qrre9922r
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 99, 13904, No update data, 9g3qrre93zw9
Bird, MEX, b645c68a-ed5f-489d-ab0a-5771c00aa894, 17, 1002, No update data, 9g3qx3r6kyrg
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 98, 14529, No update data, 9g3qx203nv2d
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 90, 13193, No update data, 9g3qx203t5k9
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 100, 14863, No update data, 9g3qx203k0xz
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 60, 7742, No update data, 9g3qx33kevuf
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 49, 6004, No update data, 9g3qrrc1sp50
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 61, 7900, No update data, 9g3qx0zuhh6v
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 78, 10586, No update data, 9g3qrrc1e4n3
Bird, MEX, fadc597b-95a7-4041-bd95-e5256b81ec95, 92, 13527, No update data, 9g3qx8bx55nt
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 72, 9638, No update data, 9g3qrr9w4djn
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 85, 11692, No update data, 9g3qrrmrghyt
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 31, 3340, No update data, 9g3qx3tu1vwv
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 92, 13527, No update data, 9g3qx90m1gnv
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 85, 11692, No update data, 9g3qx90nqdp8
Bird, MEX, be65d0c8-1f69-4b56-8773-9dea4108bb02, 66, 8690, No update data, 9g3qx907p1h0
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 93, 13694, No update data, 9g3qx90kkbc8
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 94, 13861, No update data, 9g3qx90e04t9
