Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 98, 14529, No update data, 9g3qx20kqmsq
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 99, 13904, No update data, 9g3qx20kqp94
Bird, MEX, 1dd5cb01-67ba-42f7-8637-0ac5bbbbd4ef, 46, 5530, No update data, 9g3qrrdndtb0
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20m5pb1
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 98, 13746, No update data, 9g3qx20kk6yj
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 97, 14362, No update data, 9g3qx20m5025
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx20958cx
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 85, 12358, No update data, 9g3qx2093bwx
Bird, MEX, 0c081581-ab26-47d7-a51a-df92f6a3be13, 71, 10020, No update data, 9g3qx3t5508q
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 94, 13861, No update data, 9g3qx208cmb7
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 97, 14362, No update data, 9g3qx2090f5y
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 99, 13904, No update data, 9g3qx208bsqc
Bird, MEX, 2583beb4-6fd3-45a1-bb01-edbb449678c7, 79, 11356, No update data, 9g3qx20jp0ev
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 94, 13861, No update data, 9g3qx203w8d8
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 96, 14195, No update data, 9g3qrrwz5vsg
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 92, 13527, No update data, 9g3qx208bhbt
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 97, 14362, No update data, 9g3qx202y6u2
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 85, 11692, No update data, 9g3qrrc4c30q
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 74, 9954, No update data, 9g3qx90j6b7q
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 55, 7348, No update data, 9g3qrrc0yjc5
Bird, MEX, d3083d83-9d3a-44c7-a0b8-d5051baf4e56, 94, 13114, No update data, 9g3qrrkzmm6u
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 63, 8684, No update data, 9g3qx0zdv3d9
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 57, 7682, No update data, 9g3qx83n44gg
