Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 66, 9185, No update data, 9g3qx3p1qpzt
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 85, 11692, No update data, 9g3qx2zs3ywv
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 96, 13430, No update data, 9g3qx2zs51yt
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 96, 13430, No update data, 9g3qx2zs5p0q
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 97, 13588, No update data, 9g3qx2zt1cqc
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 96, 13430, No update data, 9g3qx2zemqdv
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 92, 13527, No update data, 9g3qx2zsg279
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 97, 14362, No update data, 9g3qx21k0h2s
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 94, 13861, No update data, 9g3qx2zsk87q
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 92, 13527, No update data, 9g3qx2zeqpzt
Bird, MEX, e635d8cb-028d-48ff-be05-07737b7ecbb2, 29, 3006, No update data, 9g3qx3p3bfu1
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 81, 11690, No update data, 9g3qx28ejwvu
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 98, 13746, No update data, 9g3qx2ztf9t1
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 39, 4424, No update data, 9g3qx20zpu6k
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 92, 13527, No update data, 9g3qx2zthbcx
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 92, 13527, No update data, 9g3qx2zezjk0
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 54, 7181, No update data, 9g3qx2bf2xyv
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 96, 14195, No update data, 9g3qx215qhpm
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 93, 13694, No update data, 9g3qx2zsry6e
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 93, 13694, No update data, 9g3qx21h54w2
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 43, 5344, No update data, 9g3qx2ptt7fv
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 83, 12024, No update data, 9g3qx2zve2ge
Bird, MEX, 90b74f5d-e040-4887-9f50-eb0af1987f82, 76, 10855, No update data, 9g3qx2zyhf1x
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 92, 9558, No update data, 9g3qx8bh3bb8
Bird, MEX, bd41d1ee-053e-48b2-9d7c-f0619f68b7d4, 70, 9322, No update data, 9g3qx2b2kjpg
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 100, 14863, No update data, 9g3qx2b2kpzv
Bird, MEX, f45cb386-1372-43b1-b8a7-cfa21dd6204b, 90, 12482, No update data, 9g3qx2b27hy3
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 75, 10112, No update data, 9g3qx2b2gqs8
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 66, 8690, No update data, 9g3qx8bp15f3
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 99, 14696, No update data, 9g3qx20f82gd
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 97, 13588, No update data, 9g3qx3pbrstw
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 75, 10112, No update data, 9g3qx8bnk624
Bird, MEX, 16ed6993-3b13-45e9-b63c-fcc4b23801a8, 52, 6478, No update data, 9g3qx8bnex1c
Bird, MEX, 21a6e6c3-ed44-44c5-8863-ffdb811c875c, 80, 11523, No update data, 9g3qx8bnkf3d
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 87, 12008, No update data, 9g3qx8bnkw77
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 48, 5846, No update data, 9g3qx8bnskyk
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 98, 13746, No update data, 9g3qx20s3x72
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 70, 9322, No update data, 9g3qx8bnnn33
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 96, 14195, No update data, 9g3qx20e5939
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 97, 13588, No update data, 9g3qx20ecqv1
Bird, MEX, 1b6a109a-089d-4174-a9de-54132e5d2728, 64, 8374, No update data, 9g3qx8bnqwdv
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 48, 6179, No update data, 9g3qx20s0e0s
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 49, 6346, No update data, 9g3qx302qw6e
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 92, 13527, No update data, 9g3qx900kqbp
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 90, 13193, No update data, 9g3qx20e1b8m
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 97, 13588, No update data, 9g3qx901d34j
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 92, 13527, No update data, 9g3qrrdndr3f
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 92, 13527, No update data, 9g3qx900t8np
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 52, 6478, No update data, 9g3qx82x4vek
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 97, 14362, No update data, 9g3qx206x8s0
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 96, 13430, No update data, 9g3qx20mbewy
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 74, 9954, No update data, 9g3qx20nr9k5
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 89, 13026, No update data, 9g3qx209b9yf
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 83, 11376, No update data, 9g3qx20npb67
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 98, 13746, No update data, 9g3qx2094k3u
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 99, 13904, No update data, 9g3qx20m8kge
Bird, MEX, d1ec53df-5ece-4bdf-8e72-204214ce01b8, 48, 5846, No update data, 9g3qx3r3tpku
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 97, 13588, No update data, 9g3qx20mb0bk
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 96, 14195, No update data, 9g3qx20jzkzn
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 98, 13746, No update data, 9g3qx20m2nvq
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 93, 13694, No update data, 9g3qx20jzh7f
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 99, 13904, No update data, 9g3qrre9dxj0
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 96, 13430, No update data, 9g3qx20jxk8c
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 98, 13746, No update data, 9g3qx20nmdvv
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 55, 7348, No update data, 9g3qx20jvcs0
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 99, 13904, No update data, 9g3qrre97486
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 93, 12956, No update data, 9g3qx20jjwmb
Bird, MEX, b809e99f-9fd2-4e7a-8634-3416733d8ab4, 79, 11356, No update data, 9g3qx32cjmre
Bird, MEX, c0329968-f78d-477a-a85d-9af7ffcb1c69, 49, 6004, No update data, 9g3qrrc47s3w
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 60, 7742, No update data, 9g3qx33ks4pg
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 61, 7900, No update data, 9g3qx0zuh4pz
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 94, 13114, No update data, 9g3qx90jqddu
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 29, 3006, No update data, 9g3qx3tgsn5h
Bird, MEX, be65d0c8-1f69-4b56-8773-9dea4108bb02, 66, 8690, No update data, 9g3qx8bxtjuf
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 91, 13360, No update data, 9g3qx90m1gyc
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 93, 13694, No update data, 9g3qx907pjsj
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 84, 11534, No update data, 9g3qx90nrq35
Bird, MEX, 32fa0b3e-426d-4830-885f-60f809705337, 47, 5688, No update data, 9g3qx0pgxp7f
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 91, 13360, No update data, 9g3qx90mdj5y
Bird, MEX, 0fec7716-d1b5-4c21-8095-7126ca5ddb20, 94, 13861, No update data, 9g3qx90m5cj0
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 46, 5530, No update data, 9g3qrrmr20mt
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 84, 11534, No update data, 9g3qrrmrt8qp
Bird, MEX, 574cbd04-872d-45df-99dd-584c8df2ed83, 57, 7682, No update data, 9g3qx2019w7m
Bird, MEX, fadc597b-95a7-4041-bd95-e5256b81ec95, 91, 13360, No update data, 9g3qx909ud5m
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 79, 11356, No update data, 9g3qx0zdew9x
Bird, MEX, 6fc7a6b6-6098-4944-8da3-f2efe8bca651, 98, 13746, No update data, 9g3qx90kwx6u
Bird, MEX, 283022d8-a96a-4291-b43e-6ce4891eefb4, 75, 10688, No update data, 9g3qx908xgfw
Bird, MEX, f4f066d6-d686-41ce-a730-a7223f70e819, 67, 8848, No update data, 9g3qx90b837z
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 98, 13746, No update data, 9g3qx90s3z29
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 80, 10902, No update data, 9g3qx399y968
Bird, MEX, 15ebbc3d-d3a6-4c78-99b9-3fb4dc519be6, 51, 6320, No update data, 9g3qrrd80m79
Bird, MEX, 45f26348-c7e2-49c7-83f0-5e990a4dbeca, 87, 12692, No update data, 9g3qrrd80g7y
