Bird, MEX, ce1cd831-1983-488e-9ccc-c0e5c1ba4c78, 58, 7426, No update data, 9g3qwc7q050n
Bird, MEX, 007ca9b5-2c1c-4fa2-869e-c137a862c87b, 18, 1169, No update data, 9g3qwfhv1bn7
Bird, MEX, 5616e721-2e57-4419-a561-00d31564ed03, 49, 6346, No update data, 9g3qwcuj3jc8
Bird, MEX, ce9ba1f9-5b53-4132-a483-572be3364f3f, 90, 13193, No update data, 9g3qwb7j2j05
Bird, MEX, 851ab3f5-42e0-40d4-9612-f26432250bf3, 66, 9185, No update data, 9g3qx48z81v4
Bird, MEX, 7a0d79cb-8eca-4f34-ac29-ffc435f83d8a, 49, 6004, No update data, 9g3qwb6u1wqn
Bird, MEX, 5f331e61-a6d6-4603-b9cf-f5e41170ca55, 45, 5678, No update data, 9g3qwfhm2gse
Bird, MEX, 0e625d5f-eb1b-485c-8881-a70bb21c9e15, 39, 4424, No update data, 9g3qwfhm95xv
Bird, MEX, 3bbfd342-cfad-4469-abfa-34acb2b9da62, 74, 9954, No update data, 9g3qwfw1f7z8
Bird, MEX, b94ed889-2521-41d1-ba76-87e1cc9c1ed2, 19, 1264, No update data, 9g3qwb6t1y30
Bird, MEX, f3599454-f8bd-472e-9fb0-37cd5d7b1c16, 58, 7426, No update data, 9g3qx4bduvzq
Bird, MEX, 1abf4837-526c-4158-accc-e3d651ecb5f7, 42, 5177, No update data, 9g3qwft8wmt1
Bird, MEX, 1f75c3af-c44f-4966-8a5e-4088bdc712f6, 80, 11523, No update data, 9g3qx4ch3z9m
Bird, MEX, 6a0d01b0-d173-4c7e-a453-d3542bac1859, 92, 13527, No update data, 9g3qwc6kgvvt
Bird, MEX, 0a52fa87-0213-4a9d-9f06-fd24ac0a0fe7, 94, 13861, No update data, 9g3qwc6m58dq
Bird, MEX, 50a02345-f7f6-4a16-8457-f209bcf11821, 24, 2171, No update data, 9g3qwcfb7run
Bird, MEX, 58b54d35-7022-4ae4-9096-e295f98742c2, 97, 14362, No update data, 9g3qwcfc68jv
Bird, MEX, 21bb6c93-53e4-4a68-8721-a1047b67eafd, 98, 14529, No update data, 9g3qwcfce13p
Bird, MEX, 8cdf1ccc-2147-4ace-a87b-1f386153d14a, 94, 13861, No update data, 9g3qwcfbcyc5
Bird, MEX, 7be9b3d7-2bf4-4edc-bfe8-1256630c4f2e, 97, 14362, No update data, 9g3qwcfbcs75
Bird, MEX, 9a8ebb52-1426-4e00-b5f1-fcf638436054, 98, 14529, No update data, 9g3qwcfc1gy4
Bird, MEX, f4c7c6e0-87cf-4f0a-8909-877a7847ea34, 96, 14195, No update data, 9g3qwcfbcw5p
Bird, MEX, 6e558105-a316-466f-a2ad-9efc4f1443b5, 47, 6012, No update data, 9g3qwcfb8tnr
Bird, MEX, c7bff4a5-a989-4e07-bfd8-d886e49dc7fd, 97, 14362, No update data, 9g3qwcfc1t7h
Bird, MEX, b94f2371-5b8f-47f8-90d8-b8c612dbd2d4, 100, 14863, No update data, 9g3qwcfc1qq1
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 93, 13694, No update data, 9g3qwcfc15zf
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 92, 13527, No update data, 9g3qwcfc04q2
Bird, MEX, 472857f9-3564-4176-8d88-ff31baee06bb, 51, 6680, No update data, 9g3qwf5s0ey6
Bird, MEX, 3f9f00b5-c461-4538-9c70-32a400a026f1, 93, 12956, No update data, 9g3qwb9cqyvn
Bird, MEX, 654102d0-6e23-4bd4-8479-27dbe0da94b6, 76, 10270, No update data, 9g3qwb9cqef5
Bird, MEX, 6f39cc43-9e67-496f-a13d-446b006029fb, 51, 6320, No update data, 9g3qwb3grrq8
Bird, MEX, e27f47e0-ae6d-49fa-9802-46a35bcad6d6, 64, 8851, No update data, 9g3qwbcdesfk
Bird, MEX, 8aafa710-fa10-418f-afd8-12fae4340334, 36, 4175, No update data, 9g3qwfsxrf1f
Bird, MEX, 47b36adb-f2f7-4530-8734-162102778a75, 73, 9796, No update data, 9g3qwf7fdnkr
Bird, MEX, e5b4fae1-fb19-45d1-9b98-c1ff1de1821f, 48, 6179, No update data, 9g3qwfu68uh8
Bird, MEX, 8b79b0e3-f664-4e84-b131-f5e194f4f6d5, 52, 6847, No update data, 9g3qwf47tpj7
