Lime, ATL, WQP, high, 13277, 2019-08-12T22:45:12.000Z, dn5br47zzgmc
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 89, 13026, No update data, 9g3qx215kpzu
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 89, 13026, No update data, 9g3qx215kdk3
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 76, 10855, No update data, 9g3qx2zcmwwj
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 93, 13694, No update data, 9g3qx2zu647f
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 87, 12692, No update data, 9g3qrrswh6w2
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 90, 13193, No update data, 9g3qx3p3zvx6
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 69, 9164, No update data, 9g3qx3qb4mdj
Bird, MEX, dc683a29-e760-4cc9-aff7-d884a4c06426, 40, 4843, No update data, 9g3qx2p3zeh6
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 66, 8690, No update data, 9g3qx3p9gzhu
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 92, 12798, No update data, 9g3qrrsszzrm
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 93, 13694, No update data, 9g3qx20x6xvh
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 90, 13193, No update data, 9g3qx20x3d73
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 75, 10112, No update data, 9g3qx3pf2qev
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 81, 11690, No update data, 9g3qx2b31v03
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bn9f0d
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 57, 7268, No update data, 9g3qx8bn9fqu
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 91, 13360, No update data, 9g3qx2b2b9wc
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 81, 11690, No update data, 9g3qx8bnehwd
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 88, 12859, No update data, 9g3qx20qqgve
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 89, 13026, No update data, 9g3qx20qwhpr
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 79, 11356, No update data, 9g3qrrs7h0gn
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 73, 10354, No update data, 9g3qx3prwbjz
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 100, 14863, No update data, 9g3qx900drr5
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 56, 7515, No update data, 9g3qx8bny7sx
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 27, 2672, No update data, 9g3qx20e8q5e
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 83, 11376, No update data, 9g3qx20e2j8w
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 66, 8690, No update data, 9g3qx28p2zgv
Bird, MEX, d74ca8a6-3b1b-4b97-bbab-cf7b59f976d5, 100, 14863, No update data, 9g3qx900wj1q
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx904c2m3
Bird, MEX, 05d2960b-1390-461f-909e-9298e3d17aae, 31, 3340, No update data, 9g3qx20npudq
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 92, 13527, No update data, 9g3qx20mb5mk
