Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 84, 11534, No update data, 9g3qx3m7w49r
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 72, 10187, No update data, 9g3qx3m7tgk7
Bird, MEX, 5a33c1eb-02b3-406f-a95e-2fd03b186eb0, 92, 13527, No update data, 9g3qx3m7wdpe
Bird, MEX, 917b5fbf-7a29-493d-951b-ea93dbffa032, 46, 5530, No update data, 9g3qx2xg40ev
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 84, 11534, No update data, 9g3qx3m7wnc2
Bird, MEX, a3dd1cdd-17e4-4cb0-b99e-bb2f435c518c, 93, 13694, No update data, 9g3qx3m7wx4d
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 61, 7900, No update data, 9g3qx3meg4b3
Bird, MEX, 3eda6148-325d-4204-8078-ad06c9316bd5, 69, 9686, No update data, 9g3qrryz68mj
Bird, MEX, 32cb2fcb-39f3-4ec1-b35c-7f55c9b32cb3, 88, 12166, No update data, 9g3qx2zt5b2h
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 49, 6346, No update data, 9g3qrryz4wb5
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 28, 2839, No update data, 9g3qx288whx3
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 91, 13360, No update data, 9g3qx3ms673b
Bird, MEX, 0a91a7e0-26e9-49ac-a47c-87c5f2f2c283, 27, 2672, No update data, 9g3qx2zsnzjy
Bird, MEX, b0dd14cb-66fc-4e2c-85da-adb355871808, 53, 7014, No update data, 9g3qx2zg89bb
Bird, MEX, 715614fb-d327-4c1f-9d8f-0e5df58786c8, 45, 5678, No update data, 9g3qx2zsr2pk
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 48, 5846, No update data, 9g3qx2xgnvmf
Bird, MEX, 548ffbf3-5d9f-409d-a036-b234289cbaa0, 29, 3006, No update data, 9g3qx2zg3pd7
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 71, 10020, No update data, 9g3qrrf9ppgc
Bird, MEX, a84b3060-dfa5-4536-b204-6cecca15d4d9, 52, 6847, No update data, 9g3qrrf6kb17
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 44, 5511, No update data, 9g3qrrf6hgrw
Bird, MEX, ceac2ba3-7025-41e4-aa2d-cd1cf7ed8d6c, 62, 8517, No update data, 9g3qx31t8eyy
Bird, MEX, 02519865-e128-40df-9e8f-d0f12b45b6d1, 85, 12358, No update data, 9g3qx215e5bj
Bird, MEX, de6a3e74-a677-4827-be15-5f03c983eb49, 51, 6680, No update data, 9g3qx2p7n5ps
Bird, MEX, 8e5c6a30-a96d-428a-bcc7-eb1f40b728ff, 87, 12692, No update data, 9g3qx215e1nk
Bird, MEX, c7a8ff46-f651-4863-a64c-fed79f63731e, 84, 12191, No update data, 9g3qx2156ze4
Bird, MEX, b1dfe0ac-27ca-427d-8787-04c8eda82d16, 84, 12191, No update data, 9g3qx214ee9e
Bird, MEX, ccf44108-4d8c-43e5-bd42-32a3445760fb, 53, 7014, No update data, 9g3qx3kpqvju
Bird, MEX, aa8f0c35-744a-44c2-bec4-924c01b3c04e, 71, 10020, No update data, 9g3qx2zvsqwr
Bird, MEX, 7f9da773-03d0-45dc-9d4b-1555b19634bf, 69, 9686, No update data, 9g3qrryuydf8
Bird, MEX, 05cf153c-ea3e-4d1a-87d3-16794672a89f, 44, 5214, No update data, 9g3qrryuwn9q
Bird, MEX, e74cd141-086b-40dc-81ee-6f71df179d69, 94, 13114, No update data, 9g3qx2b2n51j
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 96, 13430, No update data, 9g3qx28rs6n4
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 92, 12798, No update data, 9g3qx2b2kbz8
Bird, MEX, 439ee332-7cd7-4ccd-8f37-392be2db73cf, 75, 10112, No update data, 9g3qx2b3y1pr
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 94, 13114, No update data, 9g3qx2b2kmqj
Bird, MEX, e79f0d9d-7417-444f-af98-c9aa3eec1683, 56, 7515, No update data, 9g3qx8bj2hmx
Bird, MEX, 0f5ca52a-063f-43c2-ba3b-02ebc257d43a, 44, 5511, No update data, 9g3qx28q433c
Bird, MEX, f8286d0d-2c4a-4644-b23e-53e33a2cc069, 52, 6847, No update data, 9g3qx8bn2t0g
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 60, 7742, No update data, 9g3qx3qjuhej
Bird, MEX, a48a04d9-b343-4e71-9919-de71c76bd12d, 57, 7268, No update data, 9g3qx2p84z7r
Bird, MEX, 8cafab2e-3949-4631-a220-5aa52f33a155, 75, 10688, No update data, 9g3qx33d3722
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 40, 4843, No update data, 9g3qrrbzkprb
Bird, MEX, 3c5b0b77-4dcf-4b54-8238-aefc30da0255, 21, 1670, No update data, 9g3qrrbzhfx8
Bird, MEX, 9691603a-7ca3-4aa1-8620-34e60045d60e, 82, 11218, No update data, 9g3qx2bq9q0k
