Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 92, 13527, No update data, 9g3qx2zrq1xw
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 93, 9676, No update data, 9g3qx2zsgs1b
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 94, 13861, No update data, 9g3qx2zt5xcf
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 93, 13694, No update data, 9g3qx2zth0en
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 92, 9558, No update data, 9g3qx2ztknej
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 90, 13193, No update data, 9g3qx21hsxuq
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 94, 13861, No update data, 9g3qx2zthfpz
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 92, 13527, No update data, 9g3qx215y4z2
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 87, 12692, No update data, 9g3qrrswu8us
Bird, MEX, d8da51cc-3f4c-4f92-90dc-28e27f57869a, 40, 4843, No update data, 9g3qx2pxn09m
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 90, 13193, No update data, 9g3qx214mq4b
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 69, 9164, No update data, 9g3qx3qb3fwu
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 75, 10112, No update data, 9g3qx3p8vf5j
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 93, 12956, No update data, 9g3qrrsuf5et
Bird, MEX, 018e6980-c8c1-44d0-bcc7-60ed1c53c034, 19, 1336, No update data, 9g3qx2zyyfvc
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 100, 14863, No update data, 9g3qx3pdwqu8
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 90, 13193, No update data, 9g3qx20x88yf
Bird, MEX, d74ca8a6-3b1b-4b97-bbab-cf7b59f976d5, 100, 14863, No update data, 9g3qx3pf0tzp
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 94, 13861, No update data, 9g3qx20w67cg
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 90, 13193, No update data, 9g3qx20x0dnz
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 89, 13026, No update data, 9g3qx20wbv5z
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 92, 13527, No update data, 9g3qx2b337v5
Bird, MEX, 36f00274-02fe-4d11-9f7c-23cef08ef71a, 98, 14529, No update data, 9g3qx3pf9f0d
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 100, 14863, No update data, 9g3qx3pfcuwu
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 82, 11857, No update data, 9g3qx9000mev
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 58, 7849, No update data, 9g3qx3pbygtz
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bngx1u
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 81, 11690, No update data, 9g3qx2b1x2bf
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 96, 13430, No update data, 9g3qx20t2hjm
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 74, 10521, No update data, 9g3qx3prx0hp
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 99, 14696, No update data, 9g3qx3pfp6pr
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 57, 7268, No update data, 9g3qx9005ft1
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 28, 2839, No update data, 9g3qx20s24bt
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 79, 11356, No update data, 9g3qrrs6s6n3
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 97, 13588, No update data, 9g3qx20kwymt
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 66, 8690, No update data, 9g3qx28nfxb0
Bird, MEX, 5abd72a8-9b33-439b-9685-7e4d24735512, 49, 6004, No update data, 9g3qx3e67erb
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 84, 11534, No update data, 9g3qx207w3kq
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 94, 13861, No update data, 9g3qx20m6805
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 93, 13694, No update data, 9g3qx20m8nmm
Bird, MEX, adaed453-2225-4884-9907-62458453914e, 33, 3674, No update data, 9g3qx20jzcf6
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 94, 13861, No update data, 9g3qx20nn86e
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 93, 13694, No update data, 9g3qrrwz7582
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 98, 14529, No update data, 9g3qx20nn5rq
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 80, 11523, No update data, 9g3qx203ru4m
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 89, 13026, No update data, 9g3qx203rduj
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 93, 13694, No update data, 9g3qx20jvhkd
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 93, 13694, No update data, 9g3qx203w531
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 91, 13360, No update data, 9g3qx203uzxx
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 92, 13527, No update data, 9g3qx206h0fz
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 94, 13861, No update data, 9g3qx2065rkx
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 98, 13746, No update data, 9g3qx202ycjw
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 89, 12324, No update data, 9g3qx32cj9mf
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 99, 14696, No update data, 9g3qx3e5wwz8
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 84, 11534, No update data, 9g3qrrbgnvmd
