Bird, MEX, 6ac743a3-c57d-4c1d-af18-edb4505a323a, 46, 5530, No update data, 9g3qx3vxy9xd
Bird, MEX, ecff9f23-7ed5-4e76-a434-43637322371f, 89, 13026, No update data, 9g3qrrhh1202
Bird, MEX, e555ab1e-4445-4901-9924-33d8492f32be, 72, 10187, No update data, 9g3qrr4v3c26
Bird, MEX, cc58944d-c4ae-4255-8a3b-603faa1c98aa, 74, 9954, No update data, 9g3qx3z5x9u3
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 49, 6346, No update data, 9g3qrr4ugx9w
Bird, MEX, ac2e81c0-1dbd-459f-a5e4-ca412f3d971e, 63, 8216, No update data, 9g3qrr2gc62m
Bird, MEX, e359ab3a-46a1-479f-88a4-e572cd953963, 85, 11692, No update data, 9g3qrx9r5w9c
Bird, MEX, 81f5f335-0386-4888-820b-2265d5b16231, 97, 13588, No update data, 9g3qrpyty0ch
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 45, 5372, No update data, 9g3qrr1zh8k6
Bird, MEX, 647e893b-ad08-4ec0-8567-14ec5ff7ef11, 89, 12324, No update data, 9g3qrr4ubd0e
Bird, MEX, 471cdfda-76c5-4984-b14c-2b1821fe52a1, 96, 13430, No update data, 9g3qx93c6k4n
Bird, MEX, 4e0879ca-63a2-4fcf-831b-6633d45e04a7, 48, 6179, No update data, 9g3qx86d0dx1
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 83, 11376, No update data, 9g3qrx2wb3gc
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 69, 9164, No update data, 9g3qrx2w8vu0
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 96, 13430, No update data, 9g3qrx2wc2t6
Bird, MEX, 26671743-4f2e-4f74-b77a-58a4f2269f3b, 99, 13904, No update data, 9g3qx93cgs1c
Bird, MEX, 56f84237-e7a7-4512-a7b3-f88d58fb221c, 91, 12640, No update data, 9g3qx0n352st
Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 79, 10744, No update data, 9g3qrx2w9znb
Bird, MEX, a687e688-6e06-45db-bec3-e1973b9da00d, 81, 11690, No update data, 9g3qx93g13j8
Bird, MEX, 155854f2-f087-4695-82ad-3b408edc11c1, 83, 12024, No update data, 9g3qrx9mv8bh
Bird, MEX, ed7cd53a-1ea3-4149-9619-64c7ced7cfcd, 47, 5688, No update data, 9g3qrpyqyb28
Bird, MEX, 56a74912-733c-4441-9dd4-57c875b0dfc1, 66, 8690, No update data, 9g3qx93ffmx5
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 97, 13588, No update data, 9g3qx93cqwfz
Bird, MEX, 608a257e-f160-4164-ae0e-c898d63721f6, 64, 8374, No update data, 9g3qrrj6d73b
Bird, MEX, 0436e183-29e9-413c-b6b3-245dc8612aee, 73, 10354, No update data, 9g3qrpyr7rus
