Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 80, 10902, No update data, 9g3qx3u2d3cc
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 82, 11218, No update data, 9g3qrr7sxnsn
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 56, 7515, No update data, 9g3qx90cnt4c
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 78, 10586, No update data, 9g3qx90ctugh
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 76, 10855, No update data, 9g3qx90cp23h
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 62, 8517, No update data, 9g3qrr7sw0rr
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 87, 12692, No update data, 9g3qx3epcgne
Bird, MEX, ca16afad-fb5f-4e4a-82a5-b2cd4fa2a4c2, 72, 10187, No update data, 9g3qx92hh300
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 78, 11189, No update data, 9g3qx92hhkn7
Bird, MEX, bbd15dba-d59c-4d70-9583-9b62abdce6cd, 89, 12324, No update data, 9g3qx92hhr0p
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr995bkf
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 100, 14863, No update data, 9g3qrr9959cs
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr9954nq
Bird, MEX, 005c9142-b44c-4c54-acb3-0e8d9f1678c1, 81, 11690, No update data, 9g3qx0pd9egm
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 52, 6478, No update data, 9g3qx92ht7rg
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 88, 12859, No update data, 9g3qx0pd3w76
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 72, 10187, No update data, 9g3qx92hvhsv
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 93, 13694, No update data, 9g3qrxb0qrsd
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 74, 9954, No update data, 9g3qrrkgxc47
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 72, 9638, No update data, 9g3qx0rngh24
Bird, MEX, fe1875d4-96f9-40c9-bf94-f709bc436c9c, 48, 6179, No update data, 9g3qx0p9ddbp
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 91, 13360, No update data, 9g3qx92hvmdg
Bird, MEX, 630b6532-d033-4351-8f31-489d98a096cd, 58, 7849, No update data, 9g3qx0p9d6cz
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 76, 10855, No update data, 9g3qx0p9cd7q
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 85, 12358, No update data, 9g3qx0p9ck24
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 78, 11189, No update data, 9g3qx9145b04
Bird, MEX, bba7f93d-d5c4-4fff-9928-8f098452b102, 72, 9638, No update data, 9g3qx89rrzde
Bird, MEX, aa67c75b-f0e8-4ca2-92e6-d1e128c96c58, 90, 13193, No update data, 9g3qx0pd20j7
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 83, 12024, No update data, 9g3qx911uqy6
Bird, MEX, 2d9a30b6-c4f0-432b-8176-36d6bb701c48, 66, 9185, No update data, 9g3qx0p8f4ky
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 54, 7181, No update data, 9g3qx0p90bj1
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 29, 3006, No update data, 9g3qrx8pzypt
Bird, MEX, 3d34caa5-82dc-441b-bae7-6364bbeee990, 47, 6012, No update data, 9g3qx810cc0w
Bird, MEX, 23eab94a-aec0-422c-873d-6874163cf9b7, 49, 6346, No update data, 9g3qx0p8898x
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 90, 12482, No update data, 9g3qrx8r8s0z
Bird, MEX, cef73ebf-efda-489e-a618-c23e514f4111, 75, 10688, No update data, 9g3qrrm7n036
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 82, 11857, No update data, 9g3qrx8ppvde
Bird, MEX, 589d8217-bddf-4bcf-a446-9457b4549a7a, 54, 7181, No update data, 9g3qx0quvyu1
Bird, MEX, effa76c8-97d9-4963-9056-192f9b95531f, 66, 9185, No update data, 9g3qrr3y0pv9
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 97, 13588, No update data, 9g3qrx8q2k7y
Bird, MEX, a99fe4cf-b8c7-46e5-b1d1-31717d2bfc27, 84, 12191, No update data, 9g3qx81wcnz3
