Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 97, 13588, No update data, 9g3qrm36zy46
Bird, MEX, b91b1a88-f2b7-49ec-b1d1-5a751951db41, 70, 9322, No update data, 9g3qrjkfemhd
Bird, MEX, 7b68ff00-f64a-46ea-9d30-596f3ed3770a, 99, 13904, No update data, 9g3qrm3dc1dp
Bird, MEX, d5c6bbb1-7b56-493b-a2e8-e000f096d38a, 98, 13746, No update data, 9g3qrm36rmx5
Bird, MEX, d8baed10-c794-4ad8-810d-0f52e237c43a, 98, 13746, No update data, 9g3qrm3dc87r
Bird, MEX, f01f4a18-d822-4191-bda4-15ba098a23f4, 64, 8374, No update data, 9g3qrjks8nm6
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 97, 13588, No update data, 9g3qrm3df79g
Bird, MEX, 95da4ad1-8339-4661-aad1-20a437f9b28f, 90, 12482, No update data, 9g3qrjnjs6w4
Bird, MEX, 3659c8df-bbad-4607-90af-3bedaa7c491c, 76, 10855, No update data, 9g3qrn5mb526
Bird, MEX, de954336-e87e-4488-99cf-1e0beada12ed, 49, 6004, No update data, 9g3qxfh8rfxv
Bird, MEX, deaf0a93-b847-453b-beef-98cfe6925a3c, 79, 10744, No update data, 9g3qxcymv0m4
Bird, MEX, 8c04db84-2982-411e-868e-448bc7d48333, 76, 10270, No update data, 9g3qxcymvx9s
Bird, MEX, ecf84679-72c3-41c8-aa3e-4fe4c9a473dd, 31, 3160, No update data, 9g3qxcyvpqn8
Bird, MEX, 624185ad-6a61-48a1-8d24-50b836d23e1b, 48, 5846, No update data, 9g3qxczhsm0x
Bird, MEX, fefade75-5349-4cb9-903e-9bab3d06db7d, 49, 6004, No update data, 9g3qxczsejtc
Bird, MEX, ddfd1500-a3ec-4afa-9259-b06911384a81, 73, 9796, No update data, 9g3qxf5zwcy6
Bird, MEX, ee489d90-6a69-43e7-883d-80268ae3c07d, 15, 632, No update data, 9g3qxfpnd268
Bird, MEX, d96ce402-e456-4a64-8847-53968cdf346f, 46, 5530, No update data, 9g3qxfmdfdt8
Bird, MEX, 507c85af-6b8d-47a1-b9d9-eea8fc0d6e4f, 54, 6794, No update data, 9g3qxfpz4kz8
Bird, MEX, a4cd85de-867f-4732-b3a8-5c2635dbc49c, 46, 5530, No update data, 9g3w841jwu87
Bird, MEX, 54b1a86c-c575-47f6-bb33-0dd4c0dd78bd, 53, 6636, No update data, 9g3qrtg0tzgh
Bird, MEX, f98b0f6e-111f-4b75-8924-0dbb8c4667e8, 46, 5530, No update data, 9g3qrtg0w5px
Bird, MEX, 433e6897-76f9-493a-a93d-c1b09cf34a81, 54, 7181, No update data, 9g3w81ucfg4u
Bird, MEX, 8ba13f38-d638-40ab-a05c-a12f8ebaf3f5, 74, 9954, No update data, 9g3w81v2w3mp
Bird, MEX, d773b291-304c-40eb-8741-10c951a86a55, 54, 6794, No update data, 9g3qrkv88t0f
Bird, MEX, adc6ae4f-52d7-42a6-9fef-bbe285c4ae20, 79, 10744, No update data, 9g3qrkv1y1p7
Bird, MEX, 97d89fc4-5db0-49b2-bbeb-6f0b18444e60, 46, 5530, No update data, 9g3qr7usfn7e
Bird, MEX, 8971dda7-0053-447d-98ed-28e335e65b24, 73, 10354, No update data, 9g3qr7u523gg
Bird, MEX, 88d3975c-91af-4afb-a117-d48ac7438e86, 85, 11692, No update data, 9g3qr7u14xtj
Bird, MEX, cd6d60f8-065d-4d45-85d8-b6938fd23b24, 87, 12008, No update data, 9g3qr7u130d5
Bird, MEX, 6a72ef24-50af-4d2e-9c8f-6c6beb5ca817, 81, 11060, No update data, 9g3qrk4g0hvs
Bird, MEX, 426c774c-cea2-49fa-b93b-7afb6a8e0c73, 51, 6680, No update data, 9g3qrk4er0gv
Bird, MEX, 21498960-6c2d-49e6-8acf-de435e204c2b, 72, 9638, No update data, 9g3qrk6d3m23
Bird, MEX, bb688337-d493-4fb0-83ff-c7a8c12aa7a9, 82, 11218, No update data, 9g3qrm5u12m2
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 51, 6320, No update data, 9g3qrk46expy
Bird, MEX, 0def99cf-d16d-4a87-a186-300073501e01, 76, 10270, No update data, 9g3qrm5spr2u
Bird, MEX, 6cd1f77f-9e85-4d93-b66d-4c0c709f8051, 45, 5372, No update data, 9g3qrmhn9c8t
Bird, MEX, 3617babc-f52f-4219-9275-224751a944d1, 43, 5344, No update data, 9g3qrmhnc9ex
Bird, MEX, f54b28ff-593b-47e8-9a43-77b9131da16d, 44, 5214, No update data, 9g3qrmqjbht9
Bird, MEX, fb51d73f-9c0c-4aab-814b-ece095f44f15, 25, 2338, No update data, 9g3qrmk6xrr0
Bird, MEX, 1be2227c-68d1-460d-83a5-a46ca069665a, 78, 10586, No update data, 9g3qrmqn5ny9
Bird, MEX, d0066651-47ea-4a6e-840b-f63c5f32ba04, 89, 12324, No update data, 9g3qrmqnk6nq
Bird, MEX, 1f9e2f30-e336-4d3d-ac28-b23f50927005, 90, 12482, No update data, 9g3qrkf0kts7
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 73, 10354, No update data, 9g3qrmk7645w
