Bird, MEX, 35c53774-0515-4367-a3d9-f70b406ad050, 89, 13026, No update data, 9g3qrrwwqp32
Bird, MEX, 6462565e-916e-4f0e-9b4a-4dc4fe3835ac, 38, 4509, No update data, 9g3qx3d0ru4q
Bird, MEX, 624bf21a-1e3f-4419-ad1a-077d2f510c56, 85, 12358, No update data, 9g3qx2083623
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 89, 13026, No update data, 9g3qrrwwppkp
Bird, MEX, f277bae7-9251-4364-a33b-af8487898e26, 94, 13114, No update data, 9g3qrrwy2dr1
Bird, MEX, fe6a4a75-799d-405f-b205-19e2cc7d2458, 96, 14195, No update data, 9g3qx3e5ywd9
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 98, 14529, No update data, 9g3qx3ehndxd
Bird, MEX, fe2d2b3d-2645-48f7-b0c8-1b757475b26e, 97, 13588, No update data, 9g3qx3ehnn31
Bird, MEX, 473d4d6d-36fe-4d58-8beb-6e17adfd86cd, 97, 14362, No update data, 9g3qx3ehmdyn
Bird, MEX, ad80598c-a5ac-46c2-8e3b-5e6684fb7b37, 84, 11534, No update data, 9g3qrr9trq8u
Bird, MEX, 7792dec0-5ce4-4588-aa89-878581473de0, 79, 10744, No update data, 9g3qx8bxe5qd
Bird, MEX, 021b3143-2adb-43d3-835d-54e86881e583, 52, 6847, No update data, 9g3qrr9symu7
Bird, MEX, 084cb774-e6b5-4cd4-8869-1053d4ceeaf8, 73, 10354, No update data, 9g3qx3tkzhk5
Bird, MEX, 5a9928c8-c851-44dc-8758-99fa114a49a1, 61, 7900, No update data, 9g3qrrbqgcuf
Bird, MEX, ab8b7181-1ad6-48c6-b59a-cc847cc7dec8, 58, 7849, No update data, 9g3qx39c7khw
Bird, MEX, 70c09a11-6d2e-41b9-997e-508e24375b41, 49, 6004, No update data, 9g3qx0zd7csw
Bird, MEX, 09c9f43d-dc1f-4703-a57b-db4b5724a322, 19, 1336, No update data, 9g3qx8bz17v9
