Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 94, 13114, No update data, 9g3qx90cwmud
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 93, 12956, No update data, 9g3qx90fu7qm
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 49, 6004, No update data, 9g3qx80fvu50
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 76, 10270, No update data, 9g3qx9108tpn
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 54, 6794, No update data, 9g3qrxb7vzep
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 96, 13430, No update data, 9g3qrpzyt5se
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 63, 8216, No update data, 9g3qx83760ez
Bird, MEX, af29b99b-da68-4c35-b38e-dd1caa7da380, 90, 12482, No update data, 9g3qx926997x
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 63, 8684, No update data, 9g3qrr6tvewj
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 83, 12024, No update data, 9g3qx92hht77
