Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 97, 13588, No update data, 9g3qx92hh38h
Bird, MEX, 7867c507-5041-4675-a9b1-bd50db64fb08, 29, 3006, No update data, 9g3qrr6tsp50
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 64, 8374, No update data, 9g3qx89rqxzv
Bird, MEX, 4704be31-aaad-4f98-b85e-eadb679391b2, 40, 4582, No update data, 9g3qrr75t2zc
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr9816vr
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 46, 5530, No update data, 9g3qrr8gdzgn
Bird, MEX, be4e4df7-29d3-4ea1-9a33-3914fa8bbfd3, 60, 8183, No update data, 9g3qx1p3c545
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 67, 9352, No update data, 9g3qx389m90g
Bird, MEX, 97b2ff0a-ff49-46bc-9963-48bcd701be29, 72, 10187, No update data, 9g3qx0pn1cyt
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx0p28eyv
Bird, MEX, 3d850764-5537-4c8a-a58d-997d7e4d5bed, 96, 13430, No update data, 9g3qx0p1pngg
Bird, MEX, 65f13d3f-0b2d-4f4a-8c16-f491737010a8, 100, 14863, No update data, 9g3qrpzr4mpb
Bird, MEX, bf5b53f3-a0b6-40c9-82c1-262c30904b33, 100, 14062, No update data, 9g3qx0p0pb41
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 100, 14062, No update data, 9g3qrpzr0vj0
Bird, MEX, c053267e-4814-4858-a9cc-a88cf7df7e4a, 100, 14863, No update data, 9g3qx0p0qpch
Bird, MEX, aaff40ed-398a-426e-9f80-9120ff8ab765, 46, 5530, No update data, 9g3qx3fe1bqt
Bird, MEX, 7938bcbf-3f99-4876-be5e-cfb6d0058966, 98, 13746, No update data, 9g3qrpzpxr2f
Bird, MEX, aa023eb9-ca95-4a71-8040-a6e426028bec, 49, 6346, No update data, 9g3qrrhxfgem
Bird, MEX, 3af74e51-7702-4863-b83a-51c38cc17f5f, 99, 13904, No update data, 9g3qrpzpw9dr
Bird, MEX, cf88cd23-8151-4311-a96b-121cac0c6c08, 62, 8058, No update data, 9g3qrr3sjzu1
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 67, 8848, No update data, 9g3qrr6644e8
Bird, MEX, 0298c852-3d71-41e1-8417-dc50aea18bc7, 100, 14863, No update data, 9g3qrpznpv40
Bird, MEX, d7b2d89f-ad12-48e4-a089-0e9bf1d9031d, 81, 11060, No update data, 9g3qrrhpjdnn
Bird, MEX, 98361164-9cfe-47ba-8089-8a52c3847494, 100, 14863, No update data, 9g3qrpznm4k3
Bird, MEX, 9e64049f-8a2a-455f-8b8a-5dd10085cf59, 100, 14863, No update data, 9g3qrpzjvejf
Bird, MEX, 3ffd623d-8224-4c44-b149-422a6040376c, 100, 14863, No update data, 9g3qrpzjv8mb
Bird, MEX, 63e9ef70-528f-49e2-ad55-e084a59ffb47, 100, 14062, No update data, 9g3qrpzjszrd
Bird, MEX, 3583450c-8a32-4bd9-864b-fe415aea1999, 84, 11534, No update data, 9g3qrr3dykum
Bird, MEX, 05ef896c-b89e-4d70-90ff-8c0612a92f93, 80, 10902, No update data, 9g3qrr4w12tk
Bird, MEX, 16607339-3388-466d-a89a-6b0f83a27a34, 66, 8690, No update data, 9g3qx1rq6ug4
Bird, MEX, 46f58cb6-2ddd-48a0-8590-f6e0fdb5efbe, 34, 3841, No update data, 9g3qrr38d7cu
Bird, MEX, aba6c0de-f220-4f71-bc2f-fc632c88f659, 97, 14362, No update data, 9g3qx93b2rgv
Bird, MEX, 7cfad983-6c6e-446c-8091-ab81782b9b88, 100, 14863, No update data, 9g3qx939qdpb
Bird, MEX, 2fe02f2e-ae04-4fb7-8aad-653eb0d11c04, 99, 14696, No update data, 9g3qx939pr91
Bird, MEX, c3d68542-4dd1-438a-a893-e73ce55a82c1, 100, 14863, No update data, 9g3qx93c080f
Bird, MEX, c0937207-3f1e-4e3b-8f91-a9e6edc27a1f, 100, 14062, No update data, 9g3qrpyftpuq
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 99, 14696, No update data, 9g3qx93bc5xr
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 97, 14362, No update data, 9g3qx93dnjp9
Bird, MEX, 3562749a-8ece-401a-a5d8-2167872733b7, 100, 14062, No update data, 9g3qx93c27gu
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 100, 14062, No update data, 9g3qx93c1hdr
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 100, 14863, No update data, 9g3qx93c1jfr
Bird, MEX, bfed61d9-a16d-4a9e-805b-71d1bd07951f, 99, 14696, No update data, 9g3qrpyu27gd
Bird, MEX, 60be9a24-bf36-4bf5-9e8b-9f7eca2177de, 100, 14863, No update data, 9g3qrpyfgghd
Bird, MEX, 1decca89-9e3f-4d0a-a136-1b30f2584da6, 100, 14863, No update data, 9g3qx93c395d
Bird, MEX, a6856924-59d9-4541-b679-474c40e01766, 99, 14696, No update data, 9g3qx93ber5d
Bird, MEX, ac32e0d5-ebfb-4721-b1cf-515c9240a074, 70, 9322, No update data, 9g3qrx9rj8q4
Bird, MEX, e97f74a1-de94-4461-94d5-d43b95525042, 99, 14696, No update data, 9g3qrpyg8r7d
Bird, MEX, fc7b32e5-5e89-48ae-9ee7-718ab01bcec7, 100, 14863, No update data, 9g3qx93c6z79
Bird, MEX, 4519a928-c732-4dbc-83a4-d3ff286c3b50, 98, 14529, No update data, 9g3qx93che5m
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 40, 4582, No update data, 9g3qrr1y5rht
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 100, 14062, No update data, 9g3qrpycep24
Bird, MEX, 608a257e-f160-4164-ae0e-c898d63721f6, 64, 8374, No update data, 9g3qrrj661gy
Bird, MEX, 3c7f3825-9f15-44bf-b303-3ad49d87d60f, 67, 8848, No update data, 9g3qx0tfc7mh
Bird, MEX, b488194e-e791-4595-87a2-4f12c9ef2f2a, 67, 9352, No update data, 9g3qrrh3nepe
Bird, MEX, 9b66ca9f-0a6b-4bbf-b3bc-5b2c9887b96b, 70, 9322, No update data, 9g3qx94r3hz6
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 57, 7268, No update data, 9g3qx6n6qddt
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 61, 7900, No update data, 9g3qx65hgdpy
Bird, MEX, 95fc6828-9275-4899-a948-ada81d37eb6f, 84, 11534, No update data, 9g3qrrp5fzeq
Bird, MEX, fa12b65b-0bbf-4711-bb42-75fcdd9b9ed5, 80, 11523, No update data, 9g3qx94szup9
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 69, 9686, No update data, 9g3qx6p37e3c
Bird, MEX, e5bea980-ba2a-43f9-8354-3fa02349f39b, 44, 5214, No update data, 9g3qrqvqq5z3
Bird, MEX, 5be8d2a6-e2c0-4cdf-bf0e-41e772bbabc2, 57, 7682, No update data, 9g3qx8e7700s
Bird, MEX, f1f8c7c7-4a09-4d38-ae07-66544791d521, 54, 6794, No update data, 9g3qx96b3kvd
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 48, 5846, No update data, 9g3qrpqzf63v
Bird, MEX, f25d29dc-3a5a-456c-8c3b-4a250454c1ac, 88, 12166, No update data, 9g3qx96bcu2e
Bird, MEX, ac54d2f1-274e-486a-92b6-44a77d3c1ee3, 45, 5372, No update data, 9g3qx96c1cqf
Bird, MEX, 6f8c24b5-2e6b-4f30-9a0b-9030a6d14fb7, 48, 5846, No update data, 9g3qrrpg3b0d
Bird, MEX, a96ca4f5-e478-4aed-8205-7445d70462bf, 47, 5688, No update data, 9g3qx96c4xv7
Bird, MEX, ff8ece41-76bf-4fa2-8c59-79a7430d6b40, 79, 10744, No update data, 9g3qrqyxnkux
Bird, MEX, 3858dd7d-7b8e-4f3d-93ec-1566bad54f28, 38, 4509, No update data, 9g3qx8gkr730
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 74, 9954, No update data, 9g3qrqfjepbj
Bird, MEX, 1c05d050-24b8-4db8-ae5c-12d4629e481d, 47, 5688, No update data, 9g3qx1z7ew3w
Bird, MEX, 249dc069-2b69-401d-834b-dcc1c8643e6a, 96, 13430, No update data, 9g3qrpr39p40
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 60, 8183, No update data, 9g3qx1jhh04f
Bird, MEX, eb57a2d6-5f3e-45b2-ac89-7bb5188200d3, 63, 8216, No update data, 9g3qrqg3wj9p
Bird, MEX, 33b56736-5887-4018-96fd-1270002bb787, 81, 11060, No update data, 9g3qrppsfjuf
Bird, MEX, 786a3d22-b662-49c4-8780-a19f1d60f108, 72, 9638, No update data, 9g3qrqv8yymy
Bird, MEX, 7548e5be-43ee-4563-a1c4-f3a2e07c363e, 53, 6636, No update data, 9g3qrqz589rh
Bird, MEX, e766c058-50b1-4d2c-8d40-c498d16ec2ae, 79, 10744, No update data, 9g3qrx0ftkxb
Bird, MEX, db57d417-3a60-4537-8914-dc7dc507b318, 90, 12482, No update data, 9g3qrqcdrrpp
Bird, MEX, dfeea5b2-8d1c-4598-9452-1d0634b0ae93, 62, 8058, No update data, 9g3qrx0cytxb
Bird, MEX, ff5a2790-8921-47b2-96fb-8987b3f032a0, 65, 8532, No update data, 9g3qrx0cjfg1
Bird, MEX, 5bc4f95e-f327-49c1-9afb-afd46c109227, 60, 8183, No update data, 9g3qx0kjezke
Bird, MEX, 907e69f0-82d5-4216-bce1-c8a0fb9a5866, 78, 10586, No update data, 9g3qrpp2p20b
Bird, MEX, 5fb8d625-c798-45fe-899a-7ab047d189bc, 49, 6004, No update data, 9g3qrwbt09bg
Bird, MEX, c9d3d198-c85b-431a-8e61-d5cfd42a0214, 48, 5846, No update data, 9g3qx0ebqfbt
Bird, MEX, 16fd1512-4a6d-4660-b8b9-c218d7626222, 57, 7682, No update data, 9g3qrqehheh7
Bird, MEX, b60d6668-80e3-47ba-91e7-b8b1179755f2, 61, 7900, No update data, 9g3qrwcpqjcr
Bird, MEX, 2b582ac9-1639-4724-b710-8609b44b991a, 47, 6012, No update data, 9g3qrq9r0tyu
Bird, MEX, 463e7cd3-adfc-484b-a176-edf88a29f41f, 43, 5056, No update data, 9g3qrwcny94v
