Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx21m4hsy
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 80, 10902, No update data, 9g3qx3me7426
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 30, 3173, No update data, 9g3qx218ubr8
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 61, 8350, No update data, 9g3qx2z8xdsq
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 46, 5530, No update data, 9g3qx31ywjc4
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 89, 13026, No update data, 9g3qx3nx591b
Bird, MEX, bf5ec4c8-da3a-4910-9bbb-1331c00cab73, 85, 12358, No update data, 9g3qx21hp2p1
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 74, 10521, No update data, 9g3qx3ms4jev
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 29, 3006, No update data, 9g3qrrf75t9s
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 30, 3173, No update data, 9g3qrrtpdug7
Bird, MEX, fe09ac05-2109-4323-b449-721e5388cef0, 84, 11534, No update data, 9g3qx215w0c4
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 42, 5177, No update data, 9g3qrrvbc7vr
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 92, 13527, No update data, 9g3qx214ynrr
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 87, 12692, No update data, 9g3qx2ztxwkm
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx229wzvx
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 93, 13694, No update data, 9g3qx2157125
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 60, 7742, No update data, 9g3qrrvbk7y6
Bird, MEX, 0993ecaa-23b5-497f-a0ce-4e6bccbe2028, 62, 8517, No update data, 9g3qx2btjjst
