Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 93, 12956, No update data, 9g3qx20kzff2
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 96, 14195, No update data, 9g3qx9012t0g
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 26, 2505, No update data, 9g3qx20ed5sg
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 90, 13193, No update data, 9g3qx20muy3r
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 65, 8532, No update data, 9g3qx28p6e0p
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 82, 11218, No update data, 9g3qx20eb42w
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 71, 10020, No update data, 9g3qx3r2p71j
Bird, MEX, 3fd55636-97fc-4e6a-9613-821f2dc94cd4, 72, 9638, No update data, 9g3qx3e6jxw1
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 91, 13360, No update data, 9g3qx20m75b5
Bird, MEX, 05d2960b-1390-461f-909e-9298e3d17aae, 29, 3006, No update data, 9g3qx20mcmb7
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 90, 13193, No update data, 9g3qx20m99g2
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 94, 13861, No update data, 9g3qx20m92b6
Bird, MEX, 5cc6acb5-f27a-4519-aebd-90aedbfbc8ed, 93, 12956, No update data, 9g3qx20q008m
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 85, 12358, No update data, 9g3qx2092qes
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 91, 13360, No update data, 9g3qrrwz4ve7
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 88, 12166, No update data, 9g3qx330bnbd
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 74, 10521, No update data, 9g3qx203prrp
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 91, 13360, No update data, 9g3qx203pmzn
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 92, 13527, No update data, 9g3qx203r20g
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 71, 9480, No update data, 9g3qx3pvxkch
Bird, MEX, 6ef0cf46-959d-48be-8caf-7d2b48fbc319, 64, 8851, No update data, 9g3qx3d28s28
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 96, 13430, No update data, 9g3qx202yvjx
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 89, 13026, No update data, 9g3qx202yedw
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 83, 11376, No update data, 9g3qrrc4dx00
Bird, MEX, 58f45bdc-8e22-4aae-97ba-30ff2ffc74a3, 47, 5688, No update data, 9g3qx80xdr41
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 90, 13193, No update data, 9g3qx202ny28
Bird, MEX, e076e780-25d3-4bfa-84da-4d12128898cc, 85, 11692, No update data, 9g3qrrzv70ne
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 93, 12956, No update data, 9g3qx3ehp7z4
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 49, 6346, No update data, 9g3qrrc0z55c
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 97, 14362, No update data, 9g3qx3ehntre
Bird, MEX, 80156013-f933-47ae-af71-71bbf2e1d5bc, 78, 11189, No update data, 9g3qx80wzzxx
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 58, 7849, No update data, 9g3qx0zdkhzc
Bird, MEX, 81c77a5a-0f5c-48ce-a0c6-eb963e39f6b7, 64, 8851, No update data, 9g3qx90kpzfd
