Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 90, 13193, No update data, 9g3qx232gscw
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 79, 10744, No update data, 9g3qx2z70vun
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 81, 11060, No update data, 9g3qx2z6cpz0
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 78, 11189, No update data, 9g3qx2z3eecy
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 87, 12008, No update data, 9g3qx232eqhe
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 78, 10586, No update data, 9g3qrrv7sypd
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 92, 12798, No update data, 9g3qx23n75y7
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 40, 4582, No update data, 9g3qx3nm9w7w
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 89, 13026, No update data, 9g3qx23n5h8n
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 90, 13193, No update data, 9g3qx2zpcjd6
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 74, 10521, No update data, 9g3qx23296vr
Bird, MEX, 343b86cf-a61f-47db-b949-f5b789405418, 84, 12191, No update data, 9g3qx23n3unt
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 92, 12798, No update data, 9g3qx29527ge
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 85, 11692, No update data, 9g3qx23p2u5v
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 70, 9322, No update data, 9g3qx2321f83
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 90, 13193, No update data, 9g3qx231p8k5
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 84, 11534, No update data, 9g3qx21mwhx3
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 88, 12859, No update data, 9g3qx231nbme
