Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 56, 7515, No update data, 9g3qx2zvqhz9
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 48, 6179, No update data, 9g3qx315gnnq
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 62, 8058, No update data, 9g3qx2zvwsr8
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 45, 5678, No update data, 9g3qx2b34u7j
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 79, 11356, No update data, 9g3qx8bhuk00
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 76, 10855, No update data, 9g3qrrdr5s3s
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 73, 10354, No update data, 9g3qx22nq86w
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 74, 9954, No update data, 9g3qx3e028nv
Bird, MEX, b700178c-f2ec-4999-a458-6375b87bedbb, 63, 8216, No update data, 9g3qrrsgkthd
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 72, 10187, No update data, 9g3qrrdtr32g
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 87, 12692, No update data, 9g3qx280160r
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 26, 2505, No update data, 9g3qrrbzd4kg
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 49, 6004, No update data, 9g3qrrdnd82p
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 40, 4582, No update data, 9g3qrrz4hbxu
Bird, MEX, 40f3fe74-6fb4-4d3f-92ab-c086b6ca5a33, 93, 13694, No update data, 9g3qx20q0g5u
Bird, MEX, 0598c619-cf04-4160-9000-98912961cb11, 46, 5845, No update data, 9g3qx2bqbswu
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 31, 3340, No update data, 9g3qrrbyh7y0
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbyj33
Bird, MEX, 07531c9c-ab52-428c-8513-1eb1df633584, 82, 11857, No update data, 9g3qx88w7ft5
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 81, 11690, No update data, 9g3qrrzz7q7d
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 92, 13527, No update data, 9g3qx209bme9
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 92, 13527, No update data, 9g3qx20jzqz1
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 89, 12324, No update data, 9g3qx20kcqb3
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre9bn0t
Bird, MEX, 0f5ca52a-063f-43c2-ba3b-02ebc257d43a, 29, 3006, No update data, 9g3qx3029gyw
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 92, 13527, No update data, 9g3qx20jxf67
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre9c9e8
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 84, 11534, No update data, 9g3qx30294dn
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 87, 12008, No update data, 9g3qx3028v5y
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 49, 6004, No update data, 9g3qrrc4wj3p
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 81, 11060, No update data, 9g3qx20jnutw
Bird, MEX, 491f7cf3-237f-462e-9533-48e29e29f64e, 44, 5214, No update data, 9g3qx88ezg4d
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 74, 9954, No update data, 9g3qx20jq09p
Bird, MEX, 0eee3ce1-4388-47da-87ec-91b246e64f11, 74, 10521, No update data, 9g3qx203q9dt
Bird, MEX, dbe3520a-b284-45f9-a9f4-28d29248636b, 66, 8690, No update data, 9g3qx3d2cu03
