Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 67, 8848, No update data, 9g3qx835rbxx
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 100, 14062, No update data, 9g3qx90gcmm8
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 100, 14062, No update data, 9g3qx90gd2pp
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 66, 8690, No update data, 9g3qrr97j8jb
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 100, 14062, No update data, 9g3qx90u1fwc
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 96, 13430, No update data, 9g3qx925v0uv
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 96, 13430, No update data, 9g3qx92hj0sy
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 63, 8216, No update data, 9g3qx89ry5xw
Bird, MEX, 4704be31-aaad-4f98-b85e-eadb679391b2, 40, 4582, No update data, 9g3qrr75t8y1
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 46, 5530, No update data, 9g3qrr8gkwuq
Bird, MEX, bf5b53f3-a0b6-40c9-82c1-262c30904b33, 99, 13904, No update data, 9g3qrpzxccyd
Bird, MEX, be4e4df7-29d3-4ea1-9a33-3914fa8bbfd3, 58, 7849, No update data, 9g3qx1p662ry
Bird, MEX, 65f13d3f-0b2d-4f4a-8c16-f491737010a8, 100, 14863, No update data, 9g3qrpzrz62y
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx0p2s3wp
Bird, MEX, 3d850764-5537-4c8a-a58d-997d7e4d5bed, 96, 13430, No update data, 9g3qx0p2kndu
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 66, 9185, No update data, 9g3qx389whr3
Bird, MEX, 3ffd623d-8224-4c44-b149-422a6040376c, 100, 14863, No update data, 9g3qx0p34pkz
Bird, MEX, 7938bcbf-3f99-4876-be5e-cfb6d0058966, 97, 13588, No update data, 9g3qx0p34hku
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 99, 13904, No update data, 9g3qx0p3bwb9
Bird, MEX, 98361164-9cfe-47ba-8089-8a52c3847494, 100, 14863, No update data, 9g3qx0p25x3x
Bird, MEX, 9e64049f-8a2a-455f-8b8a-5dd10085cf59, 100, 14863, No update data, 9g3qrpzru4fb
Bird, MEX, 3af74e51-7702-4863-b83a-51c38cc17f5f, 99, 13904, No update data, 9g3qrpzrs5zv
Bird, MEX, c053267e-4814-4858-a9cc-a88cf7df7e4a, 100, 14863, No update data, 9g3qrpzrs16v
Bird, MEX, 0298c852-3d71-41e1-8417-dc50aea18bc7, 98, 14529, No update data, 9g3qrpzrg7sw
Bird, MEX, 63e9ef70-528f-49e2-ad55-e084a59ffb47, 100, 14062, No update data, 9g3qrpzrg89d
Bird, MEX, 97b2ff0a-ff49-46bc-9963-48bcd701be29, 71, 10020, No update data, 9g3qx0pjbm5x
Bird, MEX, aaff40ed-398a-426e-9f80-9120ff8ab765, 45, 5372, No update data, 9g3qx3fe431b
Bird, MEX, aa023eb9-ca95-4a71-8040-a6e426028bec, 47, 6012, No update data, 9g3qrrhxgs9e
Bird, MEX, d7b2d89f-ad12-48e4-a089-0e9bf1d9031d, 80, 10902, No update data, 9g3qrrhptr6f
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 67, 8848, No update data, 9g3qrr665kke
Bird, MEX, cf88cd23-8151-4311-a96b-121cac0c6c08, 62, 8058, No update data, 9g3qrr3eymu7
Bird, MEX, 3583450c-8a32-4bd9-864b-fe415aea1999, 83, 11376, No update data, 9g3qrr3dy59j
Bird, MEX, 46f58cb6-2ddd-48a0-8590-f6e0fdb5efbe, 31, 3340, No update data, 9g3qrr38g4qm
Bird, MEX, 05ef896c-b89e-4d70-90ff-8c0612a92f93, 80, 10902, No update data, 9g3qrr4tfc7r
Bird, MEX, 16607339-3388-466d-a89a-6b0f83a27a34, 65, 8532, No update data, 9g3qx1rq7jqq
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 100, 14863, No update data, 9g3qx939rduq
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 96, 14195, No update data, 9g3qx93c0ebc
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 98, 14529, No update data, 9g3qx939rzr9
Bird, MEX, 1decca89-9e3f-4d0a-a136-1b30f2584da6, 99, 14696, No update data, 9g3qx93b6kz4
Bird, MEX, c3d68542-4dd1-438a-a893-e73ce55a82c1, 100, 14863, No update data, 9g3qx93b9uqb
Bird, MEX, aba6c0de-f220-4f71-bc2f-fc632c88f659, 94, 13861, No update data, 9g3qx93c16m8
Bird, MEX, a6856924-59d9-4541-b679-474c40e01766, 99, 14696, No update data, 9g3qx93c1t59
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 100, 14062, No update data, 9g3qx93c4mdj
Bird, MEX, 4519a928-c732-4dbc-83a4-d3ff286c3b50, 98, 14529, No update data, 9g3qx93bgj87
Bird, MEX, fa12b65b-0bbf-4711-bb42-75fcdd9b9ed5, 78, 11189, No update data, 9g3qx93cc7tx
Bird, MEX, 3562749a-8ece-401a-a5d8-2167872733b7, 100, 14062, No update data, 9g3qx93c575t
Bird, MEX, 2fe02f2e-ae04-4fb7-8aad-653eb0d11c04, 98, 14529, No update data, 9g3qx93bm4su
Bird, MEX, fc7b32e5-5e89-48ae-9ee7-718ab01bcec7, 99, 14696, No update data, 9g3qx93buqb6
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 99, 13904, No update data, 9g3qrpyf9sg7
Bird, MEX, 7cfad983-6c6e-446c-8091-ab81782b9b88, 99, 14696, No update data, 9g3qx93chr83
Bird, MEX, 60be9a24-bf36-4bf5-9e8b-9f7eca2177de, 99, 14696, No update data, 9g3qrpycfqzc
Bird, MEX, bfed61d9-a16d-4a9e-805b-71d1bd07951f, 98, 14529, No update data, 9g3qrpyf84vr
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 40, 4582, No update data, 9g3qrr1vbz7u
Bird, MEX, 608a257e-f160-4164-ae0e-c898d63721f6, 64, 8374, No update data, 9g3qrrj66w85
Bird, MEX, ac32e0d5-ebfb-4721-b1cf-515c9240a074, 70, 9322, No update data, 9g3qrx9w1kms
Bird, MEX, 3c7f3825-9f15-44bf-b303-3ad49d87d60f, 67, 8848, No update data, 9g3qx0tg2vsz
Bird, MEX, 9b66ca9f-0a6b-4bbf-b3bc-5b2c9887b96b, 69, 9164, No update data, 9g3qx94qf6f1
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 57, 7268, No update data, 9g3qx6n6qvmy
Bird, MEX, 95fc6828-9275-4899-a948-ada81d37eb6f, 84, 11534, No update data, 9g3qrrph7uhu
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 60, 7742, No update data, 9g3qx65hemhx
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 69, 9686, No update data, 9g3qx6p3sng1
Bird, MEX, e5bea980-ba2a-43f9-8354-3fa02349f39b, 44, 5214, No update data, 9g3qrqvqmvh3
Bird, MEX, 5be8d2a6-e2c0-4cdf-bf0e-41e772bbabc2, 56, 7515, No update data, 9g3qx8e77eyg
Bird, MEX, ac54d2f1-274e-486a-92b6-44a77d3c1ee3, 45, 5372, No update data, 9g3qx96bc0d7
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 48, 5846, No update data, 9g3qrpqzfthz
Bird, MEX, f25d29dc-3a5a-456c-8c3b-4a250454c1ac, 88, 12166, No update data, 9g3qx96c0x0z
Bird, MEX, a96ca4f5-e478-4aed-8205-7445d70462bf, 47, 5688, No update data, 9g3qx96bckj9
Bird, MEX, 6f8c24b5-2e6b-4f30-9a0b-9030a6d14fb7, 48, 5846, No update data, 9g3qrrpg67d0
Bird, MEX, f1f8c7c7-4a09-4d38-ae07-66544791d521, 53, 6636, No update data, 9g3qx96bep8w
Bird, MEX, ff8ece41-76bf-4fa2-8c59-79a7430d6b40, 78, 10586, No update data, 9g3qrqyyc97x
Bird, MEX, 249dc069-2b69-401d-834b-dcc1c8643e6a, 96, 13430, No update data, 9g3qrpr3c7tj
Bird, MEX, 1c05d050-24b8-4db8-ae5c-12d4629e481d, 47, 5688, No update data, 9g3qx1z76phb
Bird, MEX, 3858dd7d-7b8e-4f3d-93ec-1566bad54f28, 37, 4342, No update data, 9g3qx8gt1cbv
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 73, 9796, No update data, 9g3qrqfj5szz
Bird, MEX, eb57a2d6-5f3e-45b2-ac89-7bb5188200d3, 63, 8216, No update data, 9g3qrqg6ku9r
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 60, 8183, No update data, 9g3qx1j5uxu2
Bird, MEX, 33b56736-5887-4018-96fd-1270002bb787, 81, 11060, No update data, 9g3qrppsgms8
Bird, MEX, 786a3d22-b662-49c4-8780-a19f1d60f108, 72, 9638, No update data, 9g3qrqv9p3x3
Bird, MEX, 7548e5be-43ee-4563-a1c4-f3a2e07c363e, 52, 6478, No update data, 9g3qrqz58uhn
Bird, MEX, db57d417-3a60-4537-8914-dc7dc507b318, 89, 12324, No update data, 9g3qrqcdr6x4
Bird, MEX, e766c058-50b1-4d2c-8d40-c498d16ec2ae, 78, 10586, No update data, 9g3qrx0fw3sw
Bird, MEX, dfeea5b2-8d1c-4598-9452-1d0634b0ae93, 61, 7900, No update data, 9g3qrx0ctzgj
Bird, MEX, ff5a2790-8921-47b2-96fb-8987b3f032a0, 65, 8532, No update data, 9g3qrx0cnmut
Bird, MEX, 5bc4f95e-f327-49c1-9afb-afd46c109227, 60, 8183, No update data, 9g3qx0kjswh5
Bird, MEX, 907e69f0-82d5-4216-bce1-c8a0fb9a5866, 78, 10586, No update data, 9g3qrpp804jm
Bird, MEX, 5fb8d625-c798-45fe-899a-7ab047d189bc, 49, 6004, No update data, 9g3qrwbscz8w
Bird, MEX, 32d90a9e-4206-4ef4-81f7-3c8228c29956, 99, 13904, No update data, 9g3qrxuhgp8x
Bird, MEX, 16fd1512-4a6d-4660-b8b9-c218d7626222, 56, 7515, No update data, 9g3qrqehkfpx
Bird, MEX, c9d3d198-c85b-431a-8e61-d5cfd42a0214, 48, 5846, No update data, 9g3qx0ebnjby
Bird, MEX, 21e2f891-71ad-44c7-8d1e-5ff8c77d5f92, 100, 14863, No update data, 9g3qrxuh5zmp
Bird, MEX, 24a2cb4e-1603-48fa-853b-db4fb68e9fcd, 100, 14062, No update data, 9g3qrxuh5zjj
Bird, MEX, b270a519-8459-40cc-aa7e-66a6e0edcf5e, 100, 14062, No update data, 9g3qrxuh5umh
Bird, MEX, 0f848592-b49d-4f24-94c2-8266e6c83218, 100, 14863, No update data, 9g3qrxuh5fjn
Bird, MEX, cae1c475-8650-48fc-b461-144eabfa96dd, 100, 14062, No update data, 9g3qrxuhh053
Bird, MEX, 463e7cd3-adfc-484b-a176-edf88a29f41f, 43, 5056, No update data, 9g3qrwcpj3zg
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 45, 5372, No update data, 9g3qrwcpn8pb
Bird, MEX, b60d6668-80e3-47ba-91e7-b8b1179755f2, 61, 7900, No update data, 9g3qrwcny5zw
Bird, MEX, 2b582ac9-1639-4724-b710-8609b44b991a, 46, 5845, No update data, 9g3qrq9nyz8y
Bird, MEX, c3b7edef-c76e-4dc1-bdb4-3d29f3527216, 100, 14863, No update data, 9g3qrqdhm76z
Bird, MEX, e10d9080-0e25-49ae-8439-369b195ea084, 75, 10112, No update data, 9g3qrpmkuf3m
Bird, MEX, d642c6da-98c7-4660-8240-9a0771102dd4, 75, 10112, No update data, 9g3qrqxjf8jp
Bird, MEX, 1a3eb345-2276-4456-9e2b-6d85fe3679e2, 100, 14062, No update data, 9g3qrxu1kw7d
Bird, MEX, 9f5341c6-cd6e-42cc-b230-577c6091fcc7, 89, 12324, No update data, 9g3qrwcrqdrb
Bird, MEX, 529ed345-3ff7-4057-a84b-a30a5ea52631, 100, 14863, No update data, 9g3qrqdhne4e
Bird, MEX, 46f2ec86-2e6c-4419-ac77-6141844234d9, 80, 10902, No update data, 9g3qrx4myefz
Bird, MEX, e16bc255-0292-4451-a2b8-0fcb8cfffa63, 100, 14863, No update data, 9g3qrnznv92z
Bird, MEX, 819a6a24-37a4-4b90-8b54-a633d5889317, 63, 8216, No update data, 9g3qrpmdc281
Bird, MEX, 87ef05bd-62db-4ec8-90e2-05972157b477, 52, 6478, No update data, 9g3qrq9n7zhz
Bird, MEX, e9000087-8fd2-4890-a514-81f38ba80989, 64, 8374, No update data, 9g3qrx4mw3he
Bird, MEX, 93952f2e-6607-49f1-a24b-b2ae076046f3, 100, 14863, No update data, 9g3qrnznu0xc
