Bird, MEX, 91453918-9081-44bc-9fbc-8149b9a9e8c3, 87, 12692, No update data, 9g3qx202ynpm
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 80, 11523, No update data, 9g3qrrwysuxc
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 92, 13527, No update data, 9g3qx202qjrk
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 75, 10688, No update data, 9g3qx20je080
Bird, MEX, 25140f1f-106b-4ac1-9c24-383c0349c583, 92, 13527, No update data, 9g3qx202mfk1
Bird, MEX, aae6452b-f630-47a5-891d-e52f1b56ec78, 89, 13026, No update data, 9g3qx202mejz
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 96, 14195, No update data, 9g3qx3e5yqhr
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 96, 14195, No update data, 9g3qx3ehn8xw
Bird, MEX, 04adfd4c-cb44-4a30-8441-1344c7477a6e, 90, 13193, No update data, 9g3qx202s6yp
Bird, MEX, 0eee3ce1-4388-47da-87ec-91b246e64f11, 74, 10521, No update data, 9g3qx202htuq
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 51, 6680, No update data, 9g3qrr9twjc0
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 84, 12191, No update data, 9g3qrr9v06gd
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 52, 6847, No update data, 9g3qx2054921
Bird, MEX, 7905135f-641f-4d24-8b55-e8533cd16bd4, 80, 11523, No update data, 9g3qx0zdm648
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 89, 12324, No update data, 9g3qx88zxfxw
Bird, MEX, b5e67f67-da21-4183-9ebc-b68e05bb4798, 62, 8517, No update data, 9g3qx33q9bye
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 80, 11523, No update data, 9g3qx8bxxesk
Bird, MEX, 3a253315-22c0-4190-b7ae-4446f7fae3e3, 70, 9322, No update data, 9g3qrr9g71yq
Bird, MEX, 798c68df-f407-40ea-9590-2264933c277f, 70, 9853, No update data, 9g3qx3d5sb1r
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 82, 11218, No update data, 9g3qrr7ubm5z
