Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 64, 8851, No update data, 9g3qx239br7t
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 96, 13430, No update data, 9g3qx23989b8
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx29k2feg
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 33, 3674, No update data, 9g3qrruev3db
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 54, 6794, No update data, 9g3qx236nrhq
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 34, 3841, No update data, 9g3qx2nzxmz3
Bird, MEX, 8ee4d6a4-c78a-456c-a92a-23478e3b05e3, 54, 7181, No update data, 9g3qx233vtmb
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 49, 6004, No update data, 9g3qx2r1vmrb
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 97, 13588, No update data, 9g3qx2z5mrfv
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 93, 13694, No update data, 9g3qx3m1hyr9
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 94, 13114, No update data, 9g3qx2zhkrbj
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 82, 11857, No update data, 9g3qx236dr1c
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 94, 13861, No update data, 9g3qx3m1kv3w
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 93, 12956, No update data, 9g3qx2323zwd
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 88, 12859, No update data, 9g3qx290bk7d
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 44, 5511, No update data, 9g3qx21rdphc
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 94, 13114, No update data, 9g3qx2320zeb
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 58, 7849, No update data, 9g3qx28ctus1
Bird, MEX, b1ce5df1-99c2-4c10-88e2-ba5175042ffe, 37, 4342, No update data, 9g3qx2zpv1ug
Bird, MEX, 873e27da-3e87-4303-b1d2-6ed34d6a9510, 79, 10744, No update data, 9g3qx3nsqn37
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 89, 13026, No update data, 9g3qx28ft0hw
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 75, 10112, No update data, 9g3qx3nt5e3z
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 73, 9796, No update data, 9g3qx28cuekk
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 97, 13588, No update data, 9g3qx2zq6pgv
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7m2zb
