Bird, MEX, 7386ef5e-28ac-4f32-9460-aa69d63f855c, 97, 14362, No update data, 9g3qx3m7vhke
Bird, MEX, dd7bac1f-f2f7-4f9e-b15f-05d5ccce1594, 25, 2338, No update data, 9g3qx36g5fkb
Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 99, 14696, No update data, 9g3qx3m7uzz8
Bird, MEX, 3a78c7ca-866c-48a3-887b-4c3387f8ade5, 99, 14696, No update data, 9g3qx3med8v5
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx22fu2s4
Bird, MEX, 3a5802a4-6a79-4a75-95e0-28b9e652f750, 65, 8532, No update data, 9g3qx2zb16jr
Bird, MEX, 36050e49-f3ee-4d7b-be00-b3a166f10c05, 98, 13746, No update data, 9g3qx3mef2cv
Bird, MEX, 1a9a7526-2031-4bd6-a871-746ec2cc8703, 91, 12640, No update data, 9g3qx3p36g72
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 97, 13588, No update data, 9g3qx2ztu7n7
Bird, MEX, 161d182e-4a5d-4ae5-9ccb-995ade31df52, 57, 7682, No update data, 9g3qx215ugxw
Bird, MEX, ba2923c3-70aa-4283-8276-3f959b3cd5fb, 42, 4898, No update data, 9g3qx2xcptk6
Bird, MEX, 9f7d0162-3d81-4608-b68b-ec7d2fbfeb20, 63, 8216, No update data, 9g3qx3p3mqxv
Bird, MEX, 1902bc0a-56b1-4f9a-b39b-722aae18ea6f, 74, 9954, No update data, 9g3qx82n9c2w
Bird, MEX, 9db6cc2e-313a-4405-b5a8-620a308b2798, 67, 8848, No update data, 9g3qx2zvu6y3
Bird, MEX, e3eec4f4-06fd-42cc-b66f-b42df111b37a, 83, 12024, No update data, 9g3qx3qbkvry
Bird, MEX, 246a530d-afad-40d1-8123-b2c7d51cd8d3, 18, 1169, No update data, 9g3qx3pqn5pt
Bird, MEX, 9a5df020-06ef-4432-b4af-ee6eae97dc65, 60, 8183, No update data, 9g3qrrsuptk1
Bird, MEX, 0fdab81d-fa7b-47b4-bb49-702ac793dfcb, 57, 7268, No update data, 9g3qx280yqu6
Bird, MEX, f5796f0a-3309-4226-b3c1-c21235720d90, 87, 12692, No update data, 9g3qx20w8ntr
Bird, MEX, 9da4017b-2db7-4c51-9f9e-4f8d16c3b10a, 21, 1670, No update data, 9g3qrrzhwhpx
