Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 84, 11534, No update data, 9g3qrrzvf260
Bird, MEX, 056c7b09-5886-4692-9f7b-91c5963ebf1a, 100, 14863, No update data, 9g3qx20jm7fe
Bird, MEX, 641bca07-0250-44a0-9960-d3dc9ed1f18f, 99, 14696, No update data, 9g3qx20jsryn
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 76, 10270, No update data, 9g3qx32cnkh7
Bird, MEX, cdfe60ad-148d-47a9-8d80-60c74a90f219, 100, 14863, No update data, 9g3qx20jhzx8
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 63, 8216, No update data, 9g3qx33kkryj
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 98, 14529, No update data, 9g3qx203js2u
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 100, 14863, No update data, 9g3qx20jk4fv
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 81, 11060, No update data, 9g3qrrc45vhb
Bird, MEX, 9c0c4e8f-39c4-46bb-ab59-31a62571b6af, 99, 14696, No update data, 9g3qx20jh0dv
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 52, 6478, No update data, 9g3qrrc1gtce
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 63, 8216, No update data, 9g3qx0zu52hd
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 74, 9954, No update data, 9g3qrr9tee9e
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 45, 5678, No update data, 9g3qx3tgug9x
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 49, 6004, No update data, 9g3qrrz8cwg9
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 81, 11060, No update data, 9g3qx32gsgre
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 89, 12324, No update data, 9g3qrxbhep02
Bird, MEX, 29dcbbf0-b2bb-493b-ad81-713ea3182fcc, 76, 10855, No update data, 9g3qrr9ew3km
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 43, 5056, No update data, 9g3qx809ukbj
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 47, 5688, No update data, 9g3qrrmqeh0q
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 84, 11534, No update data, 9g3qx399zk0c
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx90s6tj7
Bird, MEX, 6ee61a39-8aa7-498a-91d5-0956bcbce03d, 38, 3186, No update data, 9g3qrrkvv9qp
Bird, MEX, adf98b91-2483-4c81-ae3a-5bb626ab5bdf, 100, 14863, No update data, 9g3qx90se1y9
