Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 57, 7682, No update data, 9g3qx8bpez25
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 87, 12692, No update data, 9g3qx20ecv0r
Bird, MEX, c76628e4-823a-4953-b144-7c45bb17f2d8, 46, 5530, No update data, 9g3qx20e5jn2
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 85, 12358, No update data, 9g3qx20kxxun
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 85, 12358, No update data, 9g3qx20s0929
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 89, 13026, No update data, 9g3qx20e3qth
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 48, 5846, No update data, 9g3qrrzxqfvv
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 30, 3002, No update data, 9g3qx900jjsv
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 55, 6952, No update data, 9g3qrrz796m7
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 52, 6478, No update data, 9g3qrrzt08by
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 90, 13193, No update data, 9g3qx20dbme9
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 87, 12692, No update data, 9g3qx20m5epu
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 65, 8532, No update data, 9g3qx3r3ckj3
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 83, 12024, No update data, 9g3qx303jvsj
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 87, 12692, No update data, 9g3qx20d3207
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 80, 10902, No update data, 9g3qx3r62hjw
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 88, 12859, No update data, 9g3qx20m4t00
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 83, 12024, No update data, 9g3qx20m4s8n
Bird, MEX, fcb2fdf4-9264-4626-be34-b7196409c2b2, 55, 7348, No update data, 9g3qx20d0t08
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 85, 12358, No update data, 9g3qx20d065w
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 84, 12191, No update data, 9g3qx206ykum
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 89, 13026, No update data, 9g3qx209bjt3
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre3zcf3
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 85, 12358, No update data, 9g3qx203rpef
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre92rec
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 79, 10744, No update data, 9g3qx3r6qn37
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 80, 10902, No update data, 9g3qx32byqu6
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 93, 12956, No update data, 9g3qrrzsnh9q
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 58, 7426, No update data, 9g3qrrd7fej1
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 64, 8374, No update data, 9g3qx33kvjk9
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 84, 11534, No update data, 9g3qrrc1uwhm
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 21, 1670, No update data, 9g3qx33zg89s
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 62, 8517, No update data, 9g3qx3tg44ef
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 56, 7110, No update data, 9g3qrrc1g1nq
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 73, 10354, No update data, 9g3qx3rdbzu0
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 66, 8690, No update data, 9g3qx0zggyuf
Bird, MEX, 1fcbe12b-38db-4b6f-8b08-9403ac6ebf63, 27, 2528, No update data, 9g3qrxbjb0m8
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx903pwk3
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 89, 12324, No update data, 9g3qrrzvrhu0
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 79, 10744, No update data, 9g3qrr9tg3ud
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 93, 12956, No update data, 9g3qx90ke0ye
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 91, 12640, No update data, 9g3qx907q84u
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 93, 12956, No update data, 9g3qx907y0zt
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 92, 12798, No update data, 9g3qx90kscpv
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 85, 11692, No update data, 9g3qx32gskw4
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 79, 10744, No update data, 9g3qx907z61j
Bird, MEX, 5ab272c7-5d26-4e57-8c45-176bfd3249a7, 31, 3340, No update data, 9g3qrrmr31dh
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 92, 12798, No update data, 9g3qx90ms30j
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 93, 12956, No update data, 9g3qx90msse6
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 49, 6004, No update data, 9g3qrrmqc7tm
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 45, 5372, No update data, 9g3qrxbrqquw
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 89, 13026, No update data, 9g3qx90s49tk
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 91, 13360, No update data, 9g3qx3spx3z1
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 61, 7900, No update data, 9g3qrr97w4r7
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 73, 9796, No update data, 9g3qx922jhhg
Bird, MEX, cb0a99dd-92a8-48a9-b2f5-fea4c8fbeff6, 91, 12640, No update data, 9g3qx90by59r
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 93, 12956, No update data, 9g3qx90g4jgz
Bird, MEX, edabc2ba-a8e8-4a5c-9afa-2d0d88225ba6, 87, 12008, No update data, 9g3qrrkuwxp8
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 75, 10112, No update data, 9g3qx90cwbvg
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 93, 12956, No update data, 9g3qrpzze8zf
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 64, 8374, No update data, 9g3qx90gk452
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 94, 13114, No update data, 9g3qx90cxmpq
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 61, 8350, No update data, 9g3qrr6wj8n0
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 93, 12956, No update data, 9g3qx91125vs
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 48, 5846, No update data, 9g3qx80fq4r9
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 94, 13114, No update data, 9g3qx9118kef
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 89, 12324, No update data, 9g3qx92hhbxy
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 92, 12798, No update data, 9g3qx90gumbh
Bird, MEX, bc68bca2-aa8d-4cde-b5d1-29a949bf4630, 93, 9676, No update data, 9g3qrrmh1ywc
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 92, 13527, No update data, 9g3qx92hhy9e
Bird, MEX, c03ce47b-a9c0-416b-bc73-1032b49d8a3c, 100, 14863, No update data, 9g3qrrmh4sbp
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 93, 12956, No update data, 9g3qrpzyk6yj
