Bird, MEX, 4f35da3d-4e02-4333-b2e5-a724f76790ef, 99, 14696, No update data, 9g3qx20jzm8c
Bird, MEX, 056c7b09-5886-4692-9f7b-91c5963ebf1a, 100, 14863, No update data, 9g3qx20nnfvd
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 62, 8058, No update data, 9g3qx3r69uyu
Bird, MEX, c449dad9-bb55-4dc6-8886-5b9a55ff331d, 94, 13861, No update data, 9g3qx207hf92
Bird, MEX, 2ad49c35-0948-47ef-ba26-a3670c6f620b, 99, 14696, No update data, 9g3qx20nng2w
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 74, 9954, No update data, 9g3qx3r8ce7t
Bird, MEX, 618a964d-c267-428a-80b2-917627bae44e, 98, 14529, No update data, 9g3qx206q015
Bird, MEX, 0755031e-8b3c-4234-9988-fd2bb995f6c0, 92, 13527, No update data, 9g3qx203y4z2
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 97, 14362, No update data, 9g3qx203wrk6
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre92u7y
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 65, 9018, No update data, 9g3qx3r995xh
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 63, 8216, No update data, 9g3qx33khpzg
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 100, 14062, No update data, 9g3qx9037n8m
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 80, 10902, No update data, 9g3qrrc4hjeh
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 88, 12166, No update data, 9g3qrrzsn132
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 51, 6320, No update data, 9g3qrrc1u0xf
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 63, 8216, No update data, 9g3qx0zu5bsy
Bird, MEX, 29dcbbf0-b2bb-493b-ad81-713ea3182fcc, 75, 10688, No update data, 9g3qrr9v607t
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 75, 10112, No update data, 9g3qx32cdr3u
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 74, 9954, No update data, 9g3qrr9tm6xf
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 43, 5344, No update data, 9g3qx3tgg9xf
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 81, 11060, No update data, 9g3qx32gt6pe
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 49, 6004, No update data, 9g3qrrz8f0ef
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 99, 14696, No update data, 9g3qx90mdu74
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90mdu74
Bird, MEX, 6ee61a39-8aa7-498a-91d5-0956bcbce03d, 37, 3068, No update data, 9g3qrrkysux8
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 47, 5688, No update data, 9g3qrrmr49vh
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 100, 14062, No update data, 9g3qx90kxzxt
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 83, 11376, No update data, 9g3qx399xz6k
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 100, 14863, No update data, 9g3qx90s8szh
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 100, 14863, No update data, 9g3qx90s9hfk
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx90sbwbf
Bird, MEX, adf98b91-2483-4c81-ae3a-5bb626ab5bdf, 99, 14696, No update data, 9g3qx90t1j67
Bird, MEX, 64882091-c3da-4922-ab1c-005946c410c0, 48, 6179, No update data, 9g3qx3u0jqxg
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 83, 12024, No update data, 9g3qx3u05pw9
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 70, 9322, No update data, 9g3qx921zyy0
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 55, 6952, No update data, 9g3qrr97epbn
Bird, MEX, 46edcc60-cfe6-4333-a2e5-00320bff34b0, 48, 6179, No update data, 9g3qx3ep8vgf
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 46, 5530, No update data, 9g3qx80fvg7h
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 53, 7014, No update data, 9g3qrr6wj3xf
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 62, 8517, No update data, 9g3qx92h5jwt
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 83, 12024, No update data, 9g3qx92h7j2q
Bird, MEX, e4a228a7-0632-4db2-a862-66f4707228bb, 30, 3173, No update data, 9g3qrrkupns1
Bird, MEX, 1aadf93f-3d89-4440-8157-1b0f962a2a1b, 72, 9638, No update data, 9g3qx3epbpv9
