Bird, MEX, ee489d90-6a69-43e7-883d-80268ae3c07d, 19, 1264, No update data, 9g3qxfpp41h3
Bird, MEX, 507c85af-6b8d-47a1-b9d9-eea8fc0d6e4f, 54, 6794, No update data, 9g3qxfpz6bf9
Bird, MEX, a4cd85de-867f-4732-b3a8-5c2635dbc49c, 46, 5530, No update data, 9g3w841jwu87
Bird, MEX, c05509eb-7a33-40bb-bffe-4f2d566ef8df, 47, 6012, No update data, 9g3qrkjp3q0q
Bird, MEX, d773b291-304c-40eb-8741-10c951a86a55, 56, 7110, No update data, 9g3qrkv88w2c
Bird, MEX, 97d89fc4-5db0-49b2-bbeb-6f0b18444e60, 47, 5688, No update data, 9g3qr7usf23y
Bird, MEX, 8971dda7-0053-447d-98ed-28e335e65b24, 78, 11189, No update data, 9g3qr7u48dnz
Bird, MEX, 21498960-6c2d-49e6-8acf-de435e204c2b, 73, 9796, No update data, 9g3qrk6d208e
Bird, MEX, 13a98ccf-59a3-4867-9459-3d9916a4f1c1, 71, 9480, No update data, 9g3qrk6mwjp3
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 52, 6478, No update data, 9g3qrk4776ht
Bird, MEX, 0def99cf-d16d-4a87-a186-300073501e01, 79, 10744, No update data, 9g3qrm5st3dv
Bird, MEX, bb688337-d493-4fb0-83ff-c7a8c12aa7a9, 84, 11534, No update data, 9g3qrm5ssds6
Bird, MEX, 3617babc-f52f-4219-9275-224751a944d1, 46, 5845, No update data, 9g3qrmhp9yqd
Bird, MEX, a92ed4fc-dedf-4dc7-830a-35535afbf7cb, 61, 8350, No update data, 9g3qrk6p96vk
Bird, MEX, dd59c9ac-7a50-424e-81ff-4f115730bf4a, 79, 10744, No update data, 9g3qrkfs9gnw
Bird, MEX, 1f9e2f30-e336-4d3d-ac28-b23f50927005, 92, 12798, No update data, 9g3qrkf0ntfd
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 76, 10855, No update data, 9g3qrmk74je9
Bird, MEX, fdb6742c-1e1d-44e5-b2f1-fef8bf1eebcf, 67, 8848, No update data, 9g3qr7f6185w
Bird, MEX, 34167d83-910b-4f8b-a30c-bbd05cdbb9e6, 53, 6636, No update data, 9g3qr7f3cmmm
Bird, MEX, 69db85f9-0a1e-4ed1-8fe9-faa72dca71a0, 65, 8532, No update data, 9g3qrkf59h4h
Bird, MEX, da3479d6-bde8-48a6-8946-e5f329c81bc8, 88, 12166, No update data, 9g3qrm7277kw
Bird, MEX, 77dbdf4d-0c63-4ee2-85a2-703eed648489, 65, 8532, No update data, 9g3qrm46nxdw
Bird, MEX, 5ddb2951-6ba3-4c56-b71e-be31233edbd4, 76, 10270, No update data, 9g3qrm41v3pg
