Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 93, 12956, No update data, 9g3qx21k8pbw
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 99, 13904, No update data, 9g3qx2zse42k
Bird, MEX, 910e0312-ca5a-4e21-8e8c-70afb537ec5e, 100, 14062, No update data, 9g3qx3nwutgk
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 100, 14062, No update data, 9g3qx2zw8drh
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 89, 12324, No update data, 9g3qx3ms508q
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 25, 2212, No update data, 9g3qx2zsp61p
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 97, 14362, No update data, 9g3qx21jbb7b
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 97, 14362, No update data, 9g3qx215t6p9
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 98, 14529, No update data, 9g3qx215uhrf
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 100, 14062, No update data, 9g3qx215u0e4
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 92, 13527, No update data, 9g3qx215ghbj
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 75, 10112, No update data, 9g3qx3msxs3y
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 93, 13694, No update data, 9g3qx2157rk8
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 49, 6346, No update data, 9g3qx3q8qbju
Bird, MEX, 34d8e858-8a50-420b-b460-4919c18517b5, 39, 4676, No update data, 9g3qx367z3x1
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 100, 14062, No update data, 9g3qx20vjk6u
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 99, 13904, No update data, 9g3qx20upth0
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 93, 13694, No update data, 9g3qx20gvsjb
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 100, 14062, No update data, 9g3qx20twc0s
Bird, MEX, 15a0257a-1513-46fd-b0b7-96c837882c77, 96, 14195, No update data, 9g3qx20sgchy
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 94, 13861, No update data, 9g3qx8bn5nys
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 98, 13746, No update data, 9g3qx8bnfg7m
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 84, 12191, No update data, 9g3qx20sddbp
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 82, 11857, No update data, 9g3qx20scy0m
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 84, 12191, No update data, 9g3qx8bjvswh
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 96, 13430, No update data, 9g3qx8bnmb7n
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 96, 14195, No update data, 9g3qx20s1y22
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 88, 12859, No update data, 9g3qx8bjz1hp
Bird, MEX, 2568661c-9c45-470b-aa17-8661d3a361eb, 46, 5530, No update data, 9g3qx3sczfpm
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 100, 14062, No update data, 9g3qx209u1db
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 92, 13527, No update data, 9g3qx20kmukp
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 98, 13746, No update data, 9g3qx8bq1tet
Bird, MEX, 2ad972c1-6166-4377-a4d3-a430c68e9dda, 78, 10586, No update data, 9g3qx3t4q8f9
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 40, 4843, No update data, 9g3qx2bq2xyv
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 96, 14195, No update data, 9g3qx209hjrf
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 96, 14195, No update data, 9g3qx207vdmy
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 100, 14062, No update data, 9g3qx209dggj
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 99, 13904, No update data, 9g3qx2096ze4
