Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 98, 14529, No update data, 9g3qx2h40twu
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 99, 14696, No update data, 9g3qx25f5pqx
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 71, 10020, No update data, 9g3qx25f1yys
Bird, MEX, 11bba3ec-65fc-4f15-bdf6-b1ec016b81ec, 49, 6004, No update data, 9g3qx2wrm6dg
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 71, 10020, No update data, 9g3qx25cw5zm
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 38, 4509, No update data, 9g3qx259z9u4
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 91, 13360, No update data, 9g3qx265vdmy
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 90, 13193, No update data, 9g3qx26j55y2
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 88, 12166, No update data, 9g3qx2jvy096
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 63, 8684, No update data, 9g3qx2jvy0xd
Bird, MEX, 239114d1-ebd4-4036-a601-bc261e1f6ce3, 47, 6012, No update data, 9g3qx3j5m6du
Bird, MEX, 8ee79905-806c-4735-8060-58cfd08f6b8d, 28, 2839, No update data, 9g3qx2jvwd4d
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 99, 13904, No update data, 9g3qx2yk6ug3
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 96, 14195, No update data, 9g3qx2ykkq8j
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 57, 7682, No update data, 9g3qx348y3s3
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 97, 14362, No update data, 9g3qx34c242d
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 97, 14362, No update data, 9g3qx349n4pr
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 85, 11692, No update data, 9g3qx349njp3
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 80, 10902, No update data, 9g3qx34f5zsb
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 56, 7515, No update data, 9g3qx3jcfcg7
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 65, 9018, No update data, 9g3qx349k7q0
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 83, 12024, No update data, 9g3qx2fr6tj5
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx24cx1ez
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 87, 12008, No update data, 9g3qx2fr3zq9
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 65, 9018, No update data, 9g3qx2wz51q9
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 84, 11534, No update data, 9g3qx2fr985x
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 88, 12166, No update data, 9g3qx2fr9wex
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 76, 10855, No update data, 9g3qx3hnkxum
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 87, 12008, No update data, 9g3qx2fnvwvf
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 90, 12482, No update data, 9g3qx2fpvbs5
Bird, MEX, f9c33066-dcaf-48b9-8540-2a6855576b61, 66, 9185, No update data, 9g3qx2xh9hx4
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 69, 9164, No update data, 9g3qx2q8xhhp
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 35, 4008, No update data, 9g3qx2q8z2zk
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 43, 5344, No update data, 9g3qx2q8x4h4
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 65, 8532, No update data, 9g3qx2qb29xj
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 24, 2171, No update data, 9g3qx2xhgkgw
Bird, MEX, 0a34d547-8ca3-43b2-a758-1d1843af36a2, 74, 10521, No update data, 9g3qx2ycrshm
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 87, 12008, No update data, 9g3qrrvqqxdd
Bird, MEX, 56b5bdf7-cef4-4a2e-9cb2-47caf1fb652f, 49, 6004, No update data, 9g3qx34kp2rh
Bird, MEX, 5afc80cc-72a4-4b0a-abe4-8754db170830, 98, 13746, No update data, 9g3qx21z0dwc
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 66, 9185, No update data, 9g3qx2398pj9
