Bird, MEX, 3c7f3825-9f15-44bf-b303-3ad49d87d60f, 67, 8848, No update data, 9g3qx0tg33bp
Bird, MEX, 9b66ca9f-0a6b-4bbf-b3bc-5b2c9887b96b, 69, 9164, No update data, 9g3qx94q9nrq
Bird, MEX, 95fc6828-9275-4899-a948-ada81d37eb6f, 84, 11534, No update data, 9g3qrrph77e8
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 57, 7268, No update data, 9g3qx6n6zehk
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 60, 7742, No update data, 9g3qx65j5hnk
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 67, 9352, No update data, 9g3qx6p3ec80
Bird, MEX, e5bea980-ba2a-43f9-8354-3fa02349f39b, 44, 5214, No update data, 9g3qrqvqt4kd
Bird, MEX, 5be8d2a6-e2c0-4cdf-bf0e-41e772bbabc2, 56, 7515, No update data, 9g3qx8e7ed9y
Bird, MEX, ac54d2f1-274e-486a-92b6-44a77d3c1ee3, 45, 5372, No update data, 9g3qx96b9nf2
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 48, 5846, No update data, 9g3qrpqzfggp
Bird, MEX, f1f8c7c7-4a09-4d38-ae07-66544791d521, 53, 6636, No update data, 9g3qx96bcg0e
Bird, MEX, f25d29dc-3a5a-456c-8c3b-4a250454c1ac, 87, 12008, No update data, 9g3qx96c2yk5
Bird, MEX, a96ca4f5-e478-4aed-8205-7445d70462bf, 47, 5688, No update data, 9g3qx96c3qvx
Bird, MEX, ff8ece41-76bf-4fa2-8c59-79a7430d6b40, 78, 10586, No update data, 9g3qrqyz3s7t
Bird, MEX, 6f8c24b5-2e6b-4f30-9a0b-9030a6d14fb7, 48, 5846, No update data, 9g3qrrpghe57
Bird, MEX, 3858dd7d-7b8e-4f3d-93ec-1566bad54f28, 37, 4342, No update data, 9g3qx8gmp61p
Bird, MEX, 249dc069-2b69-401d-834b-dcc1c8643e6a, 94, 13114, No update data, 9g3qrpr3beyz
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 73, 9796, No update data, 9g3qrqfj75y3
Bird, MEX, 1c05d050-24b8-4db8-ae5c-12d4629e481d, 47, 5688, No update data, 9g3qx1z73r24
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 58, 7849, No update data, 9g3qx1j5g4y3
Bird, MEX, 33b56736-5887-4018-96fd-1270002bb787, 80, 10902, No update data, 9g3qrpptkv13
Bird, MEX, eb57a2d6-5f3e-45b2-ac89-7bb5188200d3, 62, 8058, No update data, 9g3qrqg3h8um
Bird, MEX, 7548e5be-43ee-4563-a1c4-f3a2e07c363e, 52, 6478, No update data, 9g3qrqz5c4p5
Bird, MEX, 786a3d22-b662-49c4-8780-a19f1d60f108, 72, 9638, No update data, 9g3qrqv8zgp2
Bird, MEX, e766c058-50b1-4d2c-8d40-c498d16ec2ae, 78, 10586, No update data, 9g3qrx0gj8q4
Bird, MEX, db57d417-3a60-4537-8914-dc7dc507b318, 89, 12324, No update data, 9g3qrqcdx6p0
Bird, MEX, dfeea5b2-8d1c-4598-9452-1d0634b0ae93, 61, 7900, No update data, 9g3qrx0cu20p
Bird, MEX, ff5a2790-8921-47b2-96fb-8987b3f032a0, 65, 8532, No update data, 9g3qrx0cmye5
Bird, MEX, 5bc4f95e-f327-49c1-9afb-afd46c109227, 60, 8183, No update data, 9g3qx0kjsr11
Bird, MEX, 907e69f0-82d5-4216-bce1-c8a0fb9a5866, 78, 10586, No update data, 9g3qrpp8065t
Bird, MEX, 16fd1512-4a6d-4660-b8b9-c218d7626222, 56, 7515, No update data, 9g3qrqeht1hd
Bird, MEX, 5fb8d625-c798-45fe-899a-7ab047d189bc, 49, 6004, No update data, 9g3qrwbsfm4n
Bird, MEX, 32d90a9e-4206-4ef4-81f7-3c8228c29956, 99, 13904, No update data, 9g3qrxujuj5r
Bird, MEX, b270a519-8459-40cc-aa7e-66a6e0edcf5e, 100, 14062, No update data, 9g3qrxuh76gt
Bird, MEX, 21e2f891-71ad-44c7-8d1e-5ff8c77d5f92, 100, 14863, No update data, 9g3qrxuhebt0
Bird, MEX, 24a2cb4e-1603-48fa-853b-db4fb68e9fcd, 100, 14062, No update data, 9g3qrxuhhmbq
Bird, MEX, cae1c475-8650-48fc-b461-144eabfa96dd, 100, 14062, No update data, 9g3qrxuhh4e2
Bird, MEX, 0f848592-b49d-4f24-94c2-8266e6c83218, 100, 14863, No update data, 9g3qrxuhh1gk
Bird, MEX, c9d3d198-c85b-431a-8e61-d5cfd42a0214, 48, 5846, No update data, 9g3qx0ebhxu4
Bird, MEX, b60d6668-80e3-47ba-91e7-b8b1179755f2, 61, 7900, No update data, 9g3qrwcpn0zw
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 45, 5372, No update data, 9g3qrwcnyx4f
Bird, MEX, 463e7cd3-adfc-484b-a176-edf88a29f41f, 43, 5056, No update data, 9g3qrwcr225f
Bird, MEX, 2b582ac9-1639-4724-b710-8609b44b991a, 46, 5845, No update data, 9g3qrq9pm5kx
Bird, MEX, c3b7edef-c76e-4dc1-bdb4-3d29f3527216, 100, 14863, No update data, 9g3qrqdhmevc
Bird, MEX, 87ef05bd-62db-4ec8-90e2-05972157b477, 52, 6478, No update data, 9g3qrq9ngt98
Bird, MEX, 1a3eb345-2276-4456-9e2b-6d85fe3679e2, 100, 14062, No update data, 9g3qrxu1kt7s
Bird, MEX, 529ed345-3ff7-4057-a84b-a30a5ea52631, 100, 14863, No update data, 9g3qrqdhnfvc
Bird, MEX, d642c6da-98c7-4660-8240-9a0771102dd4, 75, 10112, No update data, 9g3qrqxjdm45
Bird, MEX, e10d9080-0e25-49ae-8439-369b195ea084, 75, 10112, No update data, 9g3qrpmkgcu9
Bird, MEX, 819a6a24-37a4-4b90-8b54-a633d5889317, 62, 8058, No update data, 9g3qrpmd9uw8
Bird, MEX, 46f2ec86-2e6c-4419-ac77-6141844234d9, 79, 10744, No update data, 9g3qrx4my8zg
