Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 98, 13746, No update data, 9g3qx2ztdhgu
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 24, 2054, No update data, 9g3qx2zsk7y7
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 91, 13360, No update data, 9g3qx21jkrq0
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 98, 13746, No update data, 9g3qx21ht6re
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 91, 13360, No update data, 9g3qx2170veu
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 96, 14195, No update data, 9g3qx215ymu7
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 94, 13114, No update data, 9g3qx2ztsk84
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 97, 14362, No update data, 9g3qx3p2v7xz
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 96, 14195, No update data, 9g3qx21hhzn0
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 91, 13360, No update data, 9g3qx21hhz3r
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 99, 13904, No update data, 9g3qx21h58pc
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 48, 6179, No update data, 9g3qx3nz2wbz
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 99, 13904, No update data, 9g3qx21h52st
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 74, 9954, No update data, 9g3qx3msxs3y
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 99, 13904, No update data, 9g3qx214nb2g
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 91, 13360, No update data, 9g3qx20wnvts
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 99, 13904, No update data, 9g3qx20srkz0
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 94, 13861, No update data, 9g3qx20spvdk
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 97, 14362, No update data, 9g3qx20g2tnf
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 93, 13694, No update data, 9g3qx20w4tm4
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 81, 11690, No update data, 9g3qx20w64sg
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 92, 13527, No update data, 9g3qx20snmk6
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 100, 14062, No update data, 9g3qx20er55z
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 93, 13694, No update data, 9g3qx20enzv9
Bird, MEX, fbbef2a3-a567-49d7-9f5e-6fb281640fca, 65, 8532, No update data, 9g3qx2b32yev
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 100, 14062, No update data, 9g3qx20ev0sd
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 93, 13694, No update data, 9g3qx20dxwsp
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 81, 11690, No update data, 9g3qx20tb8qb
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 78, 10586, No update data, 9g3qx20dx9kn
Bird, MEX, b5d4fccd-e73f-48e1-9d91-b96a0c896402, 98, 13746, No update data, 9g3qrrzhq9dt
