Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 97, 14362, No update data, 9g3qx2z7r634
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 97, 14362, No update data, 9g3qx3kkhu9r
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 93, 13694, No update data, 9g3qx21kns6s
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 90, 13193, No update data, 9g3qx21ku8s6
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2zr2t0g
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 58, 7426, No update data, 9g3qx2zky517
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 93, 13694, No update data, 9g3qx21ku1g4
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 97, 14362, No update data, 9g3qx2zr83gb
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 98, 14529, No update data, 9g3qx21kg89d
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 93, 13694, No update data, 9g3qx2zmp4u5
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 70, 9322, No update data, 9g3qx2xu8wrj
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 96, 14195, No update data, 9g3qx2zsb35z
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 99, 13904, No update data, 9g3qx21p7wcw
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 93, 12956, No update data, 9g3qx2zt0ghj
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 98, 13746, No update data, 9g3qx2zt0yuh
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 24, 2054, No update data, 9g3qx2zt30z0
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 97, 14362, No update data, 9g3qx217932q
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 94, 13114, No update data, 9g3qx2zthk2j
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 39, 4676, No update data, 9g3qx2zw63dn
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 91, 13360, No update data, 9g3qx215vwmz
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 94, 13114, No update data, 9g3qx2ztm66f
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 96, 14195, No update data, 9g3qx215y11n
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 98, 13746, No update data, 9g3qx2ztug9x
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 91, 13360, No update data, 9g3qx21hhprz
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 100, 14062, No update data, 9g3qx215njcn
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 48, 6179, No update data, 9g3qx3nxxvpq
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 74, 9954, No update data, 9g3qx3msxs3y
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 99, 13904, No update data, 9g3qx2157tpf
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 99, 13904, No update data, 9g3qx215dy55
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 91, 13360, No update data, 9g3qx214urqj
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 96, 14195, No update data, 9g3qx2156fe5
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 98, 13746, No update data, 9g3qx8bn27gg
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 99, 13904, No update data, 9g3qx20g8jv3
Bird, MEX, b5d4fccd-e73f-48e1-9d91-b96a0c896402, 98, 13746, No update data, 9g3qrrzhe37t
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 94, 13114, No update data, 9g3qx8bjdevn
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 82, 11857, No update data, 9g3qx8bn4mxj
Bird, MEX, fbbef2a3-a567-49d7-9f5e-6fb281640fca, 63, 8216, No update data, 9g3qx2b31323
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 100, 14062, No update data, 9g3qx20dvs0b
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 78, 10586, No update data, 9g3qx20dq9fx
