Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 97, 14362, No update data, 9g3qx20qxydr
Bird, MEX, 739abe2d-ebb5-4fda-be61-2e00c50565b8, 100, 14863, No update data, 9g3qx8bne2ge
Bird, MEX, f1b9bf17-41be-4399-98ae-2071a1dc4b31, 99, 14696, No update data, 9g3qx8bng3e9
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 97, 14362, No update data, 9g3qx8bjv1ug
Bird, MEX, 371b868b-bbeb-4909-bb7c-ddfe1b24685d, 100, 14863, No update data, 9g3qx8bns05p
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 88, 12166, No update data, 9g3qx20s52ke
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 100, 14062, No update data, 9g3qx20s9mmp
Bird, MEX, b951f39e-9ab6-4d6f-ade7-51065c4246c1, 89, 12324, No update data, 9g3qx9007k5t
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 87, 12008, No update data, 9g3qx9007ytj
Bird, MEX, 270ff6ba-d5ac-4624-9567-540c62a4f9f9, 46, 5530, No update data, 9g3qrrzt2jms
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 88, 12166, No update data, 9g3qx20e85bt
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 31, 3340, No update data, 9g3qx20e26ee
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 100, 14863, No update data, 9g3qx208x17v
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 70, 9322, No update data, 9g3qx28p0fgg
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 97, 14362, No update data, 9g3qx209fetn
Bird, MEX, 97714eec-6fbe-44fb-af67-920191416158, 78, 10586, No update data, 9g3qx2bq2xyv
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 100, 14062, No update data, 9g3qx20kecub
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 100, 14062, No update data, 9g3qx208unrz
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 100, 14863, No update data, 9g3qx20m9d77
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx2093zq8
Bird, MEX, 26a4062a-e91d-4966-acae-3d791826522d, 100, 14863, No update data, 9g3qx208jdjy
Bird, MEX, 1dd5cb01-67ba-42f7-8637-0ac5bbbbd4ef, 44, 5214, No update data, 9g3qrrdn2snu
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 100, 14863, No update data, 9g3qx20m354p
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 100, 14863, No update data, 9g3qx20m8p03
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20nn849
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 100, 14863, No update data, 9g3qx20jrds5
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 98, 14529, No update data, 9g3qx203yv89
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 94, 13861, No update data, 9g3qx209212e
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 99, 14696, No update data, 9g3qx2090jbw
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 100, 14863, No update data, 9g3qx2089kv5
Bird, MEX, 521db62b-54ac-478a-884b-d6c2cc758bd0, 64, 8851, No update data, 9g3qrrbungmw
Bird, MEX, 2bb785a3-8166-4618-85a0-7ac09c46588d, 75, 10112, No update data, 9g3qrrd7gtzg
Bird, MEX, 1f39ca86-bcf4-4dd1-80fb-236e7d13439b, 82, 11218, No update data, 9g3qx33zwbvg
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 100, 14863, No update data, 9g3qrrwys3n7
Bird, MEX, 92f7d03d-ce27-4e30-b428-0f6c86319aa5, 100, 14062, No update data, 9g3qrrwykqyq
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 60, 8183, No update data, 9g3qrrc1n51h
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 53, 6636, No update data, 9g3qx0zggtcs
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 97, 14362, No update data, 9g3qx90m767d
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 66, 9185, No update data, 9g3qx0zdkmn5
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 98, 14529, No update data, 9g3qx90kugpg
Bird, MEX, 36c6d646-ef97-4533-b196-fd656a8a3547, 99, 14696, No update data, 9g3qx90mh976
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 99, 14696, No update data, 9g3qx90ktg74
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 73, 9796, No update data, 9g3qx39c2m5s
Bird, MEX, 6a5214dc-0bc4-4590-9c23-10ec263b3c8c, 87, 12008, No update data, 9g3qrr9exxh0
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 97, 14362, No update data, 9g3qx90kxnkn
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 76, 10270, No update data, 9g3qx90r3egs
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 61, 8350, No update data, 9g3qx83jtkxc
Bird, MEX, c8d52b38-286d-409a-a32e-bb6a62c18649, 51, 6680, No update data, 9g3qrxb72t0f
