Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 97, 14362, No update data, 9g3qx34c2bgb
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 97, 14362, No update data, 9g3qx34c248s
Bird, MEX, a9121e9b-71ef-4820-96fa-f1e4d444d459, 61, 8350, No update data, 9g3qx35v26gy
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 80, 10902, No update data, 9g3qx34f38g8
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 85, 11692, No update data, 9g3qx349tuk0
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 83, 12024, No update data, 9g3qx2fr7ku9
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 87, 12008, No update data, 9g3qx2frukwh
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx24cwwpe
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 84, 11534, No update data, 9g3qx2fr6t2j
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 88, 12166, No update data, 9g3qx2frdkcu
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 87, 12008, No update data, 9g3qx2fr9cb2
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 76, 10855, No update data, 9g3qx3hnsbc7
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 90, 12482, No update data, 9g3qx2frcy82
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 55, 7348, No update data, 9g3qx23fde21
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 65, 9018, No update data, 9g3qx2wzttnn
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 35, 4008, No update data, 9g3qx2q8qn9k
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 43, 5344, No update data, 9g3qx2q8wujz
Bird, MEX, f9c33066-dcaf-48b9-8540-2a6855576b61, 66, 9185, No update data, 9g3qx2xh9nxp
Bird, MEX, 0a34d547-8ca3-43b2-a758-1d1843af36a2, 74, 10521, No update data, 9g3qx2ycm3ru
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 69, 9164, No update data, 9g3qx2q8n8xt
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 65, 8532, No update data, 9g3qx2qb06gf
Bird, MEX, 56b5bdf7-cef4-4a2e-9cb2-47caf1fb652f, 49, 6004, No update data, 9g3qx34ed05x
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 24, 2171, No update data, 9g3qx2xj7nqe
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 87, 12008, No update data, 9g3qrrvqtgk3
Bird, MEX, ff1eb0a4-c975-49df-bdea-b33d9b1bb218, 58, 7426, No update data, 9g3qx2ywvdnj
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 84, 12191, No update data, 9g3qx23d17jk
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 55, 6952, No update data, 9g3qx23d8h0x
Bird, MEX, 8318cad4-5af6-46ea-a25d-88b5393f0516, 70, 9853, No update data, 9g3qx23996j6
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 53, 6636, No update data, 9g3qx2392tng
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 66, 9185, No update data, 9g3qx236qfte
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 97, 13588, No update data, 9g3qx236nfbg
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 47, 6012, No update data, 9g3qx233yfbb
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 91, 13360, No update data, 9g3qx233wu8c
Bird, MEX, 5afc80cc-72a4-4b0a-abe4-8754db170830, 98, 13746, No update data, 9g3qx21wgwpv
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 48, 5846, No update data, 9g3qx2yzskyk
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 98, 13746, No update data, 9g3qx2z5nbjf
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 97, 14362, No update data, 9g3qx3m1m2pv
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 94, 13861, No update data, 9g3qx3m1s5eh
Bird, MEX, 41ebf7cc-e421-4243-99f1-8a33edc7bb43, 99, 13904, No update data, 9g3qx3m1qxft
Bird, MEX, 0898457d-6c07-49ce-bbc3-0a101e078f0f, 35, 4008, No update data, 9g3qx31gppqp
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 96, 13430, No update data, 9g3qx2z6ct78
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 74, 10521, No update data, 9g3qx3ns0mgz
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 99, 13904, No update data, 9g3qx2zp46d1
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 96, 13430, No update data, 9g3qx231pqzh
Bird, MEX, 426af09a-5a06-4a69-8f6c-41e3d6c27601, 97, 13588, No update data, 9g3qx234jfu5
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 74, 9954, No update data, 9g3qx28cpb43
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 57, 7682, No update data, 9g3qx3nbzrz2
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 51, 6680, No update data, 9g3qx2xdgs3f
Bird, MEX, c1ed9555-d7ce-4c0a-8d50-dcaccdcc6a96, 92, 12798, No update data, 9g3qx3p065gu
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 98, 13746, No update data, 9g3qx2zpu2q3
Bird, MEX, d563e036-909c-43dc-9f63-a2d57f8b4ab2, 94, 13861, No update data, 9g3qx21mq51p
Bird, MEX, f329af01-98b4-4be2-80cc-02410e17ce51, 39, 4424, No update data, 9g3qx21mt0ud
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 90, 13193, No update data, 9g3qx28bvzsp
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 67, 8848, No update data, 9g3qx3p0kc3s
Bird, MEX, 463fbfec-c83a-4593-a030-20c125df1f5f, 98, 13746, No update data, 9g3qx28csz13
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 94, 13114, No update data, 9g3qx231h5pu
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 45, 5678, No update data, 9g3qx231hjgn
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 33, 3674, No update data, 9g3qx21c292e
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 89, 13026, No update data, 9g3qx28fkj6v
Bird, MEX, b165a585-34ef-49ee-9a32-6246522edc71, 97, 13588, No update data, 9g3qx3p0u8e7
Bird, MEX, 75b3e13f-1c08-472b-96b5-07763bc3b599, 83, 11376, No update data, 9g3qx28f50wm
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 61, 8350, No update data, 9g3qx28g5jq6
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 87, 12008, No update data, 9g3qx21m682j
Bird, MEX, ae075050-3b8d-45dc-bf37-3d81b653c211, 93, 13694, No update data, 9g3qx2zkyedw
Bird, MEX, c89e2458-487a-45c4-af35-80e7f1325411, 33, 3674, No update data, 9g3qx231c2t6
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7k4eh
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 76, 10270, No update data, 9g3qx3nu6d00
