Bird, MEX, 8f6f297f-4e3a-46b8-93dc-86d8fc58223f, 55, 7348, No update data, 9g3qrjtsg4n3
Bird, MEX, 8a0efed6-b9b1-4a26-b1c4-00a35fc33057, 98, 13746, No update data, 9g3qrmc0jr6v
Bird, MEX, 31c61409-febf-44d9-90f5-0e5e53876b5d, 64, 8374, No update data, 9g3qrjtsdr38
Bird, MEX, 0612a75f-6856-4b33-a7de-c3e8d736a0c4, 22, 1837, No update data, 9g3qrjuy0chy
Bird, MEX, 67435938-6fcc-4aad-973d-dbfc4af56a67, 96, 14195, No update data, 9g3qrm8d1v0r
Bird, MEX, 13501406-238d-4d1d-8cc8-f4bcd96b511c, 100, 14863, No update data, 9g3qrm8d69t4
Bird, MEX, 1cc4d66b-bfec-4132-9c55-5e7789d75aaa, 100, 14863, No update data, 9g3qrm8d1s73
Bird, MEX, 2fb01b85-c513-4f59-9543-4d4f99d95dc0, 100, 14863, No update data, 9g3qrm8d4hhb
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 100, 14863, No update data, 9g3qrm89fz74
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 47, 5688, No update data, 9g3qrjszrmyy
Bird, MEX, d1acd818-0816-4e10-9e7b-a181ea5fae17, 82, 11218, No update data, 9g3qrjusggse
Bird, MEX, 980033a0-4bf2-43e3-bbd0-c059f4a0a19a, 81, 11690, No update data, 9g3qrjub5yht
Bird, MEX, 3f827a5d-5f20-4179-94c6-34b440618101, 61, 7900, No update data, 9g3qrjub53s8
Bird, MEX, da8a1841-ee20-4041-9751-72895efd5c8b, 99, 13904, No update data, 9g3qrm889n64
Bird, MEX, ec1164e1-9c07-4609-ba81-c3323bc3aa18, 39, 4676, No update data, 9g3qrjrjvju3
Bird, MEX, 8ef867d2-86d6-4d21-b11a-4e404813f033, 100, 14863, No update data, 9g3qrm889kv0
Bird, MEX, 4619c173-46a9-4879-80d6-39af7418e3b4, 97, 14362, No update data, 9g3qrm8889wv
Bird, MEX, 841068f2-7d6b-4715-aa30-b5e553a7955b, 99, 14696, No update data, 9g3qrm882z5v
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 94, 13861, No update data, 9g3qrm8893m5
Bird, MEX, 1d195da3-bb77-43e5-b3c7-0f9a12380fdb, 97, 14362, No update data, 9g3qrm883nf5
Bird, MEX, f634b558-181e-4f19-ac1d-4bd2fccad0bf, 99, 14696, No update data, 9g3qrm889fwe
Bird, MEX, 2f715101-60b1-40f1-9f23-c9dde588255e, 96, 14195, No update data, 9g3qrm889fwe
Bird, MEX, cdde521f-5c44-4795-b022-2a2f73a4c904, 100, 14863, No update data, 9g3qrm889cwt
Bird, MEX, f0e5f4c7-959c-4b62-94d9-b2e71a7a09df, 94, 13861, No update data, 9g3qrm88d1sv
Bird, MEX, 60038b0c-623d-4bc5-9e1a-5a5f596e6d28, 97, 14362, No update data, 9g3qrm88d0sz
Bird, MEX, 4704be31-aaad-4f98-b85e-eadb679391b2, 98, 13746, No update data, 9g3qrm883kj4
Bird, MEX, 9ed88c6e-7ab8-4ef2-8fb8-107c1deca27a, 65, 8532, No update data, 9g3qrjrm669b
Bird, MEX, da40ebf7-651f-46d7-b32d-c9d64213c45b, 100, 14062, No update data, 9g3qrmc9n6hk
Bird, MEX, 63aa6520-bf0a-45ea-bcf5-9865a15c3dcd, 99, 13904, No update data, 9g3qrmc8ymu3
Bird, MEX, b9f08629-1a17-4d40-a5c1-34ffe90e9193, 100, 14863, No update data, 9g3qrmc8ys4x
