Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 94, 13861, No update data, 9g3qx20wc1x0
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 82, 11857, No update data, 9g3qx2b2czy8
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 94, 13861, No update data, 9g3qx20w9561
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx3pbp214
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 83, 12024, No update data, 9g3qx3pbr4k4
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 90, 13193, No update data, 9g3qx20qx3ph
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 61, 8350, No update data, 9g3qx8bpcppk
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 80, 11523, No update data, 9g3qrrs6z0k0
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 98, 13746, No update data, 9g3qx20s8529
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 28, 2839, No update data, 9g3qx20e3f87
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 67, 8848, No update data, 9g3qx28p6dhb
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 91, 13360, No update data, 9g3qx20q5x1w
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 75, 10688, No update data, 9g3qx3px985x
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 96, 13430, No update data, 9g3qx20knqk2
Bird, MEX, 0c081581-ab26-47d7-a51a-df92f6a3be13, 69, 9686, No update data, 9g3qx3t46x21
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 58, 7426, No update data, 9g3qx900q4zw
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 84, 11534, No update data, 9g3qx207qy2d
Bird, MEX, 5abd72a8-9b33-439b-9685-7e4d24735512, 51, 6320, No update data, 9g3qx3e6s9kr
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 90, 13193, No update data, 9g3qx20928qv
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 96, 14195, No update data, 9g3qx20jyxdx
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 94, 13861, No update data, 9g3qx2090rg9
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 98, 14529, No update data, 9g3qx20jvcs0
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 94, 13861, No update data, 9g3qx20jtzh1
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 93, 13694, No update data, 9g3qx203p8sj
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 82, 11857, No update data, 9g3qx203p55u
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 92, 13527, No update data, 9g3qx202zkr1
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 96, 14195, No update data, 9g3qx20jmdvv
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 94, 13861, No update data, 9g3qx20jsf16
Bird, MEX, adaed453-2225-4884-9907-62458453914e, 34, 3841, No update data, 9g3qx20js6q5
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 98, 13746, No update data, 9g3qx202yc0w
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 94, 13861, No update data, 9g3qrrwzj8q4
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 96, 14195, No update data, 9g3qx202r7bg
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 100, 14863, No update data, 9g3qx3e7b50e
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 54, 7181, No update data, 9g3qrrc2c62q
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 85, 11692, No update data, 9g3qrrc48sbe
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 96, 13430, No update data, 9g3qx3ek04bs
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 73, 9796, No update data, 9g3qx90p9qmq
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 61, 8350, No update data, 9g3qx0zdexrg
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 91, 13360, No update data, 9g3qx90ef1gg
Bird, MEX, 81c77a5a-0f5c-48ce-a0c6-eb963e39f6b7, 69, 9686, No update data, 9g3qx90s8jjw
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 55, 7348, No update data, 9g3qx83jee3f
