Bird, MEX, a98926c5-2353-4efc-b82a-850014727dbb, 97, 14362, No update data, 9g3qx8bp66xh
Bird, MEX, 97b402af-c478-4d6e-984f-c919d0d43eda, 94, 13861, No update data, 9g3qx8bnegzp
Bird, MEX, 4f99a791-3cc5-4368-93b7-41e9e95baea9, 94, 13861, No update data, 9g3qx8bnmdn0
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 87, 12008, No update data, 9g3qx20ecfb2
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 96, 14195, No update data, 9g3qx20kz3bf
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 84, 12191, No update data, 9g3qx8bpq4p8
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 98, 13746, No update data, 9g3qx20kts8c
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 97, 14362, No update data, 9g3qx20kt9ju
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 99, 13904, No update data, 9g3qx20m7uhv
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 69, 9164, No update data, 9g3qx28p3kmp
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 85, 11692, No update data, 9g3qx207y3s2
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20kshzg
Bird, MEX, 1dd5cb01-67ba-42f7-8637-0ac5bbbbd4ef, 46, 5530, No update data, 9g3qrrdn9fqe
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 29, 3006, No update data, 9g3qx207phey
Bird, MEX, 0c081581-ab26-47d7-a51a-df92f6a3be13, 71, 10020, No update data, 9g3qx3t4sg3e
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 97, 14362, No update data, 9g3qx20kfvg5
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 98, 14529, No update data, 9g3qx20kg1b4
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 85, 12358, No update data, 9g3qx2098d09
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 97, 14362, No update data, 9g3qrrwze779
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 98, 14529, No update data, 9g3qx206tsbg
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx203z70f
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 94, 13861, No update data, 9g3qx206sux9
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 96, 14195, No update data, 9g3qx203wfbx
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 100, 14062, No update data, 9g3qx206kdk3
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 97, 14362, No update data, 9g3qx206j24c
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 92, 13527, No update data, 9g3qx203twmv
Bird, MEX, 2583beb4-6fd3-45a1-bb01-edbb449678c7, 79, 11356, No update data, 9g3qx207bw0t
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 87, 12008, No update data, 9g3qrrc4bceb
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 56, 7515, No update data, 9g3qrrc0zmbg
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 74, 9954, No update data, 9g3qx90nh3wk
Bird, MEX, d3083d83-9d3a-44c7-a0b8-d5051baf4e56, 94, 13114, No update data, 9g3qrrkzm7xb
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 63, 8684, No update data, 9g3qx0zdsgrd
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 93, 13694, No update data, 9g3qx90dfpgb
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 57, 7682, No update data, 9g3qx83hvq5n
Bird, MEX, 27762052-03ab-42b6-a107-dcce31f5b559, 76, 10270, No update data, 9g3qrr9d8qew
Bird, MEX, 0e406115-75fe-41f1-a514-e7c5f78fa643, 97, 14362, No update data, 9g3qx90u267f
