Bird, MEX, 8b60fa4a-6f3b-45ea-bbb6-52aee5a4d3d2, 75, 10112, No update data, 9g3qx89vptsk
Bird, MEX, 8f61a6b5-7d1b-4886-9373-fe2459fe4da4, 93, 12956, No update data, 9g3qrrhp2j2e
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 87, 12692, No update data, 9g3qx91e6ttr
Bird, MEX, 6488434d-7087-4a68-ab67-e44ab3507857, 75, 10688, No update data, 9g3qrrqd8ckj
Bird, MEX, 5d1de4ea-eae3-41f0-a209-14bb63d0c4f5, 52, 6847, No update data, 9g3qx91dj254
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 73, 10354, No update data, 9g3qx91dm5kb
Bird, MEX, 57d39e9e-283f-48a7-9203-8442d3b31d04, 60, 5782, No update data, 9g3qrr5zj6zc
Bird, MEX, 0215f64e-4681-436f-bccb-7350602c02b4, 81, 11690, No update data, 9g3qrrjp7bhf
Bird, MEX, 77291b5a-b673-48eb-b3d1-8d808c9f5f42, 55, 6952, No update data, 9g3qrrhzhbxs
Bird, MEX, ad95aa44-c06b-4ffd-8b6e-79f1cf957d0c, 60, 8183, No update data, 9g3qx91es78h
Bird, MEX, cc9d8335-4e1a-4c34-9c24-254d071d0712, 87, 12692, No update data, 9g3qx91esk20
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 80, 11523, No update data, 9g3qx91s599u
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 70, 9853, No update data, 9g3qx91ejygj
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 83, 12024, No update data, 9g3qx91ety5h
Bird, MEX, b98a4bbf-fa45-4f91-9975-26d8353d3b6a, 18, 1169, No update data, 9g3qx91eqku9
Bird, MEX, a2ea71b9-7dfc-4889-9fc0-b552354888a7, 71, 10020, No update data, 9g3qx91eq8zb
Bird, MEX, f78e5aca-c60d-4029-bce7-41e7d9a30eb9, 90, 12482, No update data, 9g3qx91skbry
Bird, MEX, 057f8a73-26f8-48b1-a7d2-cc2876558777, 60, 7742, No update data, 9g3qrr5yqed8
Bird, MEX, f5123d91-581f-4847-ac08-67e312289390, 91, 13360, No update data, 9g3qx91ew96z
Bird, MEX, 7899d631-2406-4e8f-a750-1257ffd1ba80, 45, 5372, No update data, 9g3qrr618s88
Bird, MEX, bfc8f5a2-3ddf-4f0e-8bbd-86b5b959ce49, 25, 2338, No update data, 9g3qx91stk70
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 96, 13430, No update data, 9g3qrxc1w0rx
Bird, MEX, 0e1a4c5b-f39b-4be0-a51d-98f9dd914271, 64, 8374, No update data, 9g3qrrqfxrp2
Bird, MEX, 87a6dffc-da71-443b-ba76-8ed11469aac2, 85, 11692, No update data, 9g3qx0nsszp9
Bird, MEX, a1f4a197-5998-4af9-a763-b027e42ad8af, 38, 4509, No update data, 9g3qrr5qjxy0
Bird, MEX, 1162db80-7d70-4243-bcf3-936959a000e1, 84, 12191, No update data, 9g3qrr5mg8pz
Bird, MEX, e6a03979-4e38-456b-94a6-81a52cf78b84, 90, 12482, No update data, 9g3qx0nsb8bs
Bird, MEX, 0dd5f0ca-cd5b-4d6e-b414-bd898861243e, 60, 8183, No update data, 9g3qx860q2kt
Bird, MEX, 697b1faa-17c7-4da9-9222-feaa21fb4dcd, 66, 9185, No update data, 9g3qrr4vydxx
Bird, MEX, e1f90789-00d2-4c3f-b25e-9559f33b7f32, 18, 1169, No update data, 9g3qrr2qvx8y
Bird, MEX, 3f5980b9-d12d-41bd-a02b-eae9a98d8934, 49, 6004, No update data, 9g3qrrhh6p5x
Bird, MEX, 3e749de6-7df4-44e9-8864-bdcd03194715, 80, 11523, No update data, 9g3qrrjkbr5f
Bird, MEX, 2a2be72f-d59d-4030-8026-8281fe90858b, 87, 12008, No update data, 9g3qrrnrp2xk
Bird, MEX, 98fdef63-c833-4ef7-b872-5cff4be4f34b, 94, 13114, No update data, 9g3qrr4v6158
Bird, MEX, d1716045-ef5a-42bd-a380-e9c5342668db, 89, 13026, No update data, 9g3qrr4v0eng
Bird, MEX, 2ed0af24-de00-4390-88a1-12879d76aa94, 63, 8216, No update data, 9g3qrr4t6ge2
Bird, MEX, 3796c596-2fbf-4c30-8924-e8f3e4f4cfb5, 57, 7682, No update data, 9g3qrr4mcm82
