Bird, MEX, 36c6d646-ef97-4533-b196-fd656a8a3547, 100, 14863, No update data, 9g3qx90mpmr7
Bird, MEX, 56da2f5f-d651-4058-8293-65c5b78dfad9, 100, 14863, No update data, 9g3qx90s9447
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 74, 9954, No update data, 9g3qx39cbjm9
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 63, 8684, No update data, 9g3qx83jssg7
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 100, 14863, No update data, 9g3qx90s7d3f
Bird, MEX, 814f30e8-b6c3-4c74-bc9e-947a87022227, 71, 9480, No update data, 9g3qrrwf73et
Bird, MEX, 63900b02-e8e7-4605-9219-f1cc26e92f5e, 100, 14863, No update data, 9g3qrr7ugn2q
Bird, MEX, 277466ac-446d-48ce-af86-599ca02e3e9b, 100, 14863, No update data, 9g3qx90f5fjp
Bird, MEX, 1affbc58-7ca2-48b5-849e-c0ada85a93b8, 100, 14062, No update data, 9g3qrr7uc2b7
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 99, 14696, No update data, 9g3qrr6wpyf7
Bird, MEX, af22928a-e587-4c1a-9b15-1ced2e8c4c97, 100, 14863, No update data, 9g3qx90fj2ru
Bird, MEX, ee09ef0e-723f-431c-830c-fb46ea253a64, 100, 14863, No update data, 9g3qx90fj7g1
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx90fm6xu
Bird, MEX, 97d89fc4-5db0-49b2-bbeb-6f0b18444e60, 100, 14062, No update data, 9g3qrr6tzkr1
Bird, MEX, e2897b1b-3854-4cb9-8fb8-a223a1ccf0ab, 57, 7268, No update data, 9g3qx3dzzcfk
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 100, 14062, No update data, 9g3qrr6wh8uq
Bird, MEX, 49f55f76-a273-425a-810d-170f67419423, 99, 14696, No update data, 9g3qx90fvkpc
Bird, MEX, 75d46828-5b54-4f9b-ae74-866da30a3307, 82, 11857, No update data, 9g3qx925urwg
