Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 99, 13904, No update data, 9g3qx20933br
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 96, 14195, No update data, 9g3qx20jxcf2
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 99, 13904, No update data, 9g3qx203zeh4
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 93, 13694, No update data, 9g3qx20m03gt
Bird, MEX, 7243bfa2-a54e-425e-8a2a-c12e260e9910, 100, 14062, No update data, 9g3qx2090wyg
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 76, 10270, No update data, 9g3qx9030k7v
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9s9sr
Bird, MEX, a09a2b95-b008-4253-8862-36c47e14d2a3, 96, 14195, No update data, 9g3qx203ry66
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 91, 13360, No update data, 9g3qx203wy0e
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 87, 12008, No update data, 9g3qx3pyeh86
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 73, 9796, No update data, 9g3qx3r6shgh
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 98, 13746, No update data, 9g3qx902f57v
Bird, MEX, ecf28973-86e1-40f1-ad9c-56069619a0ae, 100, 14062, No update data, 9g3qx208bhm3
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre96et0
Bird, MEX, 618a964d-c267-428a-80b2-917627bae44e, 92, 13527, No update data, 9g3qx203qhz2
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 100, 14863, No update data, 9g3qx203qp30
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 72, 9638, No update data, 9g3qx3r6qncr
Bird, MEX, e9e854b7-c1a7-47d0-9ee1-2b5cb371cd73, 99, 13904, No update data, 9g3qx2080xyc
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 100, 14062, No update data, 9g3qx202xh5z
Bird, MEX, df7d7ae5-65ab-4f33-a084-e5000655369e, 98, 14529, No update data, 9g3qx203hb13
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 61, 7900, No update data, 9g3qx33ke48p
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 78, 10586, No update data, 9g3qrrc1sy16
Bird, MEX, 8642b7f6-3550-4289-853d-c1d1eb08cd82, 98, 14529, No update data, 9g3qx202suze
Bird, MEX, 774eded8-cf75-4f66-9c5c-0ce43eee5c7f, 99, 13904, No update data, 9g3qx202edrg
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 34, 3841, No update data, 9g3qx3tg5guf
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 61, 7900, No update data, 9g3qx0zuk56b
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 97, 13588, No update data, 9g3qx90jsbzg
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 98, 14529, No update data, 9g3qx2029fqe
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 49, 6004, No update data, 9g3qrrc14c70
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 97, 14362, No update data, 9g3qx90m08rh
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 94, 13861, No update data, 9g3qx90m09p0
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 93, 13694, No update data, 9g3qx90m1jp3
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 72, 9638, No update data, 9g3qrr9t6kcb
Bird, MEX, fadc597b-95a7-4041-bd95-e5256b81ec95, 93, 13694, No update data, 9g3qx908u4g1
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 79, 10744, No update data, 9g3qx32gtkxd
Bird, MEX, 1f8db2ac-a168-4cdb-a38b-4cbd962d3613, 46, 5530, No update data, 9g3qx90d9446
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 87, 12008, No update data, 9g3qrrmrs6yr
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 81, 11690, No update data, 9g3qx0zdkehr
Bird, MEX, b038e73c-f286-4bc4-b24e-cf55aaeb6662, 100, 14062, No update data, 9g3qx90kw417
