Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 89, 13026, No update data, 9g3qx215wfvx
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 96, 13430, No update data, 9g3qx2ztu9e3
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 96, 13430, No update data, 9g3qx2zsygmv
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 89, 13026, No update data, 9g3qx2zttsq0
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 92, 12798, No update data, 9g3qx2zszbft
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 91, 12640, No update data, 9g3qx2zwse76
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 19, 1264, No update data, 9g3qx2zwutgk
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 45, 5678, No update data, 9g3qx3nxzg6m
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 79, 10744, No update data, 9g3qx2ptjm6f
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 94, 13114, No update data, 9g3qx3p9ssgk
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 45, 5372, No update data, 9g3qx3pd5kex
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 97, 14362, No update data, 9g3qx3p9rkrr
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 98, 13746, No update data, 9g3qx3p9rv6t
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 55, 6952, No update data, 9g3qx2zyw0c7
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 97, 13588, No update data, 9g3qx3pf106k
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 96, 13430, No update data, 9g3qx8bp48tn
Bird, MEX, a39d21d3-dcb4-45c8-8954-ad94fa845d94, 87, 12008, No update data, 9g3qx2b1r6zn
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 92, 12798, No update data, 9g3qx20mwfvx
