Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 99, 14696, No update data, 9g3qx215ucc6
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 93, 13694, No update data, 9g3qx215ukyj
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 100, 14062, No update data, 9g3qx215u6y0
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 51, 6680, No update data, 9g3qx3nxz9s3
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 100, 14062, No update data, 9g3qx215eszg
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 75, 10112, No update data, 9g3qx3msxs3y
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 98, 14529, No update data, 9g3qx215e080
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 94, 13861, No update data, 9g3qx2156ttn
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 100, 14062, No update data, 9g3qx2zxmfgn
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 93, 13694, No update data, 9g3qx2151ybk
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 100, 14062, No update data, 9g3qx8bj6m6j
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 96, 13430, No update data, 9g3qx8bjcc0x
Bird, MEX, d7cc1f30-d796-4b3b-b9d6-f74d31d7f1dd, 98, 13746, No update data, 9g3qx8bjd2f5
Bird, MEX, f06223e8-fd65-4e99-9011-dd689f3ae6ba, 98, 10266, No update data, 9g3qx3pcg0bm
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 85, 12358, No update data, 9g3qx20w8dqu
Bird, MEX, 8e7fdbec-d7de-4d16-9f49-9c03cf8c69c3, 100, 14062, No update data, 9g3qx3pckh7p
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 98, 13746, No update data, 9g3qx8bjgct1
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 94, 13114, No update data, 9g3qx8bjuje4
Bird, MEX, f95e118a-4a69-44fa-b0af-b5b674c8bc3f, 99, 14696, No update data, 9g3qx3pctkfu
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 87, 12692, No update data, 9g3qx8bjtphc
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 97, 13588, No update data, 9g3qx8bjt2zg
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 89, 13026, No update data, 9g3qx8bnecv0
Bird, MEX, 1db95589-817c-4beb-a7ab-17a471e18bd4, 98, 14529, No update data, 9g3qx3pcv5hg
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 99, 13904, No update data, 9g3qx8bnk85k
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 96, 14195, No update data, 9g3qx8bnsc1t
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 97, 14362, No update data, 9g3qx20qje2y
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 99, 13904, No update data, 9g3qx8bpjjhc
Bird, MEX, 2568661c-9c45-470b-aa17-8661d3a361eb, 46, 5530, No update data, 9g3qx3t1cj61
Bird, MEX, 2ad972c1-6166-4377-a4d3-a430c68e9dda, 78, 10586, No update data, 9g3qx3t41140
