Bird, MEX, 5a33c1eb-02b3-406f-a95e-2fd03b186eb0, 94, 13861, No update data, 9g3qx3m7qwfx
Bird, MEX, 917b5fbf-7a29-493d-951b-ea93dbffa032, 48, 5846, No update data, 9g3qx2xg1mj2
Bird, MEX, e8a7ab1c-e142-448a-b410-912c06baf363, 96, 13430, No update data, 9g3qx3p22uhj
Bird, MEX, 793d9573-515d-4e32-8aa7-5fef3ddf947f, 93, 12956, No update data, 9g3qx3p28jjw
Bird, MEX, 89a69735-9fae-4862-9f79-41521a94a0ae, 96, 14195, No update data, 9g3qx3m7w6h7
Bird, MEX, 3eda6148-325d-4204-8078-ad06c9316bd5, 71, 10020, No update data, 9g3qrryzc062
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 74, 10521, No update data, 9g3qx3m7tqzb
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 91, 13360, No update data, 9g3qx3m7wks6
Bird, MEX, 12097490-68fa-430f-b85a-149b9ee69074, 92, 12798, No update data, 9g3qx2zmxxsm
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 85, 11692, No update data, 9g3qx3m7wwz8
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 53, 7014, No update data, 9g3qrryz94fr
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 78, 10586, No update data, 9g3qrryk9f09
Bird, MEX, a3dd1cdd-17e4-4cb0-b99e-bb2f435c518c, 96, 14195, No update data, 9g3qx3m7y41m
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 87, 12008, No update data, 9g3qx3m7vk6g
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 62, 8058, No update data, 9g3qx3meb2eu
Bird, MEX, 715614fb-d327-4c1f-9d8f-0e5df58786c8, 52, 6847, No update data, 9g3qx2zt3b2w
Bird, MEX, 0a91a7e0-26e9-49ac-a47c-87c5f2f2c283, 30, 3173, No update data, 9g3qx3p25g2p
Bird, MEX, f544f39d-8413-4fd3-b2be-500fa37d314c, 54, 7181, No update data, 9g3qx2zqyepe
Bird, MEX, 548ffbf3-5d9f-409d-a036-b234289cbaa0, 33, 3674, No update data, 9g3qx2zt7pbm
Bird, MEX, 20a94a4a-9e62-4791-8bd0-3c52b5e90646, 76, 10855, No update data, 9g3qx2ztf983
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 93, 13694, No update data, 9g3qx3msh3n2
Bird, MEX, b0dd14cb-66fc-4e2c-85da-adb355871808, 56, 7515, No update data, 9g3qx2zw6yem
Bird, MEX, a84b3060-dfa5-4536-b204-6cecca15d4d9, 55, 7348, No update data, 9g3qrrf6x8u1
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 47, 6012, No update data, 9g3qrrfd2dyv
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 49, 6004, No update data, 9g3qx2xgnvjb
Bird, MEX, 2c922d0e-92d5-45bc-a095-e9af40ddab88, 85, 11692, No update data, 9g3qx2zwe6ew
Bird, MEX, 7f9da773-03d0-45dc-9d4b-1555b19634bf, 72, 10187, No update data, 9g3qrry77p22
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 87, 12692, No update data, 9g3qx215m24g
Bird, MEX, b1dfe0ac-27ca-427d-8787-04c8eda82d16, 88, 12859, No update data, 9g3qx215gt99
Bird, MEX, de6a3e74-a677-4827-be15-5f03c983eb49, 57, 7682, No update data, 9g3qx2pkpbdt
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 73, 10354, No update data, 9g3qrrf9jbun
Bird, MEX, 8e5c6a30-a96d-428a-bcc7-eb1f40b728ff, 90, 13193, No update data, 9g3qx215epq6
Bird, MEX, c7a8ff46-f651-4863-a64c-fed79f63731e, 88, 12859, No update data, 9g3qx214ug9q
Bird, MEX, 02519865-e128-40df-9e8f-d0f12b45b6d1, 89, 13026, No update data, 9g3qx2153s7r
Bird, MEX, 18cce4d2-d393-435c-be61-f13d4af9ce05, 21, 1670, No update data, 9g3qrrew0dbf
Bird, MEX, e665d570-7632-404c-a4f5-570bc48edba9, 71, 10020, No update data, 9g3qx2121bn9
Bird, MEX, ea41f3d8-a24f-4dc1-8425-fe666cc80cdb, 49, 6346, No update data, 9g3qx3p8y0cm
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 97, 13588, No update data, 9g3qx2b2jxvf
Bird, MEX, 05cf153c-ea3e-4d1a-87d3-16794672a89f, 45, 5372, No update data, 9g3qrryujpkx
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 96, 13430, No update data, 9g3qx2b2td0f
Bird, MEX, e74cd141-086b-40dc-81ee-6f71df179d69, 96, 13430, No update data, 9g3qx2b2mk6z
Bird, MEX, 439ee332-7cd7-4ccd-8f37-392be2db73cf, 76, 10270, No update data, 9g3qx2b3jbk5
Bird, MEX, f8286d0d-2c4a-4644-b23e-53e33a2cc069, 55, 7348, No update data, 9g3qx2zyw4xw
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 94, 13114, No update data, 9g3qx2b3h3q1
Bird, MEX, fef5d02b-2d7e-4d6d-8194-816f1632d602, 37, 4342, No update data, 9g3qx8bn4v77
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 61, 7900, No update data, 9g3qx3qnfce3
Bird, MEX, d73fa0f2-27ab-413a-85d8-ad0ff99dae6e, 80, 11523, No update data, 9g3qx3prm26y
Bird, MEX, 34962c3c-7955-4888-ab7b-cf5314415788, 88, 12859, No update data, 9g3qx8bnkf3d
Bird, MEX, 8cafab2e-3949-4631-a220-5aa52f33a155, 78, 11189, No update data, 9g3qx33d3jf0
Bird, MEX, 92258b95-9850-4efa-9b0b-6e4f23f0c98d, 87, 12692, No update data, 9g3qx3r2hk05
Bird, MEX, 1166d5b9-bf1e-4cbc-bf77-0b1d32e0e829, 87, 12008, No update data, 9g3qx3pryctc
Bird, MEX, 9691603a-7ca3-4aa1-8620-34e60045d60e, 84, 11534, No update data, 9g3qx2bq85bq
Bird, MEX, bedbe1c3-956b-4689-bb54-28ea3743d365, 62, 8058, No update data, 9g3qx20m3v8q
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 89, 13026, No update data, 9g3qx209d31u
Bird, MEX, 61feb801-1344-4a9c-b08f-fe7fc37168dc, 94, 13114, No update data, 9g3qx20kcuyt
Bird, MEX, d8baed10-c794-4ad8-810d-0f52e237c43a, 93, 12956, No update data, 9g3qx20m0twu
