Bird, MEX, cad27dc1-f7c6-4ecd-9509-e741272581fd, 92, 12798, No update data, 9g3qx21m6t04
Bird, MEX, 57793154-e04c-4102-8567-bcef79f67448, 24, 2171, No update data, 9g3qx31vm0kw
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 62, 8058, No update data, 9g3qx3md9ynu
Bird, MEX, 32cb2fcb-39f3-4ec1-b35c-7f55c9b32cb3, 89, 12324, No update data, 9g3qx2zmp2p6
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 91, 12640, No update data, 9g3qx2zs3hf3
Bird, MEX, 12097490-68fa-430f-b85a-149b9ee69074, 92, 12798, No update data, 9g3qx2zs8us4
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 91, 13360, No update data, 9g3qx3m7sgzw
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 60, 8183, No update data, 9g3qx21pdz51
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 93, 12956, No update data, 9g3qx21jrgf7
Bird, MEX, 89a69735-9fae-4862-9f79-41521a94a0ae, 94, 13861, No update data, 9g3qx3m7tzkk
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 85, 11692, No update data, 9g3qx3m7wqu2
Bird, MEX, a3dd1cdd-17e4-4cb0-b99e-bb2f435c518c, 94, 13861, No update data, 9g3qx3m7ven5
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 74, 10521, No update data, 9g3qx3m7y1z7
Bird, MEX, 5a33c1eb-02b3-406f-a95e-2fd03b186eb0, 93, 13694, No update data, 9g3qx3m7uzc8
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 81, 11690, No update data, 9g3qx2xz94dq
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 31, 3340, No update data, 9g3qx289p7pj
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 87, 12008, No update data, 9g3qx3mkj66b
Bird, MEX, 3eda6148-325d-4204-8078-ad06c9316bd5, 71, 10020, No update data, 9g3qrryzen8q
Bird, MEX, 917b5fbf-7a29-493d-951b-ea93dbffa032, 47, 5688, No update data, 9g3qx2xfegbn
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 49, 6004, No update data, 9g3qx2xf7fvj
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 53, 7014, No update data, 9g3qrryz3fyv
Bird, MEX, 4d7d8717-6adf-46d2-b21a-dc2221b77ec2, 66, 9185, No update data, 9g3qx2zsex3g
Bird, MEX, 20a94a4a-9e62-4791-8bd0-3c52b5e90646, 75, 10688, No update data, 9g3qx2zskvpg
Bird, MEX, 715614fb-d327-4c1f-9d8f-0e5df58786c8, 49, 6346, No update data, 9g3qx2zssx77
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 93, 13694, No update data, 9g3qx3ms4fgk
Bird, MEX, 548ffbf3-5d9f-409d-a036-b234289cbaa0, 31, 3340, No update data, 9g3qx2zsvk4b
Bird, MEX, c7a8ff46-f651-4863-a64c-fed79f63731e, 87, 12692, No update data, 9g3qx215wgte
Bird, MEX, 0a91a7e0-26e9-49ac-a47c-87c5f2f2c283, 29, 3006, No update data, 9g3qx2zsvu50
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 46, 5845, No update data, 9g3qrrf6v4u8
Bird, MEX, f544f39d-8413-4fd3-b2be-500fa37d314c, 52, 6847, No update data, 9g3qx2ztjdw1
Bird, MEX, a84b3060-dfa5-4536-b204-6cecca15d4d9, 54, 7181, No update data, 9g3qrrf6thhx
Bird, MEX, b1dfe0ac-27ca-427d-8787-04c8eda82d16, 87, 12692, No update data, 9g3qx215qn9h
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 73, 10354, No update data, 9g3qrrfc0eyb
Bird, MEX, b0dd14cb-66fc-4e2c-85da-adb355871808, 55, 7348, No update data, 9g3qx2zu865f
Bird, MEX, 02519865-e128-40df-9e8f-d0f12b45b6d1, 88, 12859, No update data, 9g3qx215kgpx
Bird, MEX, 8e5c6a30-a96d-428a-bcc7-eb1f40b728ff, 90, 13193, No update data, 9g3qx214vvu5
Bird, MEX, ceac2ba3-7025-41e4-aa2d-cd1cf7ed8d6c, 64, 8851, No update data, 9g3qx31t914j
Bird, MEX, 7f9da773-03d0-45dc-9d4b-1555b19634bf, 71, 10020, No update data, 9g3qrryv5jws
Bird, MEX, aa8f0c35-744a-44c2-bec4-924c01b3c04e, 74, 10521, No update data, 9g3qx2zy4m65
Bird, MEX, de6a3e74-a677-4827-be15-5f03c983eb49, 56, 7515, No update data, 9g3qx2pe6d87
Bird, MEX, 18cce4d2-d393-435c-be61-f13d4af9ce05, 20, 1503, No update data, 9g3qrretcqmr
Bird, MEX, ccf44108-4d8c-43e5-bd42-32a3445760fb, 54, 7181, No update data, 9g3qx3kpyfvc
Bird, MEX, 05cf153c-ea3e-4d1a-87d3-16794672a89f, 45, 5372, No update data, 9g3qrryvn037
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 97, 13588, No update data, 9g3qx2b3h8h6
Bird, MEX, e74cd141-086b-40dc-81ee-6f71df179d69, 96, 13430, No update data, 9g3qx2b3hjzy
Bird, MEX, a48a04d9-b343-4e71-9919-de71c76bd12d, 57, 7268, No update data, 9g3qx2p2p4hn
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 96, 13430, No update data, 9g3qx2b2ex3e
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 61, 7900, No update data, 9g3qx3qjbsp1
Bird, MEX, f8286d0d-2c4a-4644-b23e-53e33a2cc069, 54, 7181, No update data, 9g3qx2zznjre
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 93, 12956, No update data, 9g3qx2b2ep25
Bird, MEX, 439ee332-7cd7-4ccd-8f37-392be2db73cf, 76, 10270, No update data, 9g3qx2b3es38
Bird, MEX, e79f0d9d-7417-444f-af98-c9aa3eec1683, 58, 7849, No update data, 9g3qx8bn13j2
Bird, MEX, ccf22cc0-1911-4f1b-8d5f-b4f9f436c484, 40, 4843, No update data, 9g3qx22pnbtt
Bird, MEX, fef5d02b-2d7e-4d6d-8194-816f1632d602, 36, 4175, No update data, 9g3qx8bp2wxj
Bird, MEX, 34962c3c-7955-4888-ab7b-cf5314415788, 87, 12692, No update data, 9g3qx8bp48mh
Bird, MEX, 8cafab2e-3949-4631-a220-5aa52f33a155, 78, 11189, No update data, 9g3qx33d3jf0
Bird, MEX, d73fa0f2-27ab-413a-85d8-ad0ff99dae6e, 80, 11523, No update data, 9g3qx3prynzd
Bird, MEX, 92258b95-9850-4efa-9b0b-6e4f23f0c98d, 85, 12358, No update data, 9g3qx3r2qp33
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 51, 6680, No update data, 9g3qrrbyknfy
Bird, MEX, 9691603a-7ca3-4aa1-8620-34e60045d60e, 83, 11376, No update data, 9g3qx2bq8syu
Bird, MEX, fd49aa2e-650b-47c6-9137-51ee32d4ec6f, 60, 8183, No update data, 9g3qx901umq2
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 75, 10112, No update data, 9g3qx20mb2gs
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 89, 13026, No update data, 9g3qx2098u5z
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 44, 5511, No update data, 9g3qrrby8v7z
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 73, 10354, No update data, 9g3qx20kc62q
Bird, MEX, 85258989-ba9d-4a53-b0e4-805542e73c00, 82, 11218, No update data, 9g3qx20m227t
Bird, MEX, d8baed10-c794-4ad8-810d-0f52e237c43a, 93, 12956, No update data, 9g3qx20jxrzn
Bird, MEX, a9251900-d974-4357-846d-c26c1804dc6b, 91, 13360, No update data, 9g3qx208dsb5
Bird, MEX, e065aa54-2d11-44dc-9e41-8a6abbf45960, 88, 12859, No update data, 9g3qx20980t2
Bird, MEX, 52797f51-8bae-40f7-a951-3a2cd61b6273, 89, 13026, No update data, 9g3qx2092q58
Bird, MEX, 42757dd7-8895-474f-85f1-73961131e347, 49, 6004, No update data, 9g3qrrz1kbpg
