Bird, MEX, 573b30db-909a-4fda-a3b5-46c3035c47ac, 93, 13694, No update data, 9g3qx233eysz
Bird, MEX, 27a4013d-1009-4383-8a5c-2b1a7f2e3eaa, 92, 13527, No update data, 9g3qx232ncbv
Bird, MEX, d4c30f98-4e09-4ef5-819b-a5be3eac45f2, 79, 11356, No update data, 9g3qx2n2u8e6
Bird, MEX, 02d8ddfb-a707-4fe9-86d0-7c6efa848b96, 92, 13527, No update data, 9g3qx2371323
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx2z5rtsr
Bird, MEX, 7d9ce7e8-d335-439f-958d-edf983fb8b02, 96, 13430, No update data, 9g3qx2yzpyfk
Bird, MEX, f8de6e77-5c83-423d-8431-aeb1563116b6, 93, 13694, No update data, 9g3qx232j8tv
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 92, 13527, No update data, 9g3qx21rwpcp
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 92, 13527, No update data, 9g3qx2339bb6
Bird, MEX, 97747c01-16ab-4dbe-b611-79a644f69472, 83, 12024, No update data, 9g3qx23348bp
Bird, MEX, 5474a47e-84a1-4b3c-a6d7-5d53e546b3e8, 82, 11857, No update data, 9g3qx2n2qnrd
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 91, 13360, No update data, 9g3qx232e00n
Bird, MEX, 7244d549-c445-4101-a6a5-f61df2ab813c, 92, 12798, No update data, 9g3qx2zp9446
Bird, MEX, 60cf4877-69ce-4531-a5a1-e1a27cfc904c, 97, 13588, No update data, 9g3qx233160r
Bird, MEX, 909d4c57-7903-480d-9874-2abae70f7479, 94, 13861, No update data, 9g3qx21tb1vd
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 92, 13527, No update data, 9g3qx232c8e6
Bird, MEX, afadba1e-c338-4360-9180-1455dc2eadc1, 92, 13527, No update data, 9g3qx2323nfn
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 96, 14195, No update data, 9g3qx232bhm6
Bird, MEX, aefab0f6-ac05-4f28-889a-ec538fe14520, 43, 5056, No update data, 9g3qx2chqc8y
Bird, MEX, 8c1318be-98df-46e3-89ab-3a517a1cfc50, 94, 13861, No update data, 9g3qx21kz7xn
Bird, MEX, 88a2c33b-82b0-4a65-ab74-7d217ed3148f, 69, 9686, No update data, 9g3qx219ptun
Bird, MEX, 472f52fa-d136-43da-a892-c2433dd06a98, 99, 14696, No update data, 9g3qx21m671z
Bird, MEX, 92768d7a-5f71-4c47-881d-1fc345ae08c5, 73, 10354, No update data, 9g3qx21m6805
Bird, MEX, bb4f7ff4-c74d-4c04-821e-018fa252b927, 71, 9480, No update data, 9g3qx2zkxmz6
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 55, 6952, No update data, 9g3qx2xu1gb9
Bird, MEX, e9a8e2ca-2f89-49b5-9b53-55b59efa42d3, 25, 2338, No update data, 9g3qrrcyrneu
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 100, 14062, No update data, 9g3qx3m7ury2
Bird, MEX, 1a9a7526-2031-4bd6-a871-746ec2cc8703, 96, 13430, No update data, 9g3qx2zt3n67
Bird, MEX, 847e92aa-2285-46dd-97a3-47a02f8c7d70, 73, 9796, No update data, 9g3qx2zt1t7e
Bird, MEX, 9f7d0162-3d81-4608-b68b-ec7d2fbfeb20, 66, 8690, No update data, 9g3qx2ztbpjs
Bird, MEX, 357e4ade-1115-4dac-b0a4-763aab33019f, 28, 2839, No update data, 9g3qx36grpgv
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 96, 13430, No update data, 9g3qx2zw0pjw
Bird, MEX, 1ddc5dcd-f88a-47f8-9a40-6cbbd7bc6742, 100, 14062, No update data, 9g3qx3mkhrw3
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 52, 6478, No update data, 9g3qrrv9z0k0
Bird, MEX, 93b1af19-87ca-4dd8-bfe9-b8f6a5a83c6e, 84, 11534, No update data, 9g3qx22xyxdx
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 93, 13694, No update data, 9g3qx2zevf5j
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 93, 13694, No update data, 9g3qx2zepzpq
Bird, MEX, 3e749de6-7df4-44e9-8864-bdcd03194715, 94, 13861, No update data, 9g3qx2zb5dcg
Bird, MEX, 64c89a2b-22af-4a9a-b521-8c2b5757eace, 69, 9686, No update data, 9g3qx2zg08rh
Bird, MEX, 3079cafd-426c-4abf-ab73-510237cbb135, 88, 12166, No update data, 9g3qrrf9c7j3
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 94, 13861, No update data, 9g3qx2zg9gwu
Bird, MEX, ba2923c3-70aa-4283-8276-3f959b3cd5fb, 44, 5214, No update data, 9g3qx82p3xgs
Bird, MEX, 060a1109-f628-480e-a892-7364510575d8, 92, 13527, No update data, 9g3qx20xzsh0
Bird, MEX, ef3d1683-1457-4a38-9409-646e2c7d3ca7, 94, 13861, No update data, 9g3qx20y40sv
Bird, MEX, dca93db5-0aa3-424f-8940-61b08f1ccdb3, 54, 6794, No update data, 9g3qx22e90f4
Bird, MEX, f5796f0a-3309-4226-b3c1-c21235720d90, 92, 13527, No update data, 9g3qx20xqrk2
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 93, 12956, No update data, 9g3qx2zuvqdb
Bird, MEX, 3ccf89a9-9fc8-4c6e-acb5-a6eab614b5c9, 91, 13360, No update data, 9g3qx20vbtwc
Bird, MEX, 11fc6572-9393-42a0-92c7-4f99f9c7e1df, 92, 13527, No update data, 9g3qx20wrj7u
Bird, MEX, e7708e59-dcf0-4fca-a82d-e329404ff3d8, 93, 13694, No update data, 9g3qx20v1cbm
Bird, MEX, 15888cee-feb1-4d23-877c-ba2ad07f9453, 93, 13694, No update data, 9g3qx20xhtk6
Bird, MEX, 048bd9dc-ee05-4385-9371-5148ac746a4f, 69, 9686, No update data, 9g3qx20x5txu
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20wm1ev
Bird, MEX, b678884f-1299-40c2-a806-cb69b9112729, 93, 12956, No update data, 9g3qx2p2rehr
Bird, MEX, f66c0b88-9df7-46e2-97be-cdc7976cdf87, 91, 13360, No update data, 9g3qx20swzbw
Bird, MEX, be02b27c-2fb8-48a8-9f34-217e2972c47f, 29, 3006, No update data, 9g3qrrssq0rm
Bird, MEX, 5ff33bdf-4f50-4b28-8e73-ae37b0c9b088, 96, 13430, No update data, 9g3qx3pc6dth
Bird, MEX, 9873bba6-614b-4fc3-98e5-1f6a2d3e7735, 91, 13360, No update data, 9g3qx3pf1uwz
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 30, 3173, No update data, 9g3qx2b28b5y
Bird, MEX, 3b326966-7c91-4e8c-a3c4-178afb60f57f, 89, 13026, No update data, 9g3qrrset6fz
Bird, MEX, da336173-5b5c-4802-9c4c-708bc7b31b63, 36, 4175, No update data, 9g3qrrdquur9
Bird, MEX, ec6a4bd2-7c09-4879-92fc-85a43baf380f, 45, 5372, No update data, 9g3qrrsgdc7m
Bird, MEX, ae2ce957-6794-45a2-bbc6-748cebef0186, 67, 9352, No update data, 9g3qx20c4pkz
Bird, MEX, a41aa352-87ac-4511-bae9-43a4b438e7a9, 92, 13527, No update data, 9g3qx20eewpg
Bird, MEX, 9a5df020-06ef-4432-b4af-ee6eae97dc65, 64, 8851, No update data, 9g3qrrt53znz
Bird, MEX, 9bc21d40-8159-4494-b0ee-2f223a10a42a, 26, 2505, No update data, 9g3qx8bphmyr
Bird, MEX, 51ef5a77-4b25-4a0d-8199-d81dbb635b26, 52, 6847, No update data, 9g3qx8bnttnn
Bird, MEX, 6d77df3c-6b74-4594-9a28-fcb65c3b72da, 98, 13746, No update data, 9g3qx20quh6f
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 57, 7682, No update data, 9g3qrrdtp3bu
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 72, 10187, No update data, 9g3qx22p4b75
Bird, MEX, d83dd7fe-3e00-4fa8-aaf1-7935affe6190, 91, 13360, No update data, 9g3qx20ms2w0
Bird, MEX, 74b07675-68db-4a1f-826a-a088455632e6, 85, 12358, No update data, 9g3qrrdndh5x
Bird, MEX, 3f70438c-e357-47b5-88d4-003cb2b87cd5, 55, 7348, No update data, 9g3qx20m9xgq
Bird, MEX, 282d29c5-4f84-472a-9644-a4543a79c8c7, 18, 1169, No update data, 9g3qx22hbs08
Bird, MEX, 52bc7059-d61c-4869-891c-fc1d1dcc0871, 88, 12859, No update data, 9g3qx20mbe8w
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 62, 8517, No update data, 9g3qx900ryzx
Bird, MEX, 6b6e5802-5c48-4fc5-bd29-4a54741206a9, 92, 13527, No update data, 9g3qx20m88yf
Bird, MEX, 52582003-13f6-4274-ab1c-cc0c065bea4c, 60, 7742, No update data, 9g3qrre9twqh
Bird, MEX, 32fccdc0-1a92-44b0-b9ea-8ad6f4a0f2cc, 91, 13360, No update data, 9g3qx20kbwyc
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 45, 5678, No update data, 9g3qrrz6s5e5
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 94, 13861, No update data, 9g3qx9026wm7
Bird, MEX, 35c53774-0515-4367-a3d9-f70b406ad050, 94, 13861, No update data, 9g3qrrwwrpk0
Bird, MEX, 5f2aa98d-4826-4592-8133-c851aae61e6b, 49, 6346, No update data, 9g3qx902frz0
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 79, 11356, No update data, 9g3qrre923gy
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 94, 13861, No update data, 9g3qrrwwp7c0
Bird, MEX, f277bae7-9251-4364-a33b-af8487898e26, 97, 13588, No update data, 9g3qrrwy1z2x
Bird, MEX, 5a9928c8-c851-44dc-8758-99fa114a49a1, 63, 8216, No update data, 9g3qrrbtpu6k
Bird, MEX, d9e15cf7-3901-4bb3-a76a-7af189fcf646, 88, 12166, No update data, 9g3qrrc1jrz9
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 71, 10020, No update data, 9g3qrr9v8e8e
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 91, 13360, No update data, 9g3qx902zkp3
