Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 70, 9322, No update data, 9g3qx8bjx3c0
Bird, MEX, 65cff338-d0cf-40d3-8193-b1358655873e, 29, 3006, No update data, 9g3qx22jfe2h
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 78, 10586, No update data, 9g3qx8bm9jpq
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 90, 13193, No update data, 9g3qx20e1cbk
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 91, 12640, No update data, 9g3qx20kvtjz
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 89, 13026, No update data, 9g3qx20mfetn
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 88, 12859, No update data, 9g3qx20dbtbe
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 74, 10521, No update data, 9g3qx20m5w38
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 84, 12191, No update data, 9g3qx303nj11
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 91, 13360, No update data, 9g3qx20d8e8e
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 56, 7110, No update data, 9g3qrrz7sfzz
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 66, 8690, No update data, 9g3qx3r63bb8
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 80, 10902, No update data, 9g3qx3r3phsp
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 75, 10688, No update data, 9g3qx3r65c00
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre9bx8y
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 89, 13026, No update data, 9g3qx20m0jm6
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 91, 13360, No update data, 9g3qx209027e
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 85, 12358, No update data, 9g3qx20jnzv9
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 81, 11060, No update data, 9g3qx32cp9k4
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 91, 13360, No update data, 9g3qx2082xyu
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 88, 12859, No update data, 9g3qx202yubt
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 88, 12859, No update data, 9g3qx202rqxh
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 87, 12692, No update data, 9g3qx202wg29
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 89, 13026, No update data, 9g3qx202vgsn
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 94, 13114, No update data, 9g3qx903h60p
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 79, 10744, No update data, 9g3qrre8fd2j
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 94, 13114, No update data, 9g3qx8brx21p
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 60, 7742, No update data, 9g3qrrd7eezv
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 39, 4424, No update data, 9g3qx3e5v9q0
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 24, 2171, No update data, 9g3qx33ze6kt
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 91, 13360, No update data, 9g3qx8bw4tj3
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 93, 12956, No update data, 9g3qx902yp1k
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 87, 12692, No update data, 9g3qx202kqwh
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 88, 12859, No update data, 9g3qx202hvxs
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 85, 11692, No update data, 9g3qrrc1f79v
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 90, 12482, No update data, 9g3qrrzvm6zv
