Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 48, 5846, No update data, 9g3qx2j7ttqp
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 93, 12956, No update data, 9g3qx265dy7m
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 82, 11857, No update data, 9g3qx2jvqp96
Bird, MEX, a1e7bf1a-b339-436d-bcde-474cf079c37e, 93, 12956, No update data, 9g3qx26h11fj
Bird, MEX, 7280c039-0f13-4565-8135-5814e7b20c0e, 15, 668, No update data, 9g3qx3jd47cc
Bird, MEX, 43d9c69a-545c-4927-8e97-230367b8c13b, 39, 4676, No update data, 9g3qx2f10zg4
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 93, 12956, No update data, 9g3qx23ur9k5
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 98, 14529, No update data, 9g3qx2ym1dz5
Bird, MEX, fa4b83d2-8a35-4e9b-91e4-7fe8f1831641, 94, 13114, No update data, 9g3qx261n035
Bird, MEX, 7f4044d5-f365-4c18-babc-90d4a763771f, 47, 6012, No update data, 9g3qx26528nu
Bird, MEX, e1a0a659-da4b-4179-a762-39837368c442, 58, 7849, No update data, 9g3qrrurg756
Bird, MEX, 8fbbb1ce-2861-4275-9922-1283f7f42960, 93, 12956, No update data, 9g3qx2ykgq5w
Bird, MEX, 9f23ec7c-9545-4567-8cb2-9f519b0ea12e, 100, 14863, No update data, 9g3qx2ym6xvj
Bird, MEX, 32cbf2f0-1ab3-469d-86fb-b47e09ff3286, 46, 5530, No update data, 9g3qx3jdcuwu
Bird, MEX, c4ba7ad0-c91a-4885-a024-2d881a184e71, 88, 12166, No update data, 9g3qrrur8c7v
Bird, MEX, a9aed472-190e-4052-9a74-511fce67a145, 98, 14529, No update data, 9g3qx2ym79ru
Bird, MEX, 24614693-b33c-435a-a697-c6f698a39bb0, 100, 14863, No update data, 9g3qx2yme0ye
Bird, MEX, c4cc9f40-3465-4c8e-ad7d-9c4576b83dee, 88, 12166, No update data, 9g3qx29u8mg9
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 96, 13430, No update data, 9g3qx349hz92
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 82, 11218, No update data, 9g3qx251b6gb
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 89, 13026, No update data, 9g3qx2yqc1x1
Bird, MEX, 341d8c0f-dbdf-49e4-91ad-39323816642c, 74, 10521, No update data, 9g3qx3je3yyz
Bird, MEX, 9e4105bd-8a40-4a9a-88ce-a6cc0c6d15ef, 70, 9322, No update data, 9g3qx349kj55
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 88, 12166, No update data, 9g3qx34f2xyv
Bird, MEX, ea8b069d-ab8e-4f38-ba5e-f7dc328545be, 34, 3841, No update data, 9g3qx23fmkfc
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 96, 13430, No update data, 9g3qx342hg3r
Bird, MEX, f002e574-1c16-4221-966c-46c3ebbcd75d, 31, 3340, No update data, 9g3qrrgyvqrz
Bird, MEX, 4b416bcb-f3be-448a-bba8-87ad0b3bf320, 94, 13114, No update data, 9g3qx2fr3kv3
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 83, 12024, No update data, 9g3qx2wz6fgm
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 99, 13904, No update data, 9g3qx2fr3mmm
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 98, 13746, No update data, 9g3qx2fr0129
Bird, MEX, c7ba67c8-b6b4-4cb8-a47a-a5f36c3fb5af, 36, 4175, No update data, 9g3qrrunsz12
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 100, 14863, No update data, 9g3qx2fr2sqz
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 97, 13588, No update data, 9g3qx3424b56
Bird, MEX, 70089115-408d-4d00-877d-19f56bfda989, 70, 9853, No update data, 9g3qx2yf2dr4
Bird, MEX, 6e6eea1f-a407-4301-b10b-459ac872f4fa, 94, 13114, No update data, 9g3qx2yeqw6e
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 94, 13114, No update data, 9g3qx342e7ss
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 53, 6636, No update data, 9g3qx2wymcen
Bird, MEX, ef7c3963-44d9-4f30-bb99-7613e4ea5b1c, 65, 9018, No update data, 9g3qx2frb5mt
Bird, MEX, 410548fc-5f80-4290-80f0-2c49630e956c, 85, 11692, No update data, 9g3qx24p1227
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 39, 4676, No update data, 9g3qx2xh9mjm
Bird, MEX, b6d48655-113a-4fe3-836d-8f1b0f48cc23, 94, 13114, No update data, 9g3qx2yg9s78
Bird, MEX, ccf25add-f2ac-443a-9cc1-688e55272815, 36, 4175, No update data, 9g3qx21zu3w0
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 61, 8350, No update data, 9g3qx2q8reu7
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 76, 10270, No update data, 9g3qx2q8pvzq
Bird, MEX, d8fc7b06-a79e-41c7-9d7b-b9197f8e5a32, 33, 3674, No update data, 9g3qx21z48m5
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 31, 3340, No update data, 9g3qx2qbut72
Bird, MEX, e9c6ddfa-dd5a-49fd-b66e-3be6ab3d6935, 89, 13026, No update data, 9g3qx2z4fk64
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 91, 13360, No update data, 9g3qx2z47xcv
Bird, MEX, 36e136c3-c739-484d-b965-6efc76e3896a, 91, 12640, No update data, 9g3qx2z4s32n
Bird, MEX, 2d8b41ad-0455-4c7c-aa36-84b8dac627dd, 26, 2505, No update data, 9g3qx233zhgy
Bird, MEX, a99b7599-eb75-4156-979d-edbfc3518a58, 79, 11356, No update data, 9g3qx239200s
