Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 100, 14062, No update data, 9g3qrjub035w
Bird, MEX, 7dd98ff5-1cdd-4e0d-ab6b-c7d63250b65c, 82, 11857, No update data, 9g3qrmc8tpsd
Bird, MEX, 3827cc74-f39e-42a2-809e-c0229d8db00f, 61, 8350, No update data, 9g3qrmc8v3zb
Bird, MEX, 5d85c395-a2c3-4e49-9414-4f68f23bfb2e, 28, 2839, No update data, 9g3qrmc8trxf
Bird, MEX, ce9c9e88-29db-4ea7-909f-4e240580ff64, 79, 11356, No update data, 9g3qrmc8v8jy
Bird, MEX, 6378c0b6-76c1-4023-bba8-dec22783f064, 100, 14863, No update data, 9g3qrmc8vfup
Bird, MEX, 983a46a2-38c9-464f-b9ab-587f028ecbfa, 100, 14863, No update data, 9g3qrmczyzmg
Bird, MEX, 0cafebd8-db83-4c63-8652-3204db12fd7e, 99, 13904, No update data, 9g3qrmc8y5r3
Bird, MEX, c3d8ad12-3ce2-42a3-b94f-2d6286a62a67, 99, 14696, No update data, 9g3qrq1bp07c
Bird, MEX, 8c72d206-7a3d-415c-85cc-0d453395e290, 100, 14863, No update data, 9g3qrmczzpgz
Bird, MEX, e8db8f59-70ca-45ef-88e2-e4d59b4bcff0, 98, 14529, No update data, 9g3qrmczzjgc
Bird, MEX, cdde521f-5c44-4795-b022-2a2f73a4c904, 100, 14863, No update data, 9g3qrmczzhgg
Bird, MEX, 59e9da0f-8f97-4ada-b77f-bb1a39cf637c, 99, 13904, No update data, 9g3qrmc9p1gf
Bird, MEX, 426c774c-cea2-49fa-b93b-7afb6a8e0c73, 100, 14863, No update data, 9g3qrmc8yujx
Bird, MEX, 326c91e2-0620-463b-b366-bab95ba9dfb7, 94, 13861, No update data, 9g3qrmc8wcvx
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 87, 12692, No update data, 9g3qrmc8xqxh
Bird, MEX, 5d8e364f-ed6b-48a9-bea7-b90df1aba21c, 84, 12191, No update data, 9g3qrmc8x22v
Bird, MEX, 76146238-7668-4509-94a3-07e742b4a812, 56, 7515, No update data, 9g3qrmcb708j
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 100, 14062, No update data, 9g3qrnks208m
Bird, MEX, 749a2ff8-0eb2-4e53-87f8-c4bac3c4f576, 91, 13360, No update data, 9g3qrm91x2p5
Bird, MEX, 96fd2625-85e9-4af6-849f-4484e7ce95f7, 89, 12324, No update data, 9g3qrm91rqx4
Bird, MEX, e92f9955-c000-4696-8e8c-d7d85d184a8d, 82, 11857, No update data, 9g3qrm91rxkp
Bird, MEX, c1ff01e1-42c0-4589-8d37-39ab56ab55ef, 100, 14062, No update data, 9g3qrjqk111y
Bird, MEX, 5e8701c4-2af7-4c64-a710-f9d27ebdd4dc, 98, 13746, No update data, 9g3qrjq7cqj4
Bird, MEX, 67157ac8-da82-4e6d-ac5e-c3c512d214b6, 87, 12692, No update data, 9g3qrm93d88p
Bird, MEX, eb8c14d5-146c-4de0-bcc7-8181c08460ba, 100, 14062, No update data, 9g3qrjq7cm2p
Bird, MEX, b6d48655-113a-4fe3-836d-8f1b0f48cc23, 94, 13114, No update data, 9g3qrm9feqh8
Bird, MEX, d53cdc1f-f9ab-4f42-bb0d-11e77ed265e4, 93, 12956, No update data, 9g3qrm9fetxy
Bird, MEX, de0a2e90-fd32-440a-94b4-13897d72c0b4, 100, 14863, No update data, 9g3qrm9feysu
