Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 91, 13360, No update data, 9g3qx23jbs08
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 57, 7682, No update data, 9g3qx28cnvbw
Bird, MEX, f09e5bd3-c912-4196-bc20-8e8f041107cd, 100, 14863, No update data, 9g3qx3k7tqfb
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 90, 12482, No update data, 9g3qrrynp2r7
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 79, 11356, No update data, 9g3qx2z83rm3
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 71, 9480, No update data, 9g3qx230yj30
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 70, 9853, No update data, 9g3qx2zksj5n
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 91, 13360, No update data, 9g3qx3p0h7nm
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 91, 13360, No update data, 9g3qx230w531
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 93, 13694, No update data, 9g3qx230tchh
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 81, 11060, No update data, 9g3qx230vjk8
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 88, 12166, No update data, 9g3qx28cthue
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 74, 10521, No update data, 9g3qx28cjpud
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 85, 11692, No update data, 9g3qx28cjps8
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 94, 13861, No update data, 9g3qx230t7xe
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 61, 7900, No update data, 9g3qx230ugrs
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 92, 13527, No update data, 9g3qx231eerc
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 85, 11692, No update data, 9g3qx21metc9
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx2zpvvgh
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 72, 10187, No update data, 9g3qx230ufc2
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 87, 12008, No update data, 9g3qx28cuwu6
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 90, 13193, No update data, 9g3qx231dug5
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 92, 13527, No update data, 9g3qx230gspb
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 60, 7742, No update data, 9g3qx3p0nsrt
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 94, 13861, No update data, 9g3qx2319zn9
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 67, 8848, No update data, 9g3qx3p0q7k8
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 96, 14195, No update data, 9g3qx2314tj0
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 66, 9185, No update data, 9g3qx3p0qsf9
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 63, 8684, No update data, 9g3qx2314e0h
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 92, 13527, No update data, 9g3qx2zmn5z9
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 75, 10112, No update data, 9g3qx21psc3q
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 89, 12324, No update data, 9g3qx2zs265b
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 93, 13694, No update data, 9g3qx2zkxur2
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 90, 13193, No update data, 9g3qx2zs29xn
