Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 55, 6952, No update data, 9g3qx3mde00r
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7j3du
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 64, 8851, No update data, 9g3qx2xxt3fb
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 33, 3674, No update data, 9g3qx218zn5v
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 97, 13588, No update data, 9g3qx3m7uh75
Bird, MEX, 7aed04a9-4909-4bd2-a5dc-dc9397b66361, 40, 4582, No update data, 9g3qx2zs69mh
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 97, 13588, No update data, 9g3qx21hxcf2
Bird, MEX, ae075050-3b8d-45dc-bf37-3d81b653c211, 93, 13694, No update data, 9g3qx2zeurb0
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 97, 13588, No update data, 9g3qx21k2h2x
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 96, 14195, No update data, 9g3qx21hx5eg
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31zn5pm
Bird, MEX, f4cc32c2-fa44-4d7b-b3ce-cc7a907caf84, 92, 13527, No update data, 9g3qx2zt74ws
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 91, 13360, No update data, 9g3qx2zsu2w7
Bird, MEX, 24feb8fa-dcc9-4c1e-9739-989a29c5130d, 93, 13694, No update data, 9g3qx2zewdxw
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 78, 11189, No update data, 9g3qx3ms55nw
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 99, 13904, No update data, 9g3qx21hszcq
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 87, 12008, No update data, 9g3qx215x6r5
Bird, MEX, 18042911-af7d-4943-a5b0-8a5d938ca095, 46, 5530, No update data, 9g3qx2zezpu0
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 45, 5372, No update data, 9g3qx2xgn6ue
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 31, 3340, No update data, 9g3qrrf70e2w
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 97, 14362, No update data, 9g3qx21h5mkd
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 58, 7849, No update data, 9g3qrrf8mpsd
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 85, 11692, No update data, 9g3qx3p9tyg0
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 55, 7348, No update data, 9g3qx2zvynx8
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 49, 6004, No update data, 9g3qx3pdq2u8
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 63, 8216, No update data, 9g3qx8bj1xe8
Bird, MEX, 5c65aad0-828c-44f0-975f-8b9e475125dd, 99, 14696, No update data, 9g3qx3pdqytv
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 61, 8350, No update data, 9g3qx8bj3uyc
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 100, 14863, No update data, 9g3qx3pdwuvu
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 51, 6320, No update data, 9g3qx226hnzu
Bird, MEX, f9b420fa-60ed-4d20-8944-1c5c3b8abcd7, 100, 14863, No update data, 9g3qx3pfbfu1
Bird, MEX, 01ee3d43-e134-4560-a5f5-be6d52a92c00, 73, 10354, No update data, 9g3qx8bp1e7x
Bird, MEX, ff1eb0a4-c975-49df-bdea-b33d9b1bb218, 60, 7742, No update data, 9g3qx3pf9gqf
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 76, 10855, No update data, 9g3qx22nt4sw
Bird, MEX, 2ff0d374-6250-4182-ba8f-9c7c05fd4124, 29, 3006, No update data, 9g3qx8bp5b04
Bird, MEX, 78eb1fab-3327-4efe-bfdb-e48ad0b9df95, 71, 10020, No update data, 9g3qx3r23uwb
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 94, 13861, No update data, 9g3qx20qn0xm
Bird, MEX, a53e7913-0289-45df-964a-83a2c3a6d0fd, 72, 10187, No update data, 9g3qx8bnugxz
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 75, 10688, No update data, 9g3qrrdtpk2u
Bird, MEX, 0869efa2-2ef4-44ab-912b-8cb1ce496ff4, 20, 1503, No update data, 9g3qx8bpkm2j
