Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 92, 13527, No update data, 9g3qx2ztkv9x
Bird, MEX, 21ceb6f6-bca8-4845-9546-4205cbb922d9, 94, 13861, No update data, 9g3qx2ztj9yj
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 94, 13861, No update data, 9g3qx2zsrjh5
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 92, 9558, No update data, 9g3qx2zsynzd
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 87, 12692, No update data, 9g3qrrswucpw
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 91, 13360, No update data, 9g3qx215kgpx
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 90, 13193, No update data, 9g3qx215hry1
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 90, 13193, No update data, 9g3qx2157s3x
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 78, 11189, No update data, 9g3qx2zcyexw
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 69, 9164, No update data, 9g3qx3qb37vk
Bird, MEX, 97e92154-179e-450a-9963-96e3e8d61bd7, 72, 9638, No update data, 9g3qx2p2tqdz
Bird, MEX, 018e6980-c8c1-44d0-bcc7-60ed1c53c034, 19, 1336, No update data, 9g3qx2zzg65t
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 92, 12798, No update data, 9g3qrrsuc222
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 75, 10112, No update data, 9g3qx3pehq21
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 81, 11690, No update data, 9g3qx2b2gqud
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 100, 14863, No update data, 9g3qx3pekgrb
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 97, 13588, No update data, 9g3qx20tkc37
Bird, MEX, 36f00274-02fe-4d11-9f7c-23cef08ef71a, 97, 14362, No update data, 9g3qx3pep5hj
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 57, 7268, No update data, 9g3qx8bnfn5y
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 100, 14863, No update data, 9g3qx3pexdsq
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 92, 13527, No update data, 9g3qx2b30hmm
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 79, 11356, No update data, 9g3qrrs7k22j
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 89, 13026, No update data, 9g3qx20qqz8d
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 27, 2672, No update data, 9g3qx20egms9
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 90, 13193, No update data, 9g3qx20qqmkk
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 93, 13694, No update data, 9g3qx20qqpr2
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 90, 13193, No update data, 9g3qx20qv8vu
Bird, MEX, d74ca8a6-3b1b-4b97-bbab-cf7b59f976d5, 100, 14863, No update data, 9g3qx3pg3ybx
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bnu30p
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 57, 7682, No update data, 9g3qx8bp5ym1
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 81, 11690, No update data, 9g3qx8bnugxz
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 73, 10354, No update data, 9g3qx3prpns5
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 99, 14696, No update data, 9g3qx3pgs5eh
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 84, 11534, No update data, 9g3qx20eb988
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 94, 13114, No update data, 9g3qx20kqwfw
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 66, 8690, No update data, 9g3qx28p8dnf
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 97, 14362, No update data, 9g3qx20mc6mn
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 92, 13527, No update data, 9g3qx20mbwyc
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 93, 13694, No update data, 9g3qx20m83g8
Bird, MEX, 05d2960b-1390-461f-909e-9298e3d17aae, 31, 3340, No update data, 9g3qx20jybvs
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 89, 12324, No update data, 9g3qx32by5p7
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 94, 13114, No update data, 9g3qx3e5x6rj
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 93, 13694, No update data, 9g3qx20n4z5n
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 93, 13694, No update data, 9g3qrrwysw7k
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 79, 11356, No update data, 9g3qx202ve0f
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 94, 13861, No update data, 9g3qx202tx2f
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 98, 14529, No update data, 9g3qx3e5z32b
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 73, 9796, No update data, 9g3qx3pywgmf
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 97, 13588, No update data, 9g3qx202u8s6
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 53, 7014, No update data, 9g3qrrc1nv8g
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 93, 13694, No update data, 9g3qx202jyk0
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 91, 13360, No update data, 9g3qx202m6dg
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 89, 13026, No update data, 9g3qx202jjss
