Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx215sf13
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 92, 13527, No update data, 9g3qx215kycq
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 61, 8350, No update data, 9g3qx2zbncmc
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 83, 11376, No update data, 9g3qx2zxnj37
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 56, 7515, No update data, 9g3qrrf8ky9k
Bird, MEX, 5e7d130a-4151-46d4-8783-0fb31f901903, 80, 10902, No update data, 9g3qx364e6he
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx227xeuj
Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 73, 9796, No update data, 9g3qx2zvwp13
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 62, 8058, No update data, 9g3qx2zyq0rw
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 57, 7682, No update data, 9g3qx2zyqdp8
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 51, 6680, No update data, 9g3qx2zvzcpr
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 79, 11356, No update data, 9g3qx8bhej0q
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 76, 10855, No update data, 9g3qrrdr6b7m
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 74, 9954, No update data, 9g3qx3dbjm6g
Bird, MEX, b700178c-f2ec-4999-a458-6375b87bedbb, 63, 8216, No update data, 9g3qrrsgkm2h
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 73, 10354, No update data, 9g3qx22phth2
Bird, MEX, dbeb6be2-7217-4230-a35c-3e3b25f3575e, 72, 9638, No update data, 9g3qx8bpgh26
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 73, 10354, No update data, 9g3qrrdtnbmf
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 88, 12859, No update data, 9g3qx2801ktn
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 31, 3340, No update data, 9g3qrrbysy17
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 26, 2505, No update data, 9g3qrrbz6dvj
Bird, MEX, 91453918-9081-44bc-9fbc-8149b9a9e8c3, 88, 12859, No update data, 9g3qx20d8swc
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 49, 6004, No update data, 9g3qrrdnd31g
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 91, 13360, No update data, 9g3qx20m4dv4
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 40, 4582, No update data, 9g3qrrz1vjug
Bird, MEX, aae6452b-f630-47a5-891d-e52f1b56ec78, 89, 13026, No update data, 9g3qx20d0fgf
Bird, MEX, 81dd056b-72b2-4081-8ba0-4f6d752c0645, 88, 12859, No update data, 9g3qx20948tj
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrred02gy
Bird, MEX, 0f5ca52a-063f-43c2-ba3b-02ebc257d43a, 29, 3006, No update data, 9g3qx302debn
Bird, MEX, 04adfd4c-cb44-4a30-8441-1344c7477a6e, 91, 13360, No update data, 9g3qx2098snz
Bird, MEX, 25140f1f-106b-4ac1-9c24-383c0349c583, 93, 13694, No update data, 9g3qx2098eyv
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 84, 11534, No update data, 9g3qx302f23c
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre9bj89
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 82, 11218, No update data, 9g3qx20jx7bv
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 92, 13527, No update data, 9g3qx20jybtd
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 74, 9954, No update data, 9g3qx20jx3bb
Bird, MEX, 07531c9c-ab52-428c-8513-1eb1df633584, 82, 11857, No update data, 9g3qx88wtdqh
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 92, 13527, No update data, 9g3qx203ycjw
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 81, 11690, No update data, 9g3qrrzygvjp
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 49, 6004, No update data, 9g3qrrc4rngy
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 87, 12008, No update data, 9g3qx302bbgv
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 96, 14195, No update data, 9g3qx20902et
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 52, 6847, No update data, 9g3qx206jd8b
Bird, MEX, 0eee3ce1-4388-47da-87ec-91b246e64f11, 75, 10688, No update data, 9g3qx203w5r3
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 89, 12324, No update data, 9g3qx20nemkx
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 93, 13694, No update data, 9g3qx20jjtvy
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 92, 13527, No update data, 9g3qx20jujzg
Bird, MEX, dbe3520a-b284-45f9-a9f4-28d29248636b, 66, 8690, No update data, 9g3qx3d2cg8r
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 75, 10688, No update data, 9g3qx20n4vgn
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 80, 11523, No update data, 9g3qrrwytq6u
Bird, MEX, 40f3fe74-6fb4-4d3f-92ab-c086b6ca5a33, 93, 13694, No update data, 9g3qx20jfshb
