Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 60, 8183, No update data, 9g3qx2zyd1gb
Bird, MEX, 5c65aad0-828c-44f0-975f-8b9e475125dd, 98, 14529, No update data, 9g3qx3pbhq21
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 85, 11692, No update data, 9g3qx3pbhycs
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 99, 14696, No update data, 9g3qx2zzvxnh
Bird, MEX, fb4b85a5-ccd0-4b98-89f5-956e78cb7e14, 49, 6346, No update data, 9g3qx8bp0q7c
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 79, 11356, No update data, 9g3qrrdr7exb
Bird, MEX, 0869efa2-2ef4-44ab-912b-8cb1ce496ff4, 19, 1336, No update data, 9g3qx8bju2q3
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 89, 13026, No update data, 9g3qx22pufc2
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 74, 10521, No update data, 9g3qrrdtr4ef
Bird, MEX, 2ff0d374-6250-4182-ba8f-9c7c05fd4124, 29, 3006, No update data, 9g3qx8bphry6
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 83, 12024, No update data, 9g3qx2pcu57h
