Bird, MEX, 676a9925-53b3-402c-83ef-c2be36db457f, 87, 12008, No update data, 9g3qx8dxjm51
Bird, MEX, 12acc1cc-36b8-4652-b88a-69d672758c2e, 26, 2370, No update data, 9g3qx1xyhfck
Bird, MEX, 5f527278-2a4c-403b-968a-9749149a89ea, 76, 10855, No update data, 9g3qx98wjrpz
Bird, MEX, 6ca21503-9869-490d-af20-8437274705c7, 69, 9164, No update data, 9g3qrr1pexpb
Bird, MEX, 13481fa2-ffe2-498a-82c9-98f67286a588, 87, 12008, No update data, 9g3qrpry79zy
Bird, MEX, d3c72a91-a20a-4f51-8654-bce7e73dabb7, 98, 13746, No update data, 9g3qrprybpmk
Bird, MEX, b05b0a4a-ec5a-4773-b438-f3509d219467, 63, 8216, No update data, 9g3qrr1p7jbp
Bird, MEX, b5227020-63ac-40a7-a011-95b41741601f, 16, 790, No update data, 9g3qx0vuuhdu
Bird, MEX, c98f7f21-3f96-4123-ab06-e30cf61e24f0, 94, 13114, No update data, 9g3qrpry8p26
Bird, MEX, 65ffd45e-ce16-4f8c-87c5-72f2049f2bc3, 85, 11692, No update data, 9g3qrrh0v76g
Bird, MEX, f59dcbf5-5cd5-4546-a2aa-35f2570c8c1f, 61, 8350, No update data, 9g3qx0vug58n
Bird, MEX, 159f429a-94f8-4b4e-a421-6335ddad267e, 55, 6952, No update data, 9g3qrr296s2n
Bird, MEX, c13c1639-b829-4204-9339-064748d54588, 91, 12640, No update data, 9g3qrprwwj3n
Bird, MEX, 4368843b-82b6-4d6c-944e-cf63b26565c4, 76, 10270, No update data, 9g3qrrn47s1u
Bird, MEX, a41de5fe-5db0-45d2-af1a-cb0c5d282cfe, 93, 12956, No update data, 9g3qrr292b7u
Bird, MEX, 0ceae40a-2c94-4360-a251-e002e3347c36, 58, 7426, No update data, 9g3qrrhbeecs
Bird, MEX, f6c23f82-9e99-487b-9fb7-02d7b0d41135, 22, 1738, No update data, 9g3qx6jg2ntw
Bird, MEX, ecb0b02f-506d-46ed-868f-e6cd45f62fe1, 72, 9638, No update data, 9g3qrr291876
Bird, MEX, 44b3f687-3522-4fde-9b44-40d840a6e61c, 69, 9164, No update data, 9g3qrr291876
Bird, MEX, f9c55a55-ede5-4130-8cbb-efb65c98a921, 94, 13114, No update data, 9g3qrrh8hz3q
Bird, MEX, 3d3d2d16-b263-49cc-b584-6d57ee169a2a, 53, 6636, No update data, 9g3qx99nh87k
Bird, MEX, fc992747-d634-4325-8e6b-4b05e435ebe7, 67, 8848, No update data, 9g3qrr0xcuwe
Bird, MEX, 73009aea-1414-47d8-97b4-ed2b7ba1ba4f, 94, 13861, No update data, 9g3qrr22ptk1
Bird, MEX, 42a9cda9-7b2f-4f1a-b0db-bb809f8cdb94, 92, 13527, No update data, 9g3qrr0rzz6k
Bird, MEX, 0183fdae-bd6e-4850-ae9d-647a88c78078, 85, 11692, No update data, 9g3qx65jqj1h
Bird, MEX, 58df12d9-09c8-476d-9b0e-4050fae7ff25, 82, 11218, No update data, 9g3qx65jw9fd
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 71, 9480, No update data, 9g3qrqgp7h8r
Bird, MEX, faebf41d-8a7f-4b89-aaa4-d92b8e420c32, 72, 9638, No update data, 9g3qrqgvc5fn
Bird, MEX, 3682fa67-7d57-46a8-a260-20e683e25790, 93, 12956, No update data, 9g3qrpvyc8e6
Bird, MEX, e46e2f26-9901-41be-9834-7778de51d8ca, 63, 8216, No update data, 9g3qrr16kssr
Bird, MEX, c1e35e96-6163-4c38-995d-97103493554b, 74, 9954, No update data, 9g3qrprnmhhk
Bird, MEX, c724bb63-1df9-414e-99cb-e16545366c4d, 48, 5846, No update data, 9g3qrr166jkg
Bird, MEX, 7ddebdbe-5700-484b-a175-223446fd85c5, 74, 9954, No update data, 9g3qrqyzz711
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 42, 4898, No update data, 9g3qrqyjsycx
Bird, MEX, b23a5dd2-4c01-4c59-94da-1595e0a62f33, 45, 5372, No update data, 9g3qrppypqz5
Bird, MEX, fa63dc3e-e96f-404d-a2e0-6bf295e471db, 93, 12956, No update data, 9g3qx9d2tq5h
Bird, MEX, 0ccc456b-def5-4c6b-93c0-dbdac4dbcafb, 89, 12324, No update data, 9g3qx9d2vc70
Bird, MEX, 4af58471-1aee-4dd0-a650-c72109101201, 62, 8058, No update data, 9g3qx1z763xz
Bird, MEX, f59c4ea8-a541-46e1-acc4-4cdc7b9a7579, 26, 2370, No update data, 9g3qrxgh2ukn
Bird, MEX, b23f5d11-bd93-4b5b-b36a-d772a065b1eb, 45, 5372, No update data, 9g3qx9c6gnye
Bird, MEX, 2adb12fb-aae4-4a46-90ef-119c6b4e0c18, 87, 12008, No update data, 9g3qrqcpwzvt
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 65, 8532, No update data, 9g3qrqudxqzp
Bird, MEX, 68f3fe38-f78b-4d93-a84b-712ae76075d7, 64, 8374, No update data, 9g3qx9c7m25j
Bird, MEX, c07616df-18ea-4029-b721-8013ed7b6206, 82, 11218, No update data, 9g3qrqfeu17p
Bird, MEX, 71d4b8c0-310e-428d-9a31-0132a26d21fc, 76, 10270, No update data, 9g3qrqbzv9jv
Bird, MEX, 43ac143e-d7dc-4f82-af9f-6835c853cb2b, 87, 12008, No update data, 9g3qrpptqhpk
Bird, MEX, 03becb07-034d-443b-86a8-d2aa10b6ffe7, 87, 12008, No update data, 9g3qrpptky33
Bird, MEX, b6cb3d7e-241c-4be5-aa46-49cab955a5db, 92, 12798, No update data, 9g3qx975k4ek
Bird, MEX, 96947325-a098-45d8-91fc-bab19d8e5171, 70, 9322, No update data, 9g3qrxeps4gr
Bird, MEX, ce59040d-59ed-416a-acac-73ffdbb950cf, 92, 12798, No update data, 9g3qrqy1g12r
Bird, MEX, b90794eb-6196-450f-aaaf-49dccc979004, 88, 12166, No update data, 9g3qrqy1g2ge
Bird, MEX, acaee680-ab8a-4d18-aa9e-674c746202ea, 88, 12166, No update data, 9g3qrqy1dtjh
Bird, MEX, fe9fda94-463e-4fc4-9323-2d2bf531aeeb, 83, 11376, No update data, 9g3qrx0g51b7
Bird, MEX, 223f663f-ee22-43dc-a171-4e485d539f5e, 51, 6320, No update data, 9g3qrqzhn8de
Bird, MEX, a3c4bc38-f5a0-4fb0-bec3-4a508cc144ac, 78, 10586, No update data, 9g3qrx3c476j
Bird, MEX, dfda1932-5c05-4429-8c51-fc7a1703c917, 69, 9164, No update data, 9g3qrqz5ynrw
Bird, MEX, 294d27d4-7e02-458e-b260-d6439baca746, 17, 948, No update data, 9g3qrx3c5r7x
Bird, MEX, 20b37756-d6cd-4671-bee9-84299f2823b9, 91, 12640, No update data, 9g3qrqygj0ut
Bird, MEX, 1f987d3c-b995-402d-ab11-8a8d340b3705, 19, 1264, No update data, 9g3qrx3c5wyg
