Bird, MEX, 32bf3b05-cc6b-4309-b54c-eb5f1fe2a8f6, 47, 5688, No update data, 9g3qx06ux3qy
Bird, MEX, da86960c-aeef-4e65-a637-ba6d20812a40, 62, 8058, No update data, 9g3qx9s8z717
Bird, MEX, d120ee69-aef3-4d87-98c3-16eee7067d3b, 66, 8690, No update data, 9g3qx9kvxr3k
Bird, MEX, c6d794a4-a109-4310-8ad0-8254add39f35, 82, 11218, No update data, 9g3qrxtnb7dv
Bird, MEX, 77eaf832-765a-43ab-905c-de64980ce1d1, 97, 13588, No update data, 9g3qrq6gs2nh
Bird, MEX, 969ce656-c694-45be-b962-fa260f9eae63, 94, 13114, No update data, 9g3qrq6gk2yp
Bird, MEX, 46a2c8ad-12c3-4797-9ced-fcedc2e25df2, 78, 10586, No update data, 9g3qrq882hmm
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 72, 9638, No update data, 9g3qrq6ghtk2
Bird, MEX, 751bb3bb-ed56-4a94-a536-4cf6ba537ba8, 63, 8216, No update data, 9g3qrny589nf
Bird, MEX, 885b2d36-d324-4a86-9de4-200583505507, 56, 7110, No update data, 9g3qrwgn3gbc
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 66, 8690, No update data, 9g3qrnvqyf2t
