Bird, MEX, 7cb62a39-8083-49a0-a550-bfaef4f188ad, 49, 6004, No update data, 9g3qrr5ux8kp
Bird, MEX, 58df12d9-09c8-476d-9b0e-4050fae7ff25, 91, 12640, No update data, 9g3qrpyuszrd
Bird, MEX, 8183bef1-58b0-47d1-b7db-1c42d6540bc5, 61, 7900, No update data, 9g3qrpz520mm
Bird, MEX, 45f4a0fd-b39f-4303-8e57-e3e1ffc1a0bc, 43, 5056, No update data, 9g3qrpyugyht
Bird, MEX, eb4aa282-9f57-47d1-92b8-0a09d0dd090a, 75, 10112, No update data, 9g3qrr4vq0rk
Bird, MEX, e86ba579-ec7f-4dc9-85be-06e6f7419e52, 78, 10586, No update data, 9g3qrpygqj14
Bird, MEX, 4145970e-04da-4a76-858f-73649117ccf8, 90, 12482, No update data, 9g3qrpyfv74d
Bird, MEX, e560fff6-fca9-4198-9588-7acf83ea6377, 47, 5688, No update data, 9g3qx1nkx1gc
Bird, MEX, 7cf6ae77-3a05-42f3-ba69-c875f1e85ee1, 79, 10744, No update data, 9g3qx93bgj23
Bird, MEX, a7525d18-6446-405c-93d6-afc1ab5fd734, 21, 1580, No update data, 9g3qrrh6yddx
Bird, MEX, 7e3772cd-373c-4896-aad1-e19dc9a1c5eb, 73, 9796, No update data, 9g3qrrh495fh
Bird, MEX, 08b9df5f-fd87-4c07-9a8c-67b2fe69279b, 78, 10586, No update data, 9g3qx94n54q8
Bird, MEX, 12acc1cc-36b8-4652-b88a-69d672758c2e, 28, 2686, No update data, 9g3qx1xvhmyp
Bird, MEX, 871b41d9-5bf1-40ef-a6ef-95586fd18427, 69, 9164, No update data, 9g3qx6hd9ynv
Bird, MEX, 18f15724-a51d-45ad-90a2-980f5fc33122, 55, 6952, No update data, 9g3qx94nhpe3
Bird, MEX, 676a9925-53b3-402c-83ef-c2be36db457f, 88, 12166, No update data, 9g3qx8dxjt8h
Bird, MEX, 5f527278-2a4c-403b-968a-9749149a89ea, 80, 11523, No update data, 9g3qx98wj5uf
Bird, MEX, 6ca21503-9869-490d-af20-8437274705c7, 70, 9322, No update data, 9g3qrr1puf3m
