Bird, MEX, aa162098-1077-4526-bf2b-00cb7359bb9e, 49, 6004, No update data, 9g3qrr86unfc
Bird, MEX, f18676f1-6d58-4e61-8a57-0abbb10b1172, 83, 11376, No update data, 9g3qrr5zkk0h
Bird, MEX, 2b15b889-8880-47f0-a28c-2aa2b12c1dae, 52, 6478, No update data, 9g3qrrqd8uu4
Bird, MEX, 15756985-62a6-4a0f-8daf-be2d4e93f57d, 94, 13114, No update data, 9g3qrrqdfbe3
Bird, MEX, 334cd0e1-d15c-4076-9086-cd1ab2e610a3, 48, 5846, No update data, 9g3qx3feb40w
Bird, MEX, 58df12d9-09c8-476d-9b0e-4050fae7ff25, 92, 12798, No update data, 9g3qrpzpe5ym
Bird, MEX, 8c84f6e0-1299-4ba5-a3b9-5cfaef087813, 51, 6320, No update data, 9g3qrrqd6p5z
Bird, MEX, 3df74c3d-c070-441f-bf3c-e49eaaaa938a, 73, 9796, No update data, 9g3qrxc11z0t
Bird, MEX, ff69b3bb-1e35-43f4-a04f-9068d11de562, 67, 8848, No update data, 9g3qx1nc3r85
Bird, MEX, 87d2dd8f-9618-43dc-bdda-5e6a9777e61c, 57, 7268, No update data, 9g3qx8djnnr8
Bird, MEX, 52a290a1-5c11-4e43-a503-c41eb43248bc, 47, 5688, No update data, 9g3qx8dhwuq0
Bird, MEX, d6c3969d-fd00-4ed5-a276-b423f443d07d, 54, 6794, No update data, 9g3qrr3h7xce
Bird, MEX, 76e3c309-ade2-4abe-ab25-5db11cc9c9b7, 40, 4582, No update data, 9g3qx8dnrtkm
Bird, MEX, 5086ae5c-3bab-4dc3-9a96-d144bcd3b4f6, 61, 8350, No update data, 9g3qx86przr8
Bird, MEX, 3808ea05-bac2-420a-b9ee-22f1a69fde6c, 82, 11218, No update data, 9g3qx8dq8e2f
Bird, MEX, 69df27f8-9bcf-426a-ab46-72690fe4bec4, 55, 6952, No update data, 9g3qx9392hjy
Bird, MEX, be6c8d7d-a115-4d2f-b3f7-ca175db459c8, 43, 5056, No update data, 9g3qrpyvtr48
Bird, MEX, 806d5441-7692-4b6f-aa33-cc6528fb1d11, 87, 12008, No update data, 9g3qrr2rp45y
Bird, MEX, 05917ef2-046a-4de0-a4da-e0a2b22e5f75, 85, 12358, No update data, 9g3qx91gtnub
Bird, MEX, 3da7e090-4588-43bf-897d-466e0607fd21, 98, 13746, No update data, 9g3qrr4vysft
Bird, MEX, 7cb62a39-8083-49a0-a550-bfaef4f188ad, 49, 6004, No update data, 9g3qrr5ux4un
Bird, MEX, eb4aa282-9f57-47d1-92b8-0a09d0dd090a, 76, 10270, No update data, 9g3qrr4vt8qp
Bird, MEX, 0fa5fe1d-97e5-4846-b9fb-b26eaaec36c1, 90, 12482, No update data, 9g3qrpywye6k
Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 52, 6478, No update data, 9g3qx939mw25
Bird, MEX, 85ea9b29-f45f-47de-bbdb-cfa8e3c9575c, 62, 8058, No update data, 9g3qx93ddevq
Bird, MEX, 4145970e-04da-4a76-858f-73649117ccf8, 91, 12640, No update data, 9g3qrpygexzy
